날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,49,37,0.022,0.030,0.6,0.003
2,48,36,0.011,0.036,0.7,0.003
3,49,32,0.007,0.037,0.7,0.003
4,39,31,0.016,0.026,0.7,0.002
5,49,22,0.023,0.021,0.6,0.003
6,51,31,0.017,0.027,0.6,0.003
7,52,30,0.016,0.034,0.6,0.003
8,45,25,0.026,0.033,0.6,0.003
9,46,20,0.025,0.039,0.6,0.003
10,44,18,0.031,0.035,0.6,0.003
11,53,19,0.036,0.033,0.6,0.002
12,47,20,0.044,0.032,0.6,0.002
13,46,20,0.049,0.036,0.6,0.002
14,49,25,0.059,0.033,0.5,0.002
15,40,20,0.068,0.027,0.5,0.002
16,40,20,0.061,0.035,0.5,0.002
17,53,23,0.073,0.026,0.5,0.002
18,41,19,0.076,0.023,0.5,0.002
19,40,19,0.063,0.027,0.5,0.002
20,39,17,0.047,0.023,0.4,0.002
21,27,16,0.029,0.039,0.5,0.002
22,28,9,0.025,0.041,0.5,0.002
23,29,7,0.025,0.038,0.5,0.002
0,32,18,0.004,0.061,0.6,0.002
1,28,20,0.009,0.051,0.6,0.002
2,20,17,0.026,0.030,0.5,0.002
3,25,12,0.025,0.030,0.5,0.002
4,24,12,0.027,0.025,0.5,0.002
5,25,13,0.026,0.025,0.5,0.002
6,19,12,0.018,0.035,0.5,0.002
7,23,10,0.012,0.045,0.5,0.002
8,24,9,0.015,0.043,0.5,0.002
9,32,8,0.011,0.054,0.6,0.003
10,22,8,0.020,0.048,0.6,0.003
11,34,12,0.023,0.048,0.6,0.002
12,34,20,0.035,0.037,0.5,0.002
13,38,14,0.043,0.035,0.5,0.002
14,39,17,0.065,0.031,0.5,0.003
15,72,31,0.078,0.028,0.5,0.004
16,52,22,0.077,0.026,0.5,0.004
17,57,27,0.071,0.024,0.5,0.003
18,41,14,0.063,0.025,0.4,0.003
19,44,24,0.059,0.033,0.5,0.003
20,58,32,0.061,0.045,0.6,0.003
21,67,26,0.049,0.039,0.5,0.003
22,47,20,0.046,0.031,0.5,0.003
23,35,14,0.034,0.038,0.6,0.003
0,39,18,0.019,0.055,0.6,0.003
1,39,16,0.014,0.059,0.6,0.003
2,39,22,0.012,0.057,0.7,0.003
3,50,23,0.021,0.040,0.6,0.004
4,50,34,0.024,0.032,0.6,0.005
5,47,34,0.035,0.024,0.6,0.006
6,40,25,0.041,0.021,0.5,0.005
7,36,18,0.018,0.043,0.5,0.005
8,33,18,0.022,0.047,0.6,0.005
9,44,20,0.036,0.041,0.6,0.006
10,37,21,0.048,0.035,0.5,0.005
11,45,19,0.048,0.039,0.6,0.005
12,56,29,0.054,0.045,0.6,0.005
13,59,32,0.071,0.031,0.5,0.005
14,51,21,0.069,0.031,0.5,0.005
15,47,22,0.072,0.026,0.5,0.004
16,46,25,0.071,0.028,0.5,0.003
17,53,28,0.068,0.030,0.5,0.004
18,49,26,0.063,0.032,0.5,0.004
19,59,31,0.060,0.032,0.5,0.003
20,51,26,0.052,0.037,0.5,0.003
21,50,21,0.033,0.049,0.6,0.003
22,58,21,0.032,0.049,0.6,0.003
23,55,27,0.028,0.049,0.6,0.003
0,58,21,0.012,0.066,0.7,0.003
1,57,23,0.027,0.045,0.6,0.003
2,44,27,0.037,0.032,0.6,0.002
3,44,26,0.040,0.029,0.6,0.002
4,40,25,0.052,0.020,0.5,0.002
5,36,29,0.055,0.018,0.5,0.002
6,38,18,0.036,0.032,0.6,0.002
7,41,24,0.014,0.051,0.6,0.003
8,41,26,0.007,0.059,0.7,0.003
9,55,32,0.014,0.053,0.7,0.003
10,55,25,0.023,0.049,0.7,0.003
11,49,28,0.040,0.035,0.6,0.003
12,47,19,0.027,0.055,0.7,0.003
13,55,31,0.040,0.039,0.6,0.003
14,53,20,0.053,0.026,0.5,0.003
15,47,19,0.059,0.026,0.5,0.003
16,48,26,0.068,0.026,0.5,0.003
17,60,28,0.069,0.023,0.5,0.003
18,62,29,0.048,0.038,0.6,0.003
19,68,28,0.033,0.047,0.6,0.004
20,64,30,0.031,0.045,0.7,0.004
21,72,31,0.045,0.026,0.6,0.003
22,59,19,0.046,0.023,0.6,0.003
23,59,23,0.036,0.031,0.6,0.003
0,62,31,0.014,0.053,0.7,0.003
1,60,32,0.009,0.055,0.7,0.003
2,63,34,0.006,0.056,0.8,0.002
3,62,37,0.016,0.039,0.7,0.003
4,63,37,0.024,0.028,0.7,0.003
5,67,39,0.024,0.028,0.7,0.002
6,69,35,0.025,0.028,0.6,0.003
7,67,28,0.022,0.034,0.6,0.003
8,73,33,0.027,0.030,0.6,0.004
9,77,30,0.036,0.026,0.6,0.004
10,50,23,0.045,0.024,0.6,0.003
11,46,25,0.057,0.025,0.5,0.003
12,42,20,0.066,0.024,0.5,0.002
13,32,21,0.074,0.025,0.5,0.002
14,42,21,0.081,0.026,0.5,0.002
15,40,20,0.086,0.025,0.5,0.002
16,46,28,0.078,0.031,0.5,0.002
17,41,21,0.068,0.040,0.5,0.002
18,48,23,0.077,0.031,0.5,0.003
19,72,29,0.063,0.033,0.5,0.003
20,56,26,0.058,0.032,0.5,0.003
21,43,17,0.053,0.034,0.5,0.003
22,50,23,0.054,0.032,0.6,0.003
23,50,22,0.033,0.051,0.6,0.003
0,51,23,0.015,0.068,0.7,0.003
1,48,33,0.029,0.046,0.6,0.003
2,40,29,0.045,0.023,0.5,0.003
3,24,14,0.048,0.016,0.5,0.003
4,18,,0.047,0.017,0.4,0.002
5,18,11,0.051,0.015,0.4,0.002
6,15,6,0.050,0.017,0.4,0.002
7,10,9,0.037,0.030,0.4,0.002
8,16,6,0.033,0.036,0.5,0.002
9,16,8,0.037,0.031,0.4,0.002
10,21,11,0.042,0.027,0.4,0.002
11,18,7,0.037,0.035,0.5,0.002
12,22,8,0.043,0.035,0.5,0.002
13,35,17,0.057,0.028,0.4,0.002
14,29,16,0.055,0.032,0.5,0.003
15,40,17,0.050,0.034,0.5,0.002
16,28,17,0.050,0.032,0.5,0.002
17,30,15,0.039,0.035,0.5,0.002
18,27,16,0.030,0.034,0.5,0.002
19,20,9,0.027,0.033,0.5,0.002
20,11,7,0.024,0.035,0.5,0.002
21,9,10,0.029,0.029,0.5,0.002
22,,10,0.029,0.027,0.5,0.002
23,17,8,0.027,0.027,0.5,0.002
0,20,9,0.023,0.030,0.5,0.002
1,22,6,0.027,0.022,0.5,0.002
2,30,19,0.027,0.019,0.5,0.002
3,25,18,0.026,0.017,0.5,0.002
4,14,15,0.025,0.016,0.5,0.002
5,18,14,0.025,0.016,0.5,0.002
6,18,11,0.020,0.020,0.5,0.002
7,19,14,0.018,0.025,0.5,0.002
8,38,23,0.012,0.031,0.5,0.003
9,36,18,0.011,0.031,0.6,0.003
10,41,26,0.024,0.025,0.6,0.003
11,30,18,0.036,0.023,0.6,0.004
12,40,37,0.045,0.023,0.6,0.003
13,,,0.043,0.031,,0.003
14,42,36,0.047,0.030,,0.003
15,47,35,0.046,0.037,,0.004
16,53,32,0.049,0.046,,0.005
17,72,39,0.062,0.044,,0.005
18,66,49,0.075,0.037,,0.004
19,56,33,0.044,0.042,,0.004
20,60,29,0.035,0.034,,0.003
21,57,23,0.039,0.029,,0.003
22,43,18,0.031,0.033,,0.003
23,45,23,0.017,0.046,,0.003
0,47,25,0.004,0.050,,0.003
1,47,39,0.007,0.041,,0.003
2,41,34,0.012,0.030,,0.004
3,35,29,0.018,0.018,,0.003
4,30,22,0.020,0.015,,0.003
5,28,24,0.024,0.013,,0.002
6,28,20,0.027,0.013,,0.002
7,24,15,0.026,0.017,,0.002
8,24,20,0.024,0.023,,0.002
9,28,15,0.024,0.027,,0.002
10,27,14,0.018,0.035,,0.002
11,39,25,0.026,0.031,,0.002
12,,,,,,
13,,,,,,
14,51,29,0.045,0.038,0.3,0.004
15,60,32,0.046,0.037,0.3,0.004
16,46,28,0.038,0.035,0.3,0.003
17,44,24,0.033,0.038,0.3,0.003
18,40,20,0.030,0.037,0.3,0.004
19,41,23,0.025,0.037,0.2,0.004
20,46,25,0.021,0.038,0.3,0.002
21,43,25,0.017,0.041,0.3,0.002
22,38,15,0.017,0.039,0.3,0.002
