날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,68,43,0.004,0.091,0.7,0.008
2,73,56,0.030,0.055,0.6,0.011
3,54,48,0.039,0.036,0.5,0.022
4,58,46,0.032,0.037,0.5,0.017
5,51,39,0.021,0.045,0.5,0.011
6,53,35,0.008,0.058,0.6,0.010
7,40,28,0.011,0.061,0.6,0.010
8,32,26,0.018,0.061,0.5,0.009
9,23,21,0.032,0.051,0.4,0.010
10,28,15,0.029,0.055,0.4,0.008
11,30,17,0.041,0.044,0.4,0.007
12,33,19,0.031,0.060,0.5,0.007
13,32,17,0.040,0.047,0.4,0.007
14,32,20,0.053,0.041,0.4,0.007
15,38,23,0.055,0.032,0.3,0.005
16,26,16,0.055,0.031,0.3,0.005
17,27,19,0.059,0.035,0.3,0.006
18,32,19,0.061,0.034,0.3,0.006
19,28,18,0.045,0.035,0.4,0.008
20,32,27,0.046,0.033,0.3,0.005
21,36,22,0.048,0.027,0.3,0.004
22,35,17,0.037,0.037,0.3,0.004
23,34,20,0.042,0.030,0.3,0.004
0,34,17,0.032,0.038,0.3,0.004
1,28,20,0.033,0.036,0.3,0.004
2,32,24,0.029,0.035,0.4,0.004
3,24,18,0.029,0.029,0.4,0.004
4,27,25,0.025,0.032,0.4,0.004
5,28,23,0.037,0.022,0.3,0.004
6,26,20,0.028,0.034,0.3,0.004
7,30,21,0.012,0.047,0.4,0.004
8,37,26,0.009,0.056,0.6,0.005
9,46,27,0.021,0.048,0.5,0.006
10,32,21,0.027,0.047,0.5,0.007
11,31,24,0.028,0.051,0.5,0.008
12,32,20,0.041,0.041,0.4,0.006
13,37,30,0.052,0.041,0.4,0.006
14,34,26,0.057,0.036,0.4,0.006
15,45,28,0.071,0.039,0.3,0.008
16,47,28,0.067,0.031,0.3,0.007
17,40,25,0.069,0.029,0.3,0.007
18,39,27,0.061,0.029,0.3,0.005
19,26,19,0.055,0.028,0.2,0.005
20,35,23,0.047,0.035,0.3,0.005
21,38,23,0.050,0.031,0.3,0.005
22,37,26,0.045,0.029,0.3,0.005
23,35,19,0.046,0.024,0.3,0.004
0,36,27,0.043,0.024,0.3,0.004
1,35,21,0.044,0.017,0.3,0.004
2,37,30,0.037,0.018,0.3,0.004
3,37,28,0.040,0.011,0.3,0.004
4,34,20,0.041,0.009,0.2,0.004
5,32,22,0.040,0.010,0.2,0.004
6,34,16,0.036,0.014,0.2,0.004
7,39,17,0.028,0.022,0.3,0.004
8,41,22,0.029,0.022,0.3,0.004
9,34,20,0.031,0.021,0.3,0.004
10,45,15,0.041,0.012,0.2,0.004
11,34,25,0.043,0.013,0.2,0.004
12,,,,,,
13,,,,,,
14,45,19,0.048,0.012,0.2,0.004
15,48,15,0.049,0.014,0.2,0.004
16,58,20,0.048,0.015,0.2,0.004
17,49,14,0.049,0.017,0.2,0.004
18,45,15,0.045,0.021,0.2,0.004
19,46,14,0.046,0.019,0.2,0.004
20,46,18,0.044,0.022,0.2,0.004
