날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,50,37,0.011,0.032,0.7,0.005
2,39,26,0.015,0.023,0.6,0.004
3,39,26,0.020,0.019,0.6,0.004
4,52,33,0.024,0.015,0.6,0.004
5,50,33,0.030,0.014,0.6,0.004
6,56,39,0.031,0.022,0.5,0.003
7,56,36,0.036,0.024,0.5,0.002
8,63,38,0.041,0.020,0.5,0.002
9,57,40,0.041,0.017,0.5,0.002
10,51,34,0.034,0.023,0.6,0.002
11,53,34,0.034,0.025,0.6,0.002
12,52,38,0.043,0.020,0.5,0.002
13,55,39,0.052,0.016,0.6,0.002
14,61,42,0.058,0.016,0.6,0.003
15,55,42,0.053,0.020,0.5,0.003
16,48,34,0.058,0.017,0.5,0.002
17,43,34,0.055,0.014,0.4,0.002
18,39,25,0.044,0.015,0.4,0.002
19,39,25,0.034,0.016,0.3,0.002
20,28,16,0.030,0.016,0.3,0.002
21,27,19,0.026,0.015,0.4,0.002
22,38,21,0.021,0.016,0.4,0.002
23,36,17,0.013,0.023,0.4,0.002
0,33,21,0.013,0.023,0.4,0.002
1,34,31,0.018,0.018,0.6,0.003
2,47,28,0.022,0.011,0.5,0.004
3,35,24,0.045,0.004,0.4,0.002
4,15,8,0.040,0.004,0.4,0.001
5,18,14,0.031,0.008,0.4,0.001
6,18,10,0.025,0.013,0.4,0.001
7,15,12,0.018,0.017,0.4,0.001
8,12,7,0.013,0.023,0.5,0.001
9,17,13,0.012,0.025,0.5,0.002
10,19,15,0.024,0.015,0.6,0.002
11,20,20,0.029,0.013,0.5,0.001
12,27,17,0.034,0.012,0.5,0.001
13,27,19,0.044,0.010,0.4,0.002
14,23,16,0.046,0.010,0.4,0.002
15,26,24,0.037,0.017,0.4,0.002
16,26,22,0.037,0.015,0.5,0.002
17,29,25,0.042,0.014,0.4,0.002
18,42,25,0.030,0.020,0.4,0.002
19,41,28,0.019,0.027,0.5,0.002
20,46,30,0.022,0.022,0.5,0.002
21,49,33,0.028,0.017,0.5,0.001
22,46,29,0.019,0.022,0.5,0.002
23,33,23,0.016,0.018,0.5,0.004
0,30,19,0.016,0.016,0.6,0.004
1,25,17,0.016,0.014,0.6,0.005
2,41,24,0.017,0.011,0.5,0.005
3,33,19,0.017,0.011,0.5,0.006
4,34,20,0.015,0.012,0.6,0.007
