날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,38,,0.007,0.055,0.6,0.004
2,31,,0.007,0.046,0.5,0.004
3,30,,0.005,0.042,0.5,0.003
4,22,,0.004,0.043,0.5,0.003
5,20,,0.004,0.041,0.5,0.003
6,24,,0.006,0.038,0.4,0.003
7,22,,0.009,0.037,0.4,0.002
8,17,,0.007,0.039,0.4,0.002
9,20,,0.010,0.036,0.4,0.003
10,18,,0.012,0.035,0.4,0.003
11,20,,0.022,0.032,0.3,0.003
12,22,,0.036,0.027,0.3,0.003
13,29,,0.039,0.032,0.4,0.003
14,26,,0.045,0.038,0.4,0.003
15,30,,0.057,0.033,0.4,0.003
16,31,,0.058,0.038,0.4,0.003
17,33,,0.072,0.026,0.3,0.003
18,34,,0.051,0.037,0.4,0.003
19,39,,0.034,0.057,0.5,0.003
20,46,,0.010,0.072,0.7,0.002
21,37,,0.008,0.066,0.6,0.002
22,33,,0.002,0.072,0.8,0.002
23,45,,0.002,0.067,0.7,0.003
0,49,,0.002,0.069,0.8,0.003
1,41,,0.002,0.061,0.8,0.003
2,32,,0.006,0.040,0.4,0.002
3,22,,0.008,0.032,0.4,0.002
4,27,,0.013,0.025,0.3,0.002
5,25,,0.015,0.022,0.3,0.002
6,22,,0.013,0.025,0.3,0.002
7,18,,0.010,0.028,0.3,0.002
8,19,,0.005,0.035,0.4,0.002
9,18,,0.006,0.035,0.5,0.003
10,17,,0.009,0.035,0.5,0.003
11,23,,0.009,0.038,0.5,0.003
12,,,,,,
13,17,,0.024,0.034,0.3,0.003
14,21,,0.029,0.033,0.3,0.003
15,23,,0.024,0.041,0.3,0.003
16,23,,0.019,0.047,0.3,0.003
17,21,,0.011,0.056,0.3,0.003
18,20,,0.012,0.053,0.4,0.003
19,19,,0.011,0.049,0.3,0.003
20,20,,0.005,0.052,0.4,0.002
21,11,,0.003,0.051,0.4,0.003
22,23,,0.004,0.045,0.3,0.003
23,19,,0.005,0.040,0.3,0.002
0,14,,0.009,0.034,0.3,0.002
1,12,,0.024,0.029,0.2,0.002
2,6,,0.035,0.016,0.1,0.002
3,4,,0.037,0.012,0.1,0.002
4,3,,0.036,0.012,0.1,0.002
5,1,,0.033,0.014,0.2,0.002
6,6,,0.027,0.020,0.2,0.002
7,2,,0.017,0.030,0.2,0.002
8,3,,0.012,0.035,0.2,0.002
9,2,,0.012,0.035,0.3,0.002
10,6,,0.008,0.038,0.4,0.002
11,7,,0.007,0.037,0.4,0.002
12,11,,0.008,0.034,0.4,0.002
13,5,,0.008,0.033,0.4,0.002
14,8,,0.006,0.035,0.4,0.002
15,11,,0.007,0.035,0.4,0.002
16,1,,0.007,0.033,0.4,0.002
17,6,,0.009,0.026,0.3,0.002
18,6,,0.009,0.027,0.3,0.002
19,10,,0.009,0.028,0.2,0.002
20,5,,0.008,0.030,0.2,0.002
21,13,,0.011,0.027,0.2,0.002
22,7,,0.011,0.025,0.2,0.002
23,5,,0.016,0.019,0.2,0.002
0,7,,0.020,0.017,0.1,0.002
1,2,,0.023,0.014,0.1,0.002
2,8,,0.020,0.016,0.2,0.002
3,6,,0.019,0.015,0.2,0.002
4,7,,0.023,0.013,0.2,0.002
5,8,,0.018,0.017,0.2,0.002
6,9,,0.003,0.029,0.3,0.002
7,8,,0.003,0.035,0.4,0.003
8,18,,0.004,0.036,0.4,0.003
9,15,,0.007,0.034,0.4,0.003
10,10,,0.013,0.032,0.3,0.004
11,10,,0.020,0.033,0.3,0.004
12,21,,0.028,0.026,0.2,0.004
13,17,,0.038,0.018,0.2,0.003
14,16,,0.040,0.022,0.2,0.003
15,17,,0.045,0.021,0.2,0.003
16,19,,0.041,0.024,0.2,0.003
17,19,,0.040,0.027,0.2,0.004
18,28,,0.028,0.036,0.2,0.004
19,22,,0.026,0.036,0.2,0.003
20,21,,0.020,0.040,0.3,0.004
21,22,,0.016,0.041,0.3,0.003
22,19,,0.020,0.031,0.2,0.003
23,15,,0.015,0.034,0.2,0.003
0,19,,0.015,0.033,0.2,0.004
1,20,,0.014,0.033,0.3,0.004
2,18,,0.020,0.027,0.3,0.004
3,25,,0.018,0.025,0.3,0.005
4,17,,0.021,0.021,0.3,0.004
5,19,,0.016,0.024,0.3,0.004
6,20,,0.007,0.031,0.3,0.003
7,21,,0.003,0.035,0.5,0.003
8,21,,0.003,0.036,0.6,0.003
9,30,,0.004,0.040,0.7,0.003
10,24,,0.016,0.037,0.5,0.003
11,15,,0.030,0.029,0.3,0.003
12,21,,0.036,0.028,0.3,0.003
13,27,,0.038,0.033,0.3,0.003
14,27,,0.057,0.035,0.3,0.004
15,40,,0.054,0.033,0.3,0.005
16,25,,0.055,0.028,0.2,0.005
17,20,,0.049,0.028,0.2,0.004
18,25,,0.044,0.028,0.2,0.004
19,23,,0.030,0.037,0.3,0.004
20,25,,0.014,0.047,0.3,0.005
21,39,,0.008,0.048,0.3,0.006
22,29,,0.017,0.035,0.3,0.012
23,22,,0.020,0.032,0.2,0.007
0,30,,0.015,0.032,0.3,0.004
1,27,,0.014,0.033,0.3,0.003
2,22,,0.006,0.039,0.3,0.003
3,20,,0.004,0.039,0.4,0.003
4,24,,0.005,0.036,0.4,0.003
5,26,,0.009,0.030,0.3,0.003
6,21,,0.009,0.029,0.4,0.003
7,30,,0.004,0.036,0.4,0.003
8,26,,0.005,0.036,0.4,0.003
9,27,,0.008,0.035,0.4,0.004
10,27,,0.011,0.041,0.5,0.004
11,36,,0.026,0.036,0.4,0.005
12,28,,0.051,0.026,0.3,0.007
13,44,,0.064,0.025,0.3,0.008
14,44,,0.079,0.019,0.2,0.007
15,41,,0.085,0.021,0.2,0.006
16,43,,0.086,0.019,0.2,0.006
17,32,,0.073,0.020,0.2,0.005
18,34,,0.061,0.022,0.2,0.004
19,38,,0.041,0.030,0.3,0.005
20,39,,0.029,0.032,0.3,0.004
21,37,,0.021,0.032,0.3,0.003
22,33,,0.019,0.033,0.3,0.003
23,36,,0.025,0.030,0.3,0.003
0,28,,0.016,0.038,0.3,0.003
1,31,,0.008,0.043,0.4,0.003
2,32,,0.008,0.038,0.4,0.003
3,32,,0.007,0.035,0.4,0.003
4,35,,0.018,0.023,0.4,0.003
5,33,,0.020,0.020,0.4,0.003
6,38,,0.008,0.030,0.4,0.003
7,40,,0.003,0.034,0.4,0.003
8,43,,0.005,0.035,0.5,0.003
9,37,,0.021,0.026,0.4,0.003
10,32,,0.030,0.024,0.4,0.004
11,40,,0.037,0.025,0.4,0.004
12,40,,0.039,0.031,0.4,0.004
13,38,,0.049,0.026,0.3,0.004
14,43,,0.062,0.023,0.3,0.004
15,42,,0.074,0.024,0.3,0.004
16,41,,0.085,0.023,0.3,0.004
17,48,,0.073,0.019,0.3,0.004
18,49,,0.053,0.020,0.3,0.003
19,49,,0.040,0.024,0.3,0.004
20,46,,0.033,0.028,0.4,0.004
21,50,,0.032,0.027,0.4,0.004
22,60,,0.027,0.028,0.4,0.003
23,61,,0.029,0.026,0.4,0.003
0,55,,0.032,0.023,0.4,0.003
1,53,,0.031,0.024,0.4,0.003
2,48,,0.036,0.018,0.4,0.003
3,46,,0.032,0.019,0.4,0.003
4,44,,0.019,0.022,0.4,0.003
5,44,,0.018,0.019,0.4,0.002
6,47,,0.009,0.026,0.4,0.003
7,48,,0.004,0.032,0.5,0.003
8,43,,0.006,0.031,0.5,0.003
9,41,,0.014,0.030,0.4,0.003
10,43,,0.017,0.031,0.5,0.003
11,48,,0.027,0.031,0.5,0.003
12,52,,0.043,0.024,0.4,0.003
13,57,,0.060,0.021,0.4,0.003
14,45,,0.073,0.017,0.3,0.004
15,42,,0.073,0.017,0.3,0.005
16,55,,0.072,0.018,0.3,0.004
17,64,,0.060,0.018,0.3,0.004
18,64,,0.053,0.021,0.3,0.003
19,59,,0.040,0.032,0.3,0.005
20,46,,0.039,0.031,0.2,0.009
21,38,,0.035,0.024,0.2,0.006
22,36,,0.030,0.024,0.2,0.006
23,39,,0.034,0.020,0.3,0.006
0,59,,0.042,0.019,0.4,0.007
1,88,,0.053,0.014,0.5,0.008
2,116,,0.062,0.011,0.7,0.008
3,124,,0.061,0.010,0.7,0.008
4,119,,0.048,0.012,0.6,0.007
5,78,,0.026,0.018,0.5,0.006
6,84,,0.039,0.014,0.7,0.005
7,106,,0.043,0.013,0.7,0.005
8,104,,0.039,0.015,0.7,0.006
9,118,,0.038,0.017,0.7,0.006
10,107,,0.043,0.018,0.7,0.007
11,106,,0.049,0.015,0.6,0.007
12,87,,0.054,0.014,0.5,0.007
13,58,,0.054,0.014,0.3,0.005
14,36,,0.060,0.018,0.2,0.004
15,23,,0.065,0.021,0.1,0.004
16,19,,0.060,0.023,0.1,0.005
17,17,,0.057,0.025,0.1,0.005
18,14,,0.052,0.027,0.1,0.005
19,14,,0.046,0.027,0.1,0.005
20,18,,0.035,0.035,0.1,0.008
21,23,,0.040,0.028,0.1,0.010
22,20,,0.037,0.026,0.2,0.005
23,14,,0.014,0.047,0.3,0.004
0,21,,0.004,0.055,0.3,0.004
1,16,,0.003,0.053,0.3,0.003
2,21,,0.011,0.040,0.3,0.003
3,16,,0.007,0.040,0.3,0.003
4,19,,0.004,0.042,0.4,0.003
5,23,,0.003,0.041,0.4,0.003
6,18,,0.002,0.041,0.4,0.003
7,23,,0.003,0.040,0.4,0.003
8,26,,0.005,0.037,0.4,0.003
9,23,,0.011,0.034,0.4,0.003
10,15,,0.022,0.030,0.3,0.004
11,22,,0.021,0.036,0.4,0.004
12,30,,0.025,0.038,0.4,0.004
13,31,,0.035,0.031,0.3,0.003
14,32,,0.039,0.033,0.2,0.003
15,31,,0.043,0.035,0.2,0.004
16,27,,0.054,0.029,0.2,0.003
17,23,,0.064,0.025,0.2,0.003
18,25,,0.066,0.023,0.2,0.003
19,30,,0.058,0.020,0.2,0.003
20,26,,0.035,0.032,0.2,0.003
21,27,,0.029,0.032,0.2,0.003
22,26,,0.029,0.030,0.2,0.003
23,28,,0.026,0.032,0.3,0.003
0,28,,0.019,0.037,0.4,0.003
1,22,,0.010,0.044,0.3,0.003
2,28,,0.011,0.039,0.3,0.003
3,26,,0.009,0.039,0.3,0.003
4,29,,0.010,0.035,0.3,0.003
5,28,,0.009,0.034,0.3,0.003
6,32,,0.008,0.035,0.3,0.003
7,36,,0.005,0.039,0.4,0.003
8,35,,0.007,0.038,0.5,0.003
9,36,,0.011,0.036,0.4,0.003
10,26,,0.014,0.036,0.4,0.003
11,33,,0.023,0.030,0.4,0.003
12,36,,0.028,0.033,0.4,0.003
13,36,,0.029,0.035,0.4,0.003
14,44,,0.040,0.027,0.3,0.003
15,33,,0.054,0.023,0.2,0.003
16,35,,0.059,0.024,0.2,0.003
17,32,,0.067,0.023,0.2,0.003
18,37,,0.065,0.019,0.2,0.003
19,38,,0.052,0.021,0.2,0.003
20,31,,0.030,0.037,0.3,0.003
21,38,,0.017,0.049,0.4,0.003
22,41,,0.022,0.044,0.4,0.003
23,36,,0.030,0.036,0.3,0.003
0,31,,0.025,0.039,0.3,0.003
1,38,,0.003,0.058,0.5,0.003
2,41,,0.003,0.053,0.5,0.003
3,36,,0.004,0.047,0.5,0.003
4,40,,0.003,0.046,0.5,0.003
5,38,,0.004,0.042,0.5,0.003
6,34,,0.013,0.033,0.3,0.003
7,34,,0.006,0.039,0.4,0.003
8,33,,0.009,0.037,0.4,0.003
9,31,,0.007,0.041,0.4,0.003
10,35,,0.007,0.042,0.4,0.003
11,30,,0.012,0.040,0.4,0.003
12,32,,0.016,0.041,0.4,0.004
13,40,,0.014,0.047,0.5,0.004
14,38,,0.018,0.046,0.4,0.004
15,35,,0.024,0.045,0.4,0.003
16,35,,0.019,0.050,0.4,0.003
17,40,,0.018,0.054,0.4,0.003
18,36,,0.024,0.048,0.4,0.003
19,26,,0.012,0.064,0.6,0.003
20,37,,0.005,0.071,0.7,0.004
21,48,,0.009,0.064,0.6,0.004
22,50,,0.005,0.067,0.7,0.004
23,43,,0.003,0.066,0.6,0.003
0,38,,0.005,0.061,0.6,0.003
1,42,,0.003,0.056,0.6,0.003
2,32,,0.007,0.049,0.5,0.004
3,30,,0.014,0.037,0.5,0.003
4,25,,0.021,0.024,0.4,0.003
5,27,,0.019,0.022,0.3,0.003
6,25,,0.009,0.033,0.3,0.003
7,23,,0.007,0.036,0.3,0.003
8,20,,0.007,0.036,0.3,0.003
9,16,,0.011,0.033,0.3,0.003
10,13,,0.015,0.032,0.3,0.003
11,16,,0.022,0.027,0.2,0.003
12,22,,0.027,0.030,0.2,0.003
13,14,,0.033,0.028,0.2,0.003
14,22,,0.037,0.027,0.2,0.003
15,17,,0.033,0.033,0.2,0.003
16,16,,0.038,0.029,0.1,0.003
17,14,,0.039,0.028,0.1,0.003
18,15,,0.025,0.041,0.2,0.003
19,19,,0.017,0.045,0.2,0.003
20,14,,0.010,0.046,0.2,0.003
21,14,,0.003,0.058,0.4,0.003
22,22,,0.006,0.044,0.3,0.003
23,15,,0.007,0.040,0.2,0.003
0,14,,0.006,0.037,0.2,0.003
1,13,,0.008,0.034,0.2,0.003
2,9,,0.019,0.019,0.2,0.003
3,11,,0.022,0.015,0.1,0.003
4,7,,0.021,0.015,0.1,0.003
5,8,,0.021,0.015,0.1,0.003
6,12,,0.017,0.018,0.1,0.003
7,5,,0.011,0.024,0.2,0.003
8,8,,0.010,0.027,0.2,0.003
9,4,,0.013,0.024,0.2,0.003
10,13,,0.015,0.024,0.2,0.003
11,12,,0.018,0.025,0.2,0.003
12,16,,0.024,0.024,0.1,0.003
13,15,,0.030,0.022,0.1,0.003
14,14,,0.033,0.024,0.1,0.003
15,12,,0.037,0.023,0.1,0.003
16,18,,0.035,0.029,0.2,0.003
17,16,,0.039,0.026,0.1,0.003
18,14,,0.040,0.028,0.2,0.004
19,24,,0.043,0.026,0.3,0.006
20,23,,0.031,0.032,0.3,0.006
21,30,,0.030,0.032,0.3,0.006
22,21,,0.029,0.032,0.3,0.005
23,33,,0.040,0.023,0.2,0.004
0,23,,0.049,0.017,0.2,0.004
1,23,,0.055,0.015,0.2,0.004
2,26,,0.052,0.014,0.2,0.004
3,22,,0.052,0.013,0.2,0.004
4,23,,0.048,0.013,0.2,0.004
5,24,,0.039,0.016,0.2,0.004
6,26,,0.032,0.022,0.3,0.003
7,25,,0.023,0.029,0.3,0.003
8,26,,0.014,0.039,0.3,0.003
9,22,,0.020,0.036,0.3,0.004
10,32,,0.031,0.027,0.3,0.004
11,33,,0.046,0.019,0.3,0.004
12,37,,0.042,0.027,0.3,0.004
13,35,,0.057,0.022,0.2,0.004
14,37,,0.064,0.023,0.2,0.005
15,39,,0.078,0.022,0.2,0.004
16,42,,0.073,0.021,0.2,0.004
17,27,,0.059,0.023,0.2,0.004
18,39,,0.053,0.024,0.2,0.004
19,45,,0.042,0.030,0.3,0.003
20,47,,0.039,0.028,0.3,0.003
21,42,,0.041,0.022,0.4,0.003
22,49,,0.033,0.028,0.4,0.003
23,45,,0.034,0.018,0.2,0.004
0,36,,0.032,0.016,0.2,0.004
1,35,,0.029,0.018,0.1,0.004
2,34,,0.025,0.021,0.1,0.003
3,31,,0.024,0.019,0.2,0.004
4,25,,0.025,0.018,0.1,0.004
5,29,,0.027,0.018,0.1,0.004
6,22,,0.016,0.028,0.2,0.004
7,30,,0.008,0.039,0.2,0.004
8,33,,0.005,0.046,0.3,0.004
9,25,,0.008,0.044,0.3,0.004
10,30,,0.012,0.041,0.3,0.004
11,25,,0.016,0.039,0.3,0.004
12,30,,0.018,0.041,0.3,0.004
13,33,,0.020,0.041,0.3,0.004
14,32,,0.034,0.032,0.2,0.004
15,33,,0.047,0.031,0.2,0.004
16,28,,0.055,0.028,0.1,0.004
17,26,,0.047,0.031,0.1,0.004
18,29,,0.039,0.036,0.2,0.005
19,36,,0.042,0.038,0.3,0.006
20,38,,0.027,0.052,0.3,0.006
21,43,,0.032,0.040,0.3,0.006
22,39,,0.048,0.022,0.2,0.006
23,41,,0.033,0.034,0.3,0.005
0,44,,0.022,0.043,0.3,0.005
1,41,,0.019,0.041,0.3,0.005
2,45,,0.021,0.034,0.3,0.005
3,40,,0.021,0.029,0.2,0.005
4,41,,0.022,0.025,0.2,0.005
5,41,,0.016,0.029,0.2,0.005
6,39,,0.006,0.040,0.2,0.005
7,42,,0.004,0.040,0.2,0.005
8,40,,0.006,0.040,0.3,0.005
9,49,,0.004,0.045,0.3,0.005
10,52,,0.010,0.039,0.3,0.005
11,44,,0.015,0.036,0.2,0.005
12,44,,0.016,0.037,0.3,0.005
13,45,,0.017,0.037,0.2,0.005
14,47,,0.016,0.038,0.2,0.005
15,49,,0.017,0.040,0.2,0.005
16,44,,0.020,0.040,0.2,0.005
17,50,,0.018,0.045,0.2,0.005
18,49,,0.025,0.043,0.2,0.004
19,50,,0.010,0.058,0.3,0.004
20,51,,0.005,0.063,0.4,0.004
21,48,,0.003,0.063,0.5,0.004
22,49,,0.003,0.066,0.5,0.005
23,46,,0.004,0.055,0.4,0.004
0,28,,0.008,0.042,0.3,0.003
1,19,,0.009,0.037,0.3,0.004
2,27,,0.013,0.029,0.2,0.004
3,14,,0.020,0.020,0.2,0.004
4,20,,0.024,0.015,0.1,0.003
5,19,,0.019,0.018,0.2,0.003
6,17,,0.009,0.030,0.2,0.004
7,16,,0.006,0.034,0.2,0.004
8,14,,0.006,0.037,0.3,0.004
9,21,,0.009,0.037,0.3,0.004
10,15,,0.016,0.029,0.2,0.004
11,17,,0.016,0.030,0.2,0.004
12,,,,,,
13,25,,0.014,0.037,0.2,0.004
14,20,,0.016,0.041,0.3,0.004
15,16,,0.020,0.039,0.2,0.003
16,24,,0.015,0.049,0.3,0.004
17,17,,0.014,0.050,0.2,0.004
18,14,,0.011,0.051,0.3,0.003
19,30,,0.005,0.060,0.4,0.004
20,24,,0.003,0.063,0.4,0.004
21,26,,0.002,0.063,0.4,0.004
22,28,,0.003,0.068,0.6,0.004
23,33,,0.003,0.071,0.8,0.004
0,34,,0.003,0.067,0.7,0.004
1,29,,0.002,0.060,0.6,0.004
2,27,,0.002,0.055,0.6,0.004
3,28,,0.002,0.053,0.6,0.004
4,28,,0.002,0.051,0.5,0.004
5,24,,0.002,0.047,0.5,0.004
6,23,,0.002,0.043,0.4,0.004
7,23,,0.002,0.041,0.4,0.004
8,18,,0.004,0.041,0.4,0.004
9,22,,0.005,0.043,0.3,0.004
10,17,,0.009,0.041,0.4,0.004
11,19,,0.011,0.046,0.4,0.004
12,27,,0.016,0.048,0.4,0.004
13,28,,0.024,0.043,0.3,0.004
14,31,,0.034,0.032,0.2,0.004
15,21,,0.032,0.037,0.2,0.004
16,22,,0.032,0.040,0.2,0.004
17,25,,0.027,0.048,0.2,0.004
18,26,,0.018,0.061,0.3,0.004
19,37,,0.039,0.049,0.2,0.006
20,35,,0.038,0.048,0.2,0.005
21,37,,0.033,0.048,0.3,0.004
22,42,,0.018,0.060,0.3,0.004
23,33,,0.003,0.076,0.4,0.004
0,29,,0.003,0.075,0.4,0.004
1,33,,0.002,0.071,0.5,0.004
2,29,,0.002,0.067,0.6,0.004
3,34,,0.002,0.065,0.6,0.004
4,34,,0.002,0.059,0.6,0.004
5,30,,0.003,0.053,0.4,0.004
6,25,,0.003,0.049,0.3,0.004
7,25,,0.003,0.047,0.3,0.004
8,23,,0.006,0.047,0.3,0.004
9,24,,0.010,0.045,0.3,0.004
10,18,,0.013,0.046,0.3,0.004
11,25,,0.019,0.045,0.3,0.004
12,23,,0.024,0.044,0.2,0.004
13,28,,0.026,0.045,0.2,0.004
14,28,,0.031,0.039,0.1,0.004
15,17,,0.031,0.042,0.1,0.004
16,17,,0.031,0.046,0.1,0.004
17,18,,0.029,0.046,0.1,0.004
18,13,,0.022,0.055,0.1,0.004
19,23,,0.032,0.053,0.2,0.004
20,56,,0.064,0.042,0.3,0.005
21,62,,0.065,0.035,0.3,0.005
22,55,,0.069,0.033,0.3,0.005
23,46,,0.018,0.075,0.4,0.004
0,47,,0.026,0.063,0.3,0.005
1,42,,0.007,0.075,0.5,0.004
2,38,,0.012,0.064,0.4,0.004
3,27,,0.013,0.052,0.4,0.004
4,34,,0.014,0.047,0.4,0.004
5,24,,0.019,0.036,0.3,0.004
6,26,,0.009,0.043,0.3,0.004
7,24,,0.007,0.041,0.3,0.004
8,17,,0.010,0.037,0.2,0.004
9,19,,0.013,0.036,0.2,0.005
10,27,,0.017,0.037,0.2,0.005
11,26,,0.018,0.040,0.3,0.005
12,33,,0.014,0.044,0.3,0.005
13,29,,0.013,0.045,0.4,0.005
14,29,,0.019,0.042,0.4,0.006
15,29,,0.032,0.038,0.3,0.007
16,24,,0.038,0.034,0.3,0.008
17,25,,0.039,0.035,0.2,0.007
18,19,,0.042,0.034,0.2,0.007
