날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,144,43,0.024,0.041,0.6,0.003
2,142,41,0.025,0.037,0.6,0.003
3,153,45,0.026,0.034,0.7,0.003
4,163,43,0.046,0.021,0.7,0.004
5,165,40,0.051,0.015,0.6,0.003
6,158,40,0.038,0.025,0.6,0.003
7,154,43,0.028,0.034,0.7,0.003
8,144,45,0.030,0.035,0.7,0.003
9,137,47,0.024,0.041,0.8,0.003
10,123,45,0.033,0.031,0.7,0.004
11,79,30,0.035,0.020,0.6,0.004
12,58,25,0.030,0.026,0.6,0.003
13,57,27,0.032,0.026,0.6,0.004
14,52,26,0.036,0.025,0.5,0.003
15,46,23,0.039,0.026,0.5,0.003
16,43,19,0.041,0.026,0.4,0.003
17,39,20,0.041,0.027,0.4,0.003
18,38,19,0.030,0.039,0.5,0.003
19,36,17,0.018,0.049,0.5,0.003
20,36,17,0.005,0.062,0.6,0.003
21,38,20,0.002,0.067,0.8,0.003
22,40,23,0.002,0.066,0.9,0.003
23,44,24,0.002,0.065,0.9,0.003
0,39,23,0.002,0.061,0.8,0.003
1,39,24,0.002,0.063,1.0,0.003
2,41,25,0.002,0.061,0.9,0.004
3,43,25,0.002,0.057,0.9,0.003
4,40,23,0.002,0.055,0.9,0.003
5,41,25,0.002,0.051,0.8,0.003
6,45,25,0.002,0.049,0.7,0.004
7,45,24,0.002,0.051,0.8,0.004
8,47,26,0.002,0.052,0.8,0.004
9,53,28,0.004,0.054,0.8,0.004
10,64,33,0.007,0.050,0.8,0.004
11,69,35,0.007,0.059,0.9,0.004
12,75,39,0.011,0.057,0.8,0.004
13,79,40,0.014,0.057,0.8,0.005
14,80,42,0.020,0.056,0.7,0.005
15,85,44,0.020,0.059,0.7,0.005
16,86,43,0.033,0.049,0.7,0.005
17,85,40,0.038,0.045,0.6,0.007
18,90,44,0.009,0.081,0.8,0.008
19,98,56,0.005,0.084,0.8,0.010
20,87,51,0.003,0.084,0.8,0.008
21,93,55,0.003,0.079,0.9,0.007
22,90,56,0.009,0.068,0.8,0.007
23,70,47,0.019,0.051,0.7,0.006
0,70,43,0.017,0.051,0.7,0.005
1,76,47,0.020,0.043,0.7,0.005
2,74,46,0.024,0.032,0.6,0.004
3,76,47,0.020,0.033,0.6,0.004
4,74,47,0.011,0.043,0.7,0.005
5,77,50,0.013,0.036,0.7,0.004
6,71,47,0.007,0.041,0.7,0.004
7,66,44,0.004,0.046,0.7,0.004
8,75,49,0.003,0.048,0.8,0.004
9,74,49,0.006,0.046,0.8,0.004
10,75,49,0.016,0.041,0.8,0.005
11,70,45,0.028,0.032,0.7,0.005
12,77,46,0.038,0.027,0.6,0.004
13,69,42,0.042,0.023,0.6,0.004
14,56,32,0.042,0.020,0.5,0.004
15,28,17,0.035,0.018,0.4,0.003
16,18,11,0.035,0.017,0.4,0.003
17,16,9,0.030,0.020,0.3,0.003
18,13,8,0.027,0.020,0.3,0.002
19,11,8,0.023,0.022,0.4,0.003
20,10,7,0.022,0.020,0.3,0.003
21,9,7,0.020,0.022,0.4,0.002
22,7,5,0.021,0.019,0.3,0.002
23,4,4,0.018,0.021,0.3,0.002
0,5,4,0.021,0.018,0.3,0.002
1,6,3,0.022,0.017,0.3,0.003
2,5,4,0.021,0.018,0.3,0.002
3,5,4,0.021,0.017,0.3,0.002
4,6,4,0.022,0.014,0.3,0.003
5,6,3,0.021,0.016,0.3,0.002
6,6,4,0.013,0.025,0.4,0.002
7,8,5,0.005,0.035,0.4,0.002
8,9,5,0.005,0.037,0.5,0.003
9,10,2,0.010,0.033,0.4,0.002
10,10,4,0.013,0.029,0.4,0.003
11,14,6,0.015,0.029,0.4,0.002
12,11,6,0.019,0.026,0.4,0.003
13,12,4,0.024,0.021,0.4,0.003
14,14,8,0.023,0.026,0.4,0.003
15,14,8,0.023,0.028,0.4,0.003
16,14,7,0.023,0.028,0.4,0.002
17,15,9,0.019,0.035,0.4,0.003
18,17,9,0.015,0.041,0.4,0.002
19,19,8,0.008,0.052,0.4,0.003
20,25,14,0.007,0.050,0.4,0.003
21,24,13,0.006,0.047,0.4,0.003
22,20,11,0.014,0.039,0.4,0.003
23,19,11,0.016,0.037,0.5,0.003
0,20,11,0.012,0.040,0.5,0.003
1,23,12,0.003,0.049,0.6,0.003
2,21,12,0.003,0.049,0.7,0.003
3,21,12,0.002,0.048,0.7,0.003
4,21,13,0.002,0.049,0.7,0.003
5,21,11,0.002,0.047,0.7,0.003
6,20,14,0.002,0.046,0.8,0.003
7,22,12,0.002,0.045,0.8,0.003
8,24,14,0.002,0.046,0.8,0.003
9,25,15,0.003,0.050,0.8,0.004
10,34,18,0.004,0.054,0.8,0.004
11,42,22,0.009,0.046,0.6,0.004
12,35,19,0.035,0.020,0.4,0.004
13,31,18,0.032,0.026,0.4,0.003
14,36,24,0.039,0.024,0.4,0.004
15,35,27,0.041,0.025,0.4,0.004
16,26,18,0.043,0.024,0.4,0.004
17,27,17,0.042,0.026,0.4,0.004
18,32,20,0.036,0.031,0.4,0.004
19,32,20,0.019,0.047,0.5,0.003
20,36,22,0.016,0.048,0.6,0.003
21,34,21,0.014,0.050,0.5,0.003
22,35,23,0.005,0.062,0.7,0.003
23,39,26,0.002,0.063,0.7,0.004
0,38,26,0.002,0.065,0.9,0.004
1,42,28,0.005,0.060,0.7,0.004
2,40,27,0.004,0.055,0.8,0.003
