날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,
17,17,8,0.026,0.017,0.3,0.004,
18,20,11,0.028,0.014,0.3,0.004,
19,19,9,0.025,0.016,0.3,0.004,
20,26,15,0.008,0.029,0.4,0.004,
21,29,11,0.004,0.030,0.4,0.004,
22,25,14,0.004,0.032,0.4,0.004,
23,24,16,0.002,0.032,0.5,0.004,
0,25,16,0.002,0.034,0.4,0.004,
1,30,16,0.002,0.031,0.5,0.004,
2,26,15,0.004,0.024,0.5,0.004,
3,36,15,0.016,0.013,0.4,0.004,
4,33,18,0.020,0.008,0.3,0.004,
5,31,12,0.018,0.008,0.3,0.004,
6,37,12,0.013,0.013,0.3,0.004,
7,38,15,0.014,0.014,0.3,0.004,
8,30,5,0.018,0.013,0.3,0.004,
9,25,7,0.021,0.011,0.3,0.004,
10,35,2,0.020,0.013,0.3,0.004,
11,33,5,0.029,0.009,0.3,0.004,
12,33,14,0.035,0.008,0.3,0.004,
13,28,9,0.034,0.008,0.3,0.004,
14,26,10,0.033,0.010,0.3,0.004,
15,41,11,0.030,0.012,0.3,0.004,
16,51,9,0.031,0.012,0.3,0.004,
17,54,17,0.028,0.013,0.3,0.004,
18,50,7,0.028,0.012,0.3,0.004,
19,49,12,0.026,0.012,0.3,0.004,
20,44,8,0.025,0.009,0.3,0.004,
21,39,4,0.023,0.009,0.2,0.004,
22,17,6,0.025,0.007,0.3,0.004,
23,11,5,0.022,0.009,0.3,0.004,
0,12,9,0.023,0.009,0.3,0.004,
1,14,5,0.025,0.006,0.3,0.004,
2,10,6,0.025,0.004,0.3,0.004,
3,11,4,0.022,0.004,0.3,0.004,
4,6,5,0.019,0.005,0.3,0.004,
5,7,6,0.019,0.005,0.3,0.004,
6,4,3,0.017,0.008,0.3,0.004,
7,9,2,0.012,0.013,0.3,0.004,
8,5,6,0.011,0.013,0.3,0.004,
9,14,4,0.012,0.014,0.3,0.004,
10,8,1,0.013,0.015,0.4,0.004,
11,13,8,0.014,0.015,0.4,0.005,
12,18,2,0.014,0.015,0.3,0.006,
13,12,11,0.014,0.016,0.3,0.006,
14,18,6,0.015,0.015,0.3,0.007,
15,24,10,0.013,0.019,0.4,0.007,
16,24,10,0.014,0.021,0.4,0.005,
17,18,5,0.018,0.018,0.3,0.005,
18,26,12,0.020,0.020,0.4,0.005,
19,31,7,0.019,0.021,0.4,0.004,
20,37,8,0.013,0.026,0.4,0.007,
21,37,14,0.004,0.036,0.5,0.006,
22,54,18,0.005,0.035,0.6,0.005,
23,44,14,0.008,0.033,0.5,0.005,
0,39,15,0.012,0.027,0.4,0.006,
,,,,,,,
,,,,,,,
