날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,21,11,0.017,0.048,0.5,0.003
2,21,11,0.020,0.044,0.5,0.003
3,21,10,0.032,0.030,0.4,0.003
4,22,11,0.029,0.030,0.4,0.003
5,24,13,0.029,0.028,0.4,0.003
6,23,13,0.017,0.040,0.4,0.003
7,25,17,0.013,0.042,0.5,0.003
8,27,16,0.012,0.045,0.5,0.004
9,32,19,0.019,0.041,0.4,0.005
10,33,19,0.032,0.034,0.6,0.006
11,37,23,0.036,0.031,0.5,0.004
12,51,30,0.064,0.018,0.4,0.003
13,56,32,0.073,0.013,0.4,0.003
14,47,26,0.073,0.014,0.4,0.003
15,47,26,0.074,0.013,0.4,0.003
16,56,29,0.072,0.016,0.5,0.003
17,62,33,0.067,0.021,0.6,0.004
18,61,30,0.060,0.022,0.5,0.004
19,71,29,0.044,0.032,0.6,0.003
20,75,29,0.035,0.039,0.6,0.003
21,83,29,0.031,0.041,0.6,0.003
22,94,20,0.050,0.018,0.4,0.003
23,92,19,0.050,0.018,0.4,0.003
0,83,18,0.048,0.018,0.4,0.003
1,87,17,0.053,0.014,0.4,0.003
2,79,17,0.045,0.018,0.4,0.003
3,75,19,0.042,0.019,0.4,0.003
4,70,18,0.044,0.016,0.4,0.003
5,67,18,0.037,0.019,0.4,0.003
6,63,18,0.032,0.024,0.4,0.003
7,62,18,0.018,0.037,0.5,0.003
8,61,18,0.013,0.044,0.5,0.003
9,61,17,0.027,0.033,0.5,0.003
10,46,12,0.041,0.017,0.4,0.003
11,39,12,0.050,0.012,0.3,0.003
12,33,10,0.059,0.009,0.3,0.003
13,31,9,0.062,0.010,0.3,0.003
14,29,9,0.057,0.015,0.3,0.003
15,29,8,0.060,0.012,0.3,0.002
16,33,10,0.055,0.018,0.3,0.003
17,37,8,0.050,0.024,0.4,0.003
18,41,13,0.044,0.032,0.5,0.004
19,36,12,0.041,0.032,0.4,0.003
20,26,10,0.040,0.031,0.4,0.003
21,22,10,0.035,0.039,0.5,0.003
22,28,11,0.028,0.042,0.4,0.004
23,28,12,0.034,0.039,0.4,0.005
0,33,13,0.043,0.030,0.4,0.005
1,38,15,0.031,0.038,0.5,0.005
2,39,15,0.013,0.050,0.6,0.004
3,37,17,0.018,0.039,0.6,0.004
4,35,16,0.017,0.038,0.6,0.004
5,35,17,0.009,0.045,0.6,0.004
6,33,15,0.003,0.053,0.6,0.003
7,35,17,0.005,0.053,0.6,0.004
8,39,16,0.009,0.051,0.6,0.005
9,41,16,0.017,0.051,0.6,0.005
10,40,16,0.031,0.046,0.6,0.006
11,44,21,0.027,0.054,0.6,0.006
12,46,21,0.026,0.053,0.6,0.006
13,50,23,0.035,0.057,0.6,0.005
14,50,23,0.052,0.046,0.6,0.005
15,62,31,0.092,0.040,0.6,0.008
16,66,29,0.101,0.036,0.7,0.009
17,61,28,0.086,0.038,0.7,0.007
18,56,29,0.085,0.038,0.7,0.008
19,68,38,0.077,0.052,0.8,0.009
20,78,43,0.072,0.056,1.0,0.008
21,88,51,0.048,0.065,0.9,0.008
22,84,48,0.034,0.071,0.9,0.007
23,90,49,0.027,0.074,0.8,0.007
0,86,50,0.029,0.071,0.8,0.006
1,91,54,0.036,0.060,0.8,0.007
2,86,53,0.034,0.055,0.8,0.007
3,100,60,0.033,0.047,0.8,0.007
4,99,63,0.036,0.038,0.8,0.006
5,97,61,0.032,0.038,0.9,0.005
6,84,55,0.034,0.039,0.8,0.005
7,90,60,0.008,0.067,0.9,0.005
8,90,60,0.013,0.067,0.9,0.006
9,106,66,0.019,0.069,0.9,0.007
10,100,77,0.025,0.069,1.0,0.007
11,97,92,0.044,0.062,0.9,0.007
12,92,55,0.057,0.059,0.8,0.006
13,85,50,0.064,0.053,0.7,0.005
14,71,38,0.084,0.037,0.6,0.005
15,73,38,0.097,0.032,0.5,0.006
16,73,40,0.109,0.033,0.6,0.008
17,71,36,0.105,0.026,0.5,0.006
18,54,29,0.098,0.025,0.4,0.005
19,53,25,0.082,0.034,0.5,0.005
20,50,26,0.072,0.038,0.5,0.004
21,52,30,0.061,0.045,0.5,0.004
22,56,33,0.044,0.061,0.6,0.004
23,65,37,0.037,0.061,0.6,0.005
0,90,59,0.014,0.084,0.8,0.005
1,124,87,0.007,0.088,0.9,0.005
2,107,74,0.023,0.066,0.8,0.006
3,82,59,0.039,0.043,0.7,0.006
4,76,52,0.034,0.041,0.8,0.006
5,77,52,0.018,0.048,0.8,0.005
6,73,51,0.011,0.053,0.8,0.004
7,72,49,0.007,0.056,0.9,0.005
8,65,43,0.009,0.057,0.9,0.004
9,67,41,0.017,0.059,0.8,0.005
10,70,44,0.026,0.063,0.9,0.006
11,71,47,0.051,0.050,0.8,0.005
12,63,38,0.085,0.045,0.9,0.005
13,50,30,0.087,0.024,0.4,0.006
14,48,27,0.088,0.020,0.4,0.007
15,39,17,0.089,0.016,0.4,0.004
16,41,17,0.101,0.013,0.4,0.004
17,42,20,0.101,0.016,0.4,0.004
18,39,22,0.103,0.016,0.4,0.004
19,39,23,0.095,0.022,0.4,0.004
20,43,25,0.081,0.027,0.5,0.004
21,46,26,0.079,0.025,0.5,0.005
22,55,29,0.070,0.022,0.5,0.005
23,63,28,0.056,0.021,0.5,0.004
0,47,15,0.049,0.011,0.3,0.003
1,31,8,0.044,0.008,0.3,0.003
2,25,7,0.040,0.008,0.3,0.002
3,22,7,0.042,0.007,0.3,0.002
4,20,6,0.046,0.006,0.3,0.002
5,16,5,0.046,0.006,0.3,0.002
6,18,5,0.043,0.008,0.3,0.002
7,20,7,0.041,0.010,0.3,0.003
8,21,7,0.041,0.012,0.3,0.002
9,24,10,0.046,0.009,0.3,0.002
10,21,9,0.051,0.008,0.3,0.002
11,24,12,0.056,0.007,0.3,0.002
12,24,10,0.057,0.008,0.3,0.002
13,25,10,0.058,0.007,0.3,0.002
14,25,12,0.058,0.008,0.3,0.002
15,23,9,0.060,0.008,0.3,0.003
16,22,7,0.059,0.007,0.3,0.003
17,22,7,0.059,0.008,0.3,0.002
18,26,7,0.057,0.010,0.3,0.003
19,33,8,0.051,0.015,0.3,0.003
20,36,10,0.050,0.017,0.3,0.003
21,37,11,0.044,0.020,0.3,0.004
22,37,9,0.041,0.021,0.4,0.004
23,36,8,0.039,0.022,0.4,0.003
0,36,8,0.039,0.021,0.4,0.003
1,34,8,0.045,0.014,0.3,0.003
2,32,8,0.036,0.021,0.4,0.003
3,31,8,0.028,0.025,0.4,0.003
4,31,10,0.024,0.027,0.4,0.003
5,32,11,0.024,0.025,0.4,0.002
6,30,10,0.015,0.035,0.4,0.002
7,29,10,0.009,0.043,0.4,0.003
8,35,11,0.007,0.047,0.6,0.003
9,41,14,0.012,0.051,0.5,0.004
10,43,15,0.023,0.047,0.6,0.005
11,46,18,0.030,0.043,0.6,0.005
12,47,18,0.042,0.038,0.7,0.004
13,57,20,0.062,0.021,0.5,0.004
14,48,15,0.067,0.019,0.5,0.004
15,42,13,0.072,0.019,0.5,0.005
16,43,16,0.070,0.024,0.5,0.005
17,49,20,0.072,0.025,0.5,0.005
18,46,19,0.065,0.032,0.6,0.006
19,44,20,0.063,0.033,0.5,0.005
20,44,20,0.066,0.031,0.5,0.005
21,39,15,0.057,0.029,0.5,0.004
22,33,16,0.045,0.035,0.5,0.005
23,34,14,0.048,0.029,0.4,0.004
0,31,14,0.047,0.027,0.4,0.004
1,31,13,0.048,0.026,0.4,0.005
2,30,14,0.047,0.026,0.4,0.005
3,29,15,0.048,0.022,0.4,0.005
4,27,13,0.050,0.019,0.4,0.004
5,27,12,0.040,0.025,0.4,0.004
6,27,13,0.022,0.041,0.4,0.004
7,30,15,0.019,0.048,0.5,0.005
8,31,13,0.022,0.049,0.5,0.004
9,35,13,0.033,0.044,0.4,0.005
10,36,13,0.040,0.038,0.6,0.005
11,40,17,0.051,0.032,0.5,0.005
12,44,19,0.055,0.034,0.5,0.006
13,47,22,0.074,0.023,0.5,0.005
14,48,21,0.079,0.021,0.5,0.005
15,50,21,0.079,0.025,0.5,0.005
16,52,22,0.083,0.026,0.5,0.005
