날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,27,16,0.037,0.022,0.4,0.002
2,25,15,0.037,0.021,0.4,0.003
3,23,13,0.041,0.016,0.4,0.003
4,22,12,0.030,0.025,0.5,0.002
5,23,12,0.032,0.023,0.4,0.002
6,21,11,0.022,0.033,0.4,0.002
7,21,9,0.018,0.035,0.4,0.002
8,20,10,0.026,0.027,0.4,0.002
9,21,14,0.031,0.022,0.4,0.003
10,23,11,0.038,0.018,0.3,0.003
11,21,10,0.049,0.010,0.3,0.003
12,18,10,0.052,0.009,0.3,0.002
13,17,9,0.053,0.008,0.3,0.003
14,20,10,0.055,0.008,0.3,0.002
15,22,11,0.052,0.012,0.3,0.002
16,22,11,0.052,0.013,0.3,0.003
17,24,11,0.053,0.011,0.3,0.003
18,20,9,0.052,0.013,0.4,0.003
19,21,10,0.050,0.016,0.4,0.003
20,21,11,0.040,0.026,0.4,0.003
21,22,13,0.042,0.024,0.4,0.003
22,22,11,0.042,0.023,0.4,0.003
23,23,12,0.037,0.027,0.4,0.003
0,22,10,0.033,0.029,0.4,0.002
1,25,12,0.026,0.031,0.4,0.003
2,23,11,0.020,0.036,0.5,0.002
3,25,12,0.018,0.036,0.5,0.003
4,24,12,0.016,0.038,0.5,0.003
5,23,14,0.014,0.040,0.5,0.003
6,25,15,0.004,0.053,0.6,0.003
7,28,16,0.002,0.053,0.6,0.003
8,30,16,0.004,0.056,0.7,0.003
9,31,17,0.013,0.049,0.6,0.003
10,25,12,0.028,0.033,0.4,0.003
11,26,12,0.034,0.029,0.4,0.003
12,31,17,0.040,0.024,0.4,0.004
13,36,21,0.054,0.014,0.4,0.003
14,33,20,0.061,0.011,0.4,0.003
15,30,19,0.061,0.011,0.3,0.003
16,28,15,0.059,0.011,0.3,0.003
17,28,14,0.057,0.014,0.4,0.003
18,32,17,0.055,0.017,0.4,0.003
19,33,17,0.055,0.017,0.3,0.003
20,29,16,0.053,0.018,0.3,0.003
21,27,16,0.046,0.024,0.4,0.003
22,30,14,0.039,0.029,0.4,0.003
23,33,15,0.039,0.028,0.4,0.003
0,30,16,0.044,0.023,0.4,0.003
1,33,18,0.034,0.032,0.4,0.002
2,32,19,0.035,0.031,0.4,0.003
3,31,18,0.042,0.027,0.4,0.003
4,28,16,0.044,0.022,0.4,0.003
5,32,17,0.034,0.029,0.4,0.003
6,28,17,0.022,0.038,0.5,0.003
7,31,18,0.004,0.059,0.6,0.003
8,35,19,0.005,0.060,0.7,0.003
9,42,23,0.007,0.062,0.8,0.003
10,44,25,0.017,0.052,0.7,0.003
11,43,24,0.025,0.052,0.7,0.004
12,44,26,0.038,0.037,0.5,0.004
13,47,29,0.041,0.039,0.5,0.005
14,49,31,0.053,0.025,0.5,0.004
15,36,22,0.057,0.019,0.4,0.004
16,30,17,0.063,0.016,0.4,0.003
17,28,16,0.062,0.017,0.4,0.004
18,33,18,0.061,0.019,0.4,0.004
19,36,20,0.049,0.029,0.4,0.004
20,33,19,0.042,0.034,0.4,0.003
21,30,18,0.048,0.026,0.4,0.003
22,27,16,0.043,0.029,0.4,0.002
23,26,16,0.037,0.033,0.4,0.003
0,27,15,0.033,0.037,0.4,0.003
1,31,16,0.026,0.041,0.4,0.003
2,30,16,0.023,0.042,0.4,0.003
3,30,18,0.032,0.031,0.4,0.003
4,31,17,0.025,0.037,0.4,0.003
5,36,19,0.022,0.040,0.5,0.003
6,32,19,0.019,0.040,0.5,0.003
7,34,22,0.009,0.052,0.5,0.003
8,39,24,0.006,0.060,0.6,0.003
9,41,25,0.013,0.054,0.6,0.004
10,43,25,0.023,0.047,0.6,0.005
11,43,24,0.034,0.037,0.6,0.006
12,40,23,0.046,0.027,0.4,0.005
13,35,18,0.051,0.023,0.4,0.004
14,32,17,0.055,0.025,0.4,0.004
15,31,13,0.056,0.021,0.4,0.004
16,28,12,0.064,0.017,0.4,0.004
17,26,11,0.063,0.017,0.4,0.003
18,24,10,0.056,0.023,0.4,0.004
19,29,13,0.054,0.023,0.4,0.004
20,27,15,0.046,0.031,0.4,0.005
21,28,18,0.045,0.029,0.4,0.005
22,24,14,0.029,0.043,0.4,0.004
23,23,13,0.035,0.033,0.4,0.004
0,22,13,0.041,0.026,0.5,0.006
1,23,15,0.040,0.028,0.4,0.005
2,26,16,0.049,0.021,0.4,0.004
3,30,16,0.055,0.018,0.4,0.003
4,28,16,0.054,0.016,0.4,0.004
5,33,19,0.050,0.020,0.5,0.005
6,36,21,0.046,0.024,0.4,0.004
7,42,25,0.040,0.031,0.4,0.003
8,52,29,0.028,0.041,0.5,0.003
9,66,38,0.026,0.049,0.6,0.003
10,79,42,0.039,0.040,0.6,0.003
11,86,43,0.049,0.032,0.6,0.004
12,91,28,0.061,0.015,0.4,0.003
13,103,20,0.061,0.015,0.4,0.003
14,100,19,0.058,0.017,0.4,0.003
15,124,18,0.058,0.016,0.3,0.003
16,128,16,0.055,0.016,0.3,0.002
17,92,12,0.052,0.015,0.3,0.002
18,54,8,0.051,0.016,0.3,0.002
19,49,13,0.046,0.022,0.4,0.003
20,49,14,0.036,0.031,0.4,0.003
21,54,13,0.032,0.031,0.4,0.003
22,58,11,0.035,0.026,0.4,0.003
23,57,10,0.032,0.029,0.4,0.003
0,54,10,0.033,0.028,0.4,0.003
1,50,10,0.040,0.022,0.4,0.003
2,45,10,0.032,0.032,0.4,0.003
3,50,12,0.016,0.044,0.6,0.003
4,41,11,0.014,0.042,0.6,0.003
5,39,11,0.017,0.035,0.5,0.003
6,36,11,0.010,0.044,0.6,0.003
7,40,10,0.003,0.057,0.7,0.003
8,51,14,0.004,0.058,0.7,0.004
9,57,13,0.006,0.057,0.7,0.004
10,58,18,0.008,0.057,0.7,0.004
11,61,21,0.007,0.059,0.6,0.004
12,63,21,0.007,0.065,0.7,0.004
13,60,21,0.008,0.062,0.6,0.004
14,57,19,0.012,0.057,0.5,0.003
15,64,20,0.007,0.063,0.6,0.004
16,67,23,0.004,0.067,0.7,0.004
17,56,20,0.012,0.054,0.6,0.003
18,50,20,0.011,0.055,0.6,0.003
19,50,16,0.028,0.035,0.5,0.003
20,49,17,0.036,0.028,0.4,0.003
21,48,17,0.040,0.022,0.4,0.003
22,39,13,0.041,0.022,0.4,0.003
23,33,12,0.031,0.031,0.4,0.002
0,32,13,0.019,0.041,0.5,0.002
1,31,14,0.021,0.037,0.5,0.002
2,27,12,0.026,0.029,0.5,0.002
3,30,13,0.022,0.030,0.5,0.002
4,29,14,0.022,0.026,0.5,0.002
5,32,20,0.017,0.029,0.5,0.002
6,30,18,0.012,0.031,0.5,0.002
7,33,17,0.004,0.037,0.6,0.002
8,33,19,0.007,0.037,0.6,0.002
9,40,24,0.010,0.042,0.7,0.003
10,44,22,0.019,0.038,0.7,0.003
11,45,21,0.024,0.036,0.6,0.003
12,48,20,0.028,0.034,0.5,0.003
13,46,20,0.035,0.032,0.5,0.003
14,43,16,0.052,0.017,0.4,0.003
15,36,10,0.056,0.015,0.3,0.003
16,29,10,0.053,0.018,0.4,0.003
17,25,10,0.058,0.011,0.3,0.002
18,27,10,0.056,0.013,0.3,0.003
19,29,11,0.054,0.016,0.3,0.003
20,33,12,0.048,0.019,0.4,0.003
21,34,14,0.047,0.020,0.3,0.003
22,32,10,0.042,0.023,0.4,0.003
23,33,12,0.033,0.033,0.4,0.003
0,35,12,0.029,0.036,0.4,0.003
1,39,13,0.039,0.025,0.4,0.003
2,36,11,0.046,0.014,0.4,0.003
3,31,12,0.048,0.013,0.4,0.003
4,31,11,0.041,0.018,0.4,0.003
5,31,10,0.039,0.018,0.4,0.003
6,31,11,0.029,0.027,0.4,0.003
7,33,13,0.020,0.036,0.5,0.003
8,32,11,0.025,0.033,0.5,0.003
9,35,12,0.031,0.028,0.5,0.003
10,35,10,0.044,0.018,0.4,0.004
11,38,12,0.047,0.016,0.4,0.004
12,34,11,0.053,0.011,0.3,0.003
13,28,9,0.056,0.011,0.4,0.003
14,28,11,0.060,0.008,0.3,0.003
15,25,9,0.057,0.011,0.3,0.002
16,26,8,0.061,0.009,0.3,0.003
17,26,9,0.059,0.011,0.3,0.002
18,30,10,0.047,0.022,0.4,0.003
19,37,16,0.035,0.035,0.4,0.004
20,34,14,0.027,0.041,0.5,0.004
21,34,14,0.019,0.049,0.5,0.003
22,33,13,0.007,0.059,0.5,0.003
23,36,14,0.003,0.063,0.5,0.004
0,35,13,0.002,0.063,0.6,0.003
1,32,13,0.009,0.052,0.5,0.003
2,30,12,0.008,0.053,0.5,0.003
3,40,16,0.010,0.049,0.5,0.003
4,38,14,0.018,0.034,0.5,0.003
5,37,13,0.023,0.028,0.4,0.003
6,32,13,0.024,0.029,0.4,0.003
7,28,12,0.017,0.038,0.4,0.003
8,28,10,0.016,0.041,0.4,0.003
9,29,8,0.019,0.039,0.5,0.003
10,26,8,0.026,0.034,0.5,0.003
11,27,12,0.031,0.030,0.4,0.003
12,26,10,0.028,0.034,0.5,0.003
13,28,13,0.031,0.030,0.4,0.002
14,22,10,0.033,0.029,0.4,0.003
15,22,8,0.033,0.028,0.4,0.003
16,23,8,0.037,0.029,0.4,0.002
17,24,9,0.034,0.030,0.4,0.003
18,23,11,0.038,0.026,0.3,0.002
19,20,12,0.031,0.031,0.4,0.002
20,18,12,0.020,0.040,0.5,0.002
21,17,11,0.024,0.033,0.4,0.002
22,10,7,0.030,0.028,0.4,0.002
23,8,5,0.035,0.022,0.4,0.002
0,5,3,0.040,0.018,0.3,0.002
1,5,4,0.042,0.017,0.3,0.002
2,4,2,0.048,0.011,0.3,0.002
3,3,1,0.050,0.009,0.3,0.003
4,3,1,0.050,0.010,0.3,0.002
5,3,3,0.050,0.010,0.3,0.002
6,3,1,0.043,0.016,0.3,0.002
7,3,1,0.033,0.027,0.3,0.002
8,3,1,0.028,0.033,0.4,0.002
9,4,1,0.030,0.031,0.4,0.002
10,4,1,0.032,0.028,0.4,0.002
11,4,1,0.037,0.022,0.4,0.002
12,7,4,0.033,0.020,0.3,0.002
13,8,6,0.037,0.017,0.3,0.002
14,4,4,0.041,0.015,0.3,0.002
15,4,3,0.043,0.013,0.3,0.002
16,5,3,0.040,0.016,0.3,0.002
17,9,2,0.042,0.016,0.3,0.002
18,8,4,0.042,0.016,0.3,0.002
19,7,3,0.041,0.016,0.3,0.002
20,9,4,0.038,0.018,0.3,0.002
21,8,5,0.038,0.015,0.3,0.002
22,6,3,0.037,0.016,0.3,0.002
23,9,3,0.022,0.030,0.4,0.002
0,10,5,0.013,0.039,0.4,0.002
1,14,6,0.004,0.046,0.5,0.002
2,15,8,0.002,0.047,0.6,0.002
3,15,9,0.010,0.034,0.5,0.002
4,12,6,0.004,0.038,0.6,0.002
5,12,6,0.002,0.039,0.6,0.002
6,10,6,0.003,0.033,0.5,0.002
7,11,7,0.003,0.037,0.5,0.003
8,15,9,0.003,0.045,0.8,0.003
9,26,14,0.004,0.051,0.9,0.003
10,30,16,0.007,0.049,0.8,0.003
11,29,17,0.016,0.045,0.6,0.003
12,30,18,0.023,0.045,0.5,0.003
13,30,17,0.036,0.034,0.5,0.003
14,31,19,0.054,0.022,0.4,0.003
15,32,21,0.075,0.012,0.3,0.003
16,31,20,0.062,0.015,0.3,0.003
17,25,14,0.060,0.015,0.3,0.003
18,25,14,0.058,0.021,0.4,0.003
19,28,16,0.049,0.028,0.4,0.003
20,28,15,0.043,0.030,0.4,0.003
21,25,13,0.035,0.035,0.4,0.003
22,26,15,0.022,0.047,0.5,0.003
23,34,18,0.011,0.059,0.5,0.003
0,33,20,0.010,0.062,0.5,0.004
1,37,23,0.022,0.050,0.5,0.004
2,39,24,0.031,0.040,0.5,0.003
3,45,26,0.025,0.041,0.6,0.003
4,45,28,0.015,0.048,0.6,0.003
5,52,33,0.009,0.048,0.6,0.003
6,53,36,0.004,0.053,0.6,0.003
7,56,36,0.008,0.046,0.6,0.003
8,54,37,0.007,0.051,0.7,0.003
9,60,38,0.012,0.052,0.6,0.004
10,57,37,0.016,0.053,0.6,0.005
11,54,32,0.034,0.041,0.5,0.004
12,44,26,0.055,0.025,0.4,0.004
13,45,27,0.051,0.030,0.5,0.004
14,46,27,0.065,0.023,0.5,0.004
15,46,28,0.068,0.023,0.4,0.004
16,44,24,0.070,0.021,0.4,0.004
17,37,19,0.073,0.018,0.4,0.004
18,38,20,0.069,0.021,0.4,0.004
19,37,20,0.056,0.026,0.4,0.004
20,33,19,0.039,0.042,0.5,0.004
21,45,29,0.037,0.047,0.5,0.004
22,48,32,0.031,0.054,0.6,0.004
23,52,35,0.018,0.068,0.6,0.004
0,55,35,0.018,0.069,0.7,0.004
1,61,39,0.027,0.055,0.6,0.004
2,60,42,0.033,0.045,0.6,0.004
3,63,42,0.027,0.046,0.6,0.004
4,61,44,0.013,0.055,0.7,0.004
5,62,45,0.005,0.059,0.7,0.003
6,61,44,0.004,0.059,0.7,0.003
7,57,41,0.004,0.064,0.8,0.004
8,58,42,0.005,0.068,0.9,0.004
9,63,46,0.010,0.069,0.8,0.004
10,62,41,0.031,0.059,0.7,0.005
11,55,39,0.044,0.049,0.6,0.007
12,37,23,0.054,0.034,0.6,0.007
13,41,25,0.064,0.032,0.5,0.007
14,39,25,0.073,0.024,0.4,0.006
15,33,19,0.073,0.021,0.4,0.004
16,27,15,0.078,0.020,0.4,0.003
17,28,15,0.067,0.023,0.3,0.003
18,30,17,0.064,0.024,0.4,0.003
19,32,18,0.053,0.035,0.4,0.004
20,30,18,0.061,0.027,0.4,0.004
21,31,16,0.056,0.028,0.4,0.003
22,28,16,0.052,0.028,0.4,0.003
23,29,15,0.047,0.035,0.5,0.003
0,25,14,0.051,0.030,0.4,0.003
1,27,14,0.040,0.038,0.4,0.003
2,26,16,0.037,0.038,0.5,0.003
3,28,19,0.038,0.034,0.6,0.004
4,26,16,0.031,0.035,0.6,0.004
5,32,15,0.035,0.031,0.6,0.004
6,29,17,0.051,0.022,0.4,0.005
7,33,23,0.061,0.019,0.4,0.004
8,32,23,0.054,0.027,0.4,0.003
9,31,22,0.063,0.020,0.4,0.003
10,31,23,0.051,0.031,0.4,0.003
11,39,24,0.049,0.029,0.5,0.003
12,36,26,0.037,0.036,0.5,0.003
13,48,31,0.044,0.029,0.4,0.003
14,34,22,0.061,0.017,0.4,0.003
15,24,17,0.064,0.012,0.4,0.003
16,24,16,0.063,0.014,0.4,0.003
17,35,23,0.062,0.013,0.5,0.003
18,53,22,0.059,0.011,0.4,0.002
19,59,12,0.060,0.012,0.3,0.003
20,40,10,0.057,0.013,0.3,0.003
21,32,8,0.049,0.018,0.3,0.003
22,28,8,0.046,0.019,0.3,0.003
23,29,10,0.034,0.028,0.4,0.003
0,30,9,0.031,0.033,0.5,0.002
1,29,11,0.012,0.049,0.5,0.002
2,31,11,0.006,0.058,0.6,0.002
3,30,11,0.014,0.048,0.5,0.003
