날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,45,,0.003,0.065,0.5,0.008
2,47,,0.012,0.053,0.4,0.007
3,49,,0.020,0.039,0.4,0.007
4,57,,0.022,0.033,0.4,0.008
5,58,,0.023,0.028,0.3,0.007
6,55,,0.016,0.035,0.4,0.009
7,54,,0.010,0.039,0.4,0.009
8,42,,0.020,0.035,0.3,0.008
9,42,,0.024,0.033,0.3,0.008
10,42,,0.025,0.035,0.4,0.009
11,53,,0.031,0.035,0.4,0.011
12,47,,0.036,0.033,0.4,0.009
13,58,,0.053,0.028,0.4,0.008
14,49,,0.061,0.022,0.3,0.008
15,50,,0.060,0.022,0.3,0.007
16,39,,0.057,0.025,0.3,0.007
17,54,,0.056,0.025,0.3,0.007
18,46,,0.053,0.026,0.3,0.006
19,40,,0.047,0.030,0.4,0.007
20,45,,0.052,0.027,0.4,0.007
21,55,,0.045,0.033,0.4,0.007
22,54,,0.038,0.036,0.5,0.007
23,55,,0.041,0.030,0.5,0.007
0,56,,0.041,0.028,0.5,0.008
1,62,,0.021,0.047,0.6,0.009
2,63,,0.011,0.048,0.7,0.007
3,58,,0.008,0.048,0.7,0.007
4,62,,0.012,0.040,0.6,0.007
5,63,,0.005,0.045,0.6,0.007
6,53,,0.003,0.048,0.7,0.007
7,52,,0.003,0.054,0.8,0.008
8,46,,0.005,0.057,0.8,0.009
9,60,,0.011,0.064,0.8,0.012
10,60,,0.018,0.058,0.9,0.014
11,52,,0.031,0.049,0.7,0.011
12,54,,0.057,0.037,0.6,0.010
13,72,,0.064,0.051,0.6,0.010
14,91,,0.071,0.044,0.6,0.010
15,106,,0.065,0.053,0.7,0.010
16,109,,0.074,0.036,0.5,0.010
17,116,,0.065,0.029,0.5,0.008
18,71,,0.041,0.032,0.6,0.006
19,65,,0.032,0.035,0.7,0.007
20,86,,0.035,0.035,0.7,0.007
21,130,,0.043,0.028,0.5,0.006
22,134,,0.040,0.023,0.4,0.006
23,97,,0.035,0.020,0.4,0.006
0,52,,0.029,0.020,0.3,0.007
1,34,,0.029,0.015,0.3,0.006
2,32,,0.031,0.014,0.3,0.005
3,28,,0.035,0.010,0.3,0.005
4,19,,0.036,0.010,0.2,0.005
5,16,,0.035,0.011,0.2,0.005
6,18,,0.033,0.013,0.2,0.005
7,14,,0.025,0.020,0.3,0.005
8,15,,0.026,0.021,0.3,0.005
9,21,,0.029,0.018,0.3,0.005
10,16,,0.026,0.022,0.3,0.005
11,29,,0.031,0.021,0.3,0.005
12,41,,0.033,0.022,0.3,0.006
13,29,,0.042,0.017,0.2,0.006
14,26,,0.044,0.018,0.2,0.007
15,26,,0.042,0.023,0.3,0.007
16,37,,0.044,0.022,0.3,0.007
17,29,,0.043,0.024,0.3,0.007
18,32,,0.040,0.026,0.3,0.008
19,30,,0.039,0.028,0.3,0.007
20,33,,0.034,0.032,0.3,0.007
21,33,,0.025,0.035,0.3,0.006
22,26,,0.027,0.033,0.3,0.006
23,23,,0.023,0.038,0.3,0.006
0,25,,0.012,0.050,0.4,0.007
1,22,,0.016,0.044,0.4,0.006
2,28,,0.011,0.046,0.4,0.006
3,26,,0.009,0.046,0.4,0.006
4,27,,0.011,0.041,0.4,0.006
5,27,,0.003,0.049,0.5,0.006
6,31,,0.002,0.051,0.5,0.007
7,29,,0.004,0.048,0.5,0.007
8,29,,0.005,0.048,0.5,0.007
9,30,,0.007,0.047,0.5,0.008
10,35,,0.013,0.046,0.5,0.009
11,38,,0.013,0.051,0.6,0.009
12,33,,0.022,0.042,0.5,0.009
13,40,,0.045,0.030,0.5,0.010
14,40,,0.050,0.022,0.3,0.009
15,46,,0.052,0.020,0.3,0.008
16,50,,0.056,0.018,0.3,0.008
17,36,,0.048,0.020,0.3,0.006
18,45,,0.045,0.019,0.3,0.006
19,42,,0.042,0.022,0.3,0.006
20,29,,0.036,0.022,0.4,0.006
21,49,,0.034,0.024,0.4,0.007
22,48,,0.036,0.026,0.4,0.007
23,46,,0.037,0.027,0.5,0.007
0,49,,0.038,0.027,0.5,0.007
1,50,,0.041,0.021,0.4,0.007
2,45,,0.044,0.012,0.3,0.007
3,34,,0.042,0.011,0.3,0.006
4,26,,0.039,0.011,0.2,0.006
5,21,,0.035,0.012,0.2,0.005
6,20,,0.033,0.011,0.2,0.005
7,20,,0.026,0.018,0.2,0.005
8,21,,0.025,0.018,0.2,0.005
9,28,,0.030,0.014,0.2,0.006
10,25,,0.034,0.012,0.2,0.006
11,32,,0.035,0.013,0.2,0.006
12,34,,0.037,0.014,0.2,0.006
13,35,,0.039,0.013,0.2,0.005
14,33,,0.039,0.015,0.2,0.006
15,37,,0.041,0.016,0.2,0.006
16,39,,0.042,0.017,0.2,0.006
17,32,,0.044,0.016,0.2,0.006
18,36,,0.045,0.018,0.3,0.006
19,40,,0.046,0.019,0.3,0.006
20,46,,0.043,0.022,0.3,0.007
21,38,,0.045,0.020,0.3,0.006
22,36,,0.041,0.022,0.3,0.007
23,39,,0.038,0.024,0.3,0.007
0,50,,0.044,0.019,0.3,0.007
1,53,,0.040,0.018,0.4,0.007
2,58,,0.038,0.017,0.4,0.007
3,49,,0.035,0.017,0.4,0.007
4,48,,0.030,0.021,0.4,0.008
5,42,,0.024,0.025,0.4,0.007
6,46,,0.019,0.028,0.4,0.006
7,41,,0.015,0.033,0.4,0.006
8,33,,0.022,0.030,0.3,0.007
9,32,,0.026,0.026,0.3,0.007
10,29,,0.022,0.032,0.3,0.009
11,35,,0.035,0.022,0.3,0.008
12,36,,0.040,0.020,0.3,0.007
13,36,,0.042,0.017,0.2,0.006
14,33,,0.039,0.023,0.2,0.006
15,32,,0.040,0.020,0.2,0.007
16,35,,0.042,0.020,0.2,0.007
17,35,,0.042,0.022,0.2,0.007
18,28,,0.039,0.027,0.2,0.008
19,34,,0.039,0.027,0.3,0.008
20,33,,0.036,0.029,0.3,0.008
21,32,,0.035,0.028,0.2,0.009
22,28,,0.025,0.038,0.3,0.009
23,32,,0.003,0.064,0.5,0.009
0,31,,0.018,0.044,0.6,0.013
1,33,,0.019,0.042,0.6,0.014
2,30,,0.030,0.029,0.4,0.008
3,27,,0.019,0.038,0.5,0.009
4,35,,0.005,0.053,0.5,0.008
5,34,,0.003,0.053,0.5,0.008
6,32,,0.003,0.055,0.5,0.008
7,37,,0.003,0.062,0.6,0.008
8,38,,0.007,0.065,0.5,0.008
9,37,,0.014,0.061,0.5,0.008
10,46,,0.025,0.052,0.4,0.008
11,49,,0.040,0.038,0.4,0.008
12,50,,0.037,0.042,0.4,0.008
13,49,,0.046,0.034,0.4,0.009
14,47,,0.046,0.036,0.5,0.010
15,52,,0.055,0.031,0.4,0.009
16,53,,0.061,0.025,0.3,0.008
17,60,,0.058,0.026,0.3,0.008
18,45,,0.058,0.027,0.3,0.008
19,48,,0.054,0.028,0.4,0.007
20,55,,0.042,0.034,0.4,0.008
21,49,,0.047,0.025,0.3,0.007
22,46,,0.040,0.029,0.4,0.006
23,37,,0.030,0.034,0.4,0.006
0,33,,0.030,0.033,0.4,0.006
1,35,,0.033,0.027,0.4,0.006
2,32,,0.035,0.024,0.4,0.006
3,27,,0.042,0.014,0.3,0.006
4,27,,0.044,0.013,0.3,0.006
5,16,,0.048,0.013,0.3,0.005
6,19,,0.045,0.017,0.3,0.005
7,38,,0.032,0.031,0.4,0.005
