날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,46,29,0.002,0.049,1.0,0.005
2,40,29,0.003,0.048,1.0,0.006
3,43,33,0.003,0.046,1.0,0.006
4,48,35,0.002,0.044,1.0,0.006
5,45,32,0.002,0.042,1.0,0.006
6,46,31,0.002,0.043,1.1,0.006
7,47,27,0.002,0.050,1.2,0.006
8,42,28,0.003,0.054,1.4,0.006
9,46,31,0.003,0.053,1.5,0.007
10,53,30,0.004,0.048,1.3,0.007
11,42,27,0.006,0.043,1.0,0.006
12,48,26,0.005,0.050,1.1,0.007
13,48,31,0.008,0.047,0.9,0.007
14,51,38,0.008,0.050,0.8,0.007
15,56,33,0.006,0.055,0.9,0.006
16,45,27,0.006,0.054,0.8,0.006
17,53,23,0.004,0.059,0.9,0.006
18,71,27,0.003,0.066,1.1,0.006
19,62,24,0.003,0.071,1.4,0.007
20,67,31,0.004,0.077,1.5,0.007
21,70,30,0.003,0.068,1.3,0.007
22,68,27,0.003,0.065,1.2,0.006
23,48,20,0.003,0.061,1.1,0.006
0,48,21,0.003,0.064,1.3,0.007
1,48,27,0.003,0.062,1.3,0.006
2,48,35,0.003,0.062,1.4,0.007
3,50,32,0.002,0.054,1.1,0.006
4,42,28,0.002,0.049,1.0,0.006
5,40,30,0.002,0.047,1.0,0.006
6,43,27,0.002,0.048,0.9,0.006
7,43,28,0.002,0.051,1.1,0.006
8,44,28,0.002,0.056,1.3,0.006
9,47,27,0.002,0.058,1.4,0.006
10,42,29,0.002,0.062,1.5,0.006
11,41,24,0.002,0.068,1.6,0.006
12,31,19,0.003,0.048,1.0,0.005
13,33,22,0.004,0.044,1.0,0.005
14,47,30,0.003,0.045,1.0,0.006
15,55,32,0.004,0.041,1.1,0.006
16,69,41,0.007,0.040,1.2,0.008
17,70,37,0.012,0.040,1.2,0.007
18,85,43,0.013,0.036,1.3,0.007
19,92,46,0.013,0.035,1.1,0.007
20,75,33,0.019,0.026,0.9,0.006
21,53,25,0.013,0.031,0.7,0.006
22,43,13,0.012,0.032,0.7,0.006
23,31,14,0.014,0.029,0.5,0.005
0,37,12,0.023,0.017,0.4,0.005
1,18,5,0.023,0.016,0.4,0.004
2,15,5,0.023,0.014,0.4,0.004
3,14,10,0.025,0.011,0.4,0.004
4,15,7,0.022,0.013,0.5,0.004
5,10,6,0.020,0.015,0.5,0.005
6,12,9,0.018,0.017,0.5,0.005
7,12,7,0.010,0.027,0.5,0.005
8,8,5,0.004,0.037,0.8,0.005
9,11,5,0.004,0.037,0.7,0.005
10,11,5,0.004,0.035,0.6,0.004
11,13,8,0.005,0.034,0.6,0.004
12,11,5,0.009,0.029,0.6,0.004
13,11,5,0.010,0.028,0.6,0.005
14,16,10,0.015,0.020,0.5,0.005
15,13,10,0.013,0.022,0.5,0.005
16,12,7,0.015,0.019,0.5,0.005
17,15,7,0.017,0.017,0.5,0.005
18,15,7,0.017,0.018,0.5,0.005
19,21,12,0.018,0.021,0.6,0.005
20,31,18,0.023,0.016,0.6,0.005
21,39,18,0.022,0.016,0.6,0.005
22,32,20,0.024,0.014,0.6,0.005
23,41,25,0.024,0.013,0.7,0.005
0,41,20,0.023,0.013,0.7,0.005
1,41,30,0.025,0.010,0.7,0.005
2,35,24,0.025,0.009,0.7,0.006
3,37,20,0.025,0.009,0.7,0.006
4,35,20,0.024,0.010,0.7,0.005
5,34,17,0.022,0.012,0.7,0.005
6,33,15,0.019,0.016,0.7,0.005
