날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,33,25,0.005,0.045,0.5,0.005
2,46,28,0.019,0.026,0.5,0.006
3,62,39,0.021,0.025,0.5,0.005
4,80,49,0.024,0.020,0.6,0.010
5,100,63,0.023,0.021,0.6,0.006
6,96,52,0.017,0.026,0.6,0.004
7,88,51,0.007,0.038,0.6,0.004
8,79,48,0.002,0.048,0.7,0.004
9,79,48,0.004,0.047,0.7,0.004
10,84,49,0.009,0.038,0.7,0.004
11,78,47,0.024,0.019,0.5,0.004
12,44,30,0.032,0.014,0.3,0.003
13,26,20,0.034,0.012,0.2,0.003
14,24,14,0.033,0.012,0.2,0.003
15,30,11,0.034,0.012,0.2,0.003
16,24,9,0.030,0.016,0.2,0.003
17,23,9,0.028,0.017,0.2,0.003
18,24,11,0.024,0.021,0.3,0.004
19,26,11,0.021,0.022,0.3,0.004
20,24,10,0.021,0.020,0.3,0.003
21,22,10,0.023,0.016,0.3,0.003
22,22,11,0.023,0.015,0.3,0.003
23,21,12,0.027,0.011,0.2,0.003
0,22,10,0.025,0.013,0.3,0.003
1,22,12,0.024,0.014,0.3,0.003
2,22,11,0.023,0.015,0.3,0.003
3,23,11,0.016,0.023,0.3,0.003
4,24,12,0.013,0.027,0.3,0.003
5,26,13,0.012,0.027,0.4,0.003
6,27,15,0.007,0.033,0.4,0.003
7,30,16,0.002,0.040,0.4,0.003
8,34,16,0.003,0.040,0.5,0.004
9,37,14,0.005,0.039,0.5,0.004
10,43,16,0.008,0.037,0.5,0.004
11,40,18,0.021,0.019,0.3,0.004
12,33,14,0.023,0.019,0.3,0.004
13,32,15,0.028,0.016,0.3,0.004
14,34,15,0.031,0.016,0.3,0.004
15,32,18,0.025,0.023,0.3,0.004
16,31,18,0.028,0.023,0.3,0.003
17,41,27,0.020,0.035,0.3,0.006
18,39,21,0.013,0.038,0.3,0.006
19,31,15,0.007,0.046,0.3,0.007
20,33,14,0.005,0.049,0.4,0.006
21,35,14,0.002,0.052,0.4,0.004
22,36,20,0.002,0.054,0.5,0.004
23,38,23,0.002,0.060,0.8,0.004
0,40,23,0.002,0.067,0.8,0.004
1,42,23,0.002,0.059,0.8,0.004
2,43,24,0.002,0.061,0.9,0.004
3,44,27,0.002,0.057,0.9,0.004
4,39,24,0.002,0.053,0.8,0.004
5,42,24,0.002,0.057,1.1,0.004
6,41,24,0.002,0.052,0.8,0.004
7,38,24,0.002,0.053,0.9,0.004
8,38,21,0.002,0.052,0.7,0.004
9,41,27,0.002,0.055,0.8,0.004
10,48,29,0.003,0.057,0.8,0.005
11,55,33,0.004,0.067,1.0,0.005
12,56,35,0.008,0.052,0.6,0.004
13,40,25,0.010,0.049,0.6,0.004
14,44,31,0.011,0.049,0.6,0.004
15,48,30,0.010,0.051,0.5,0.004
16,50,31,0.014,0.045,0.5,0.005
17,57,38,0.009,0.053,0.5,0.005
18,59,38,0.004,0.059,0.6,0.005
19,58,41,0.003,0.060,0.6,0.004
20,64,46,0.002,0.061,0.6,0.005
21,67,47,0.002,0.061,0.7,0.005
22,62,42,0.002,0.061,0.7,0.004
23,61,42,0.002,0.064,0.8,0.004
0,66,47,0.002,0.072,1.0,0.005
1,67,47,0.002,0.081,1.2,0.006
2,69,49,0.002,0.075,1.2,0.005
3,65,48,0.002,0.063,1.1,0.005
4,64,48,0.002,0.056,0.9,0.005
5,65,46,0.002,0.053,0.9,0.005
6,63,49,0.002,0.050,0.8,0.004
7,66,51,0.002,0.052,0.9,0.005
8,71,56,0.002,0.053,0.9,0.005
9,73,52,0.002,0.054,0.9,0.004
10,75,56,0.003,0.056,0.9,0.005
11,78,56,0.004,0.059,0.9,0.005
12,77,57,0.004,0.063,0.9,0.005
13,81,60,0.004,0.067,0.9,0.005
14,86,61,0.004,0.073,1.0,0.005
15,79,57,0.004,0.074,0.9,0.006
16,81,63,0.003,0.078,1.0,0.006
17,87,66,0.002,0.076,0.8,0.007
18,79,60,0.002,0.070,0.7,0.008
19,79,59,0.002,0.069,0.8,0.007
20,81,63,0.002,0.072,0.8,0.008
21,90,69,0.002,0.070,0.9,0.007
22,89,70,0.002,0.075,1.1,0.007
23,93,69,0.002,0.080,1.4,0.007
0,98,74,0.002,0.073,1.3,0.007
1,96,74,0.002,0.065,1.1,0.007
2,94,77,0.002,0.056,0.9,0.006
3,91,74,0.002,0.049,0.8,0.005
4,85,69,0.002,0.046,0.7,0.005
5,83,73,0.002,0.043,0.6,0.005
6,84,73,0.002,0.043,0.6,0.005
7,86,72,0.002,0.046,0.8,0.005
8,84,71,0.002,0.053,1.0,0.005
9,91,72,0.002,0.058,1.4,0.005
10,99,78,0.002,0.065,1.7,0.005
11,108,82,0.002,0.069,1.5,0.006
12,120,86,0.007,0.061,0.9,0.007
13,111,77,0.025,0.030,0.6,0.006
14,111,80,0.029,0.027,0.7,0.007
15,111,79,0.033,0.027,0.8,0.008
16,101,73,0.028,0.030,0.8,0.006
17,100,71,0.022,0.033,0.7,0.006
18,,,,,,
19,53,34,0.020,0.030,0.4,0.004
20,50,31,0.018,0.030,0.4,0.004
21,36,24,0.022,0.026,0.3,0.003
22,30,19,0.025,0.018,0.3,0.003
23,31,22,0.024,0.018,0.3,0.004
0,29,19,0.022,0.018,0.3,0.004
1,29,18,0.022,0.016,0.3,0.005
2,30,20,0.021,0.016,0.3,0.005
3,33,18,0.020,0.015,0.3,0.005
4,36,19,0.020,0.014,0.3,0.005
5,30,19,0.019,0.014,0.3,0.004
6,30,19,0.018,0.015,0.3,0.004
7,25,15,0.016,0.019,0.3,0.004
8,24,14,0.010,0.026,0.3,0.003
9,22,12,0.012,0.025,0.3,0.003
10,22,11,0.020,0.016,0.2,0.003
11,21,9,0.019,0.019,0.2,0.002
12,22,12,0.023,0.015,0.2,0.003
13,20,8,0.025,0.015,0.2,0.002
14,23,12,0.025,0.019,0.3,0.003
15,19,9,0.029,0.015,0.2,0.002
16,15,8,0.021,0.025,0.3,0.002
17,,,,,,
18,,,,,,
19,22,10,0.002,0.047,0.3,0.003
20,27,14,0.002,0.049,0.4,0.003
21,25,12,0.002,0.049,0.4,0.003
22,25,11,0.002,0.047,0.4,0.004
23,21,11,0.003,0.041,0.3,0.003
0,21,9,0.002,0.049,0.5,0.003
1,26,11,0.002,0.054,0.7,0.004
2,30,16,0.002,0.055,0.8,0.004
3,35,17,0.002,0.055,0.8,0.004
4,32,17,0.002,0.048,0.6,0.004
5,30,16,0.002,0.045,0.5,0.003
6,30,15,0.002,0.044,0.5,0.003
7,27,17,0.002,0.047,0.6,0.003
8,29,19,0.002,0.050,0.6,0.004
9,31,18,0.002,0.049,0.7,0.004
10,37,23,0.003,0.049,0.8,0.005
11,41,26,0.003,0.052,0.8,0.004
12,46,30,0.004,0.053,0.8,0.005
13,51,35,0.005,0.056,0.8,0.005
14,55,35,0.005,0.053,0.6,0.005
15,58,37,0.004,0.056,0.6,0.006
16,66,42,0.004,0.058,0.6,0.007
17,81,52,0.005,0.056,0.6,0.007
18,89,59,0.004,0.056,0.6,0.006
19,84,57,0.003,0.055,0.6,0.006
20,80,49,0.002,0.058,0.6,0.006
21,78,51,0.002,0.060,0.7,0.006
22,78,55,0.003,0.056,0.8,0.005
23,57,38,0.013,0.033,0.4,0.005
0,42,28,0.005,0.043,0.5,0.004
1,42,26,0.002,0.047,0.5,0.004
2,40,29,0.003,0.045,0.5,0.004
3,45,26,0.002,0.045,0.6,0.004
4,42,28,0.002,0.048,0.6,0.004
5,40,26,0.002,0.044,0.7,0.003
6,39,28,0.002,0.048,0.8,0.003
7,43,30,0.002,0.054,0.9,0.004
8,51,36,0.002,0.061,1.2,0.005
9,68,47,0.002,0.065,1.4,0.005
10,77,56,0.003,0.070,1.6,0.005
11,92,65,0.003,0.069,1.3,0.005
12,80,55,0.004,0.065,1.0,0.005
13,76,52,0.004,0.065,0.9,0.005
14,69,48,0.004,0.058,0.7,0.006
15,56,37,0.008,0.049,0.6,0.006
16,45,27,0.009,0.047,0.5,0.006
17,39,25,0.007,0.048,0.4,0.005
18,48,30,0.002,0.062,0.9,0.005
19,72,49,0.002,0.060,0.8,0.005
20,78,53,0.002,0.060,0.9,0.005
21,74,56,0.003,0.057,0.8,0.004
22,43,30,0.005,0.046,0.5,0.004
23,35,25,0.007,0.045,0.4,0.003
0,32,25,0.002,0.051,0.5,0.003
1,44,36,0.002,0.052,0.6,0.003
2,36,31,0.005,0.045,0.5,0.003
3,25,24,0.002,0.049,0.6,0.003
4,32,25,0.002,0.048,0.7,0.003
5,32,27,0.008,0.038,0.6,0.003
6,32,27,0.008,0.035,0.5,0.003
7,37,29,0.009,0.031,0.5,0.004
8,40,34,0.007,0.031,0.5,0.003
9,43,33,0.008,0.031,0.6,0.003
10,39,29,0.011,0.028,0.6,0.004
11,38,27,0.017,0.020,0.5,0.004
12,32,28,0.021,0.018,0.5,0.004
13,33,26,0.026,0.014,0.4,0.004
