날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,46,23,0.022,0.021,0.7,0.007
2,41,21,0.021,0.021,0.7,0.007
3,44,19,0.025,0.015,0.7,0.006
4,43,17,0.023,0.017,0.7,0.006
5,38,17,0.023,0.018,0.6,0.006
6,37,16,0.017,0.025,0.6,0.006
7,34,14,0.011,0.031,0.7,0.006
8,35,17,0.009,0.033,0.7,0.007
9,39,13,0.022,0.020,0.6,0.007
10,29,9,0.028,0.014,0.6,0.008
11,38,25,0.022,0.022,0.7,0.008
12,42,17,0.026,0.019,0.7,0.008
13,33,12,0.022,0.024,0.7,0.008
14,26,12,0.027,0.021,0.7,0.007
15,38,24,0.032,0.017,0.6,0.007
16,29,13,0.032,0.018,0.6,0.007
17,32,10,0.032,0.019,0.6,0.007
18,31,14,0.028,0.022,0.6,0.007
19,36,17,0.021,0.030,0.7,0.007
20,41,20,0.019,0.031,0.7,0.007
21,32,18,0.022,0.026,0.7,0.007
22,47,20,0.017,0.030,0.7,0.007
23,46,16,0.019,0.027,0.6,0.006
0,40,14,0.021,0.023,0.6,0.006
1,39,24,0.019,0.025,0.7,0.006
2,41,19,0.017,0.026,0.7,0.007
3,40,17,0.019,0.024,0.8,0.007
4,48,12,0.019,0.024,0.8,0.007
5,43,13,0.021,0.022,0.7,0.007
6,36,8,0.019,0.025,0.7,0.007
7,34,14,0.012,0.033,0.7,0.007
8,35,11,0.009,0.039,0.8,0.007
9,29,9,0.015,0.033,0.7,0.007
10,33,4,0.013,0.036,0.8,0.008
11,42,21,0.019,0.030,0.8,0.008
12,41,12,0.022,0.026,0.7,0.008
13,,,,,,
14,,,,,,
15,43,19,0.024,0.029,0.6,0.007
16,39,10,0.030,0.024,0.5,0.007
17,35,10,0.031,0.024,0.5,0.007
18,33,9,0.026,0.030,0.6,0.007
19,45,13,0.010,0.050,0.7,0.008
20,44,14,0.005,0.058,0.8,0.010
21,50,14,0.004,0.060,0.8,0.011
22,54,19,0.002,0.067,0.9,0.012
23,60,16,0.003,0.073,1.1,0.013
0,55,19,0.003,0.070,1.1,0.013
1,53,14,0.004,0.064,1.1,0.011
2,46,23,,0.036,0.6,0.008
3,43,18,0.005,0.049,0.7,0.007
4,37,14,0.003,0.053,0.8,0.007
5,43,20,0.002,0.057,0.8,0.007
6,41,18,0.003,0.063,1.1,0.007
7,50,23,0.003,0.075,1.3,0.008
8,66,30,0.003,0.083,1.6,0.008
9,57,30,0.003,0.087,1.7,0.009
10,68,35,0.003,0.092,1.9,0.009
11,76,40,0.004,0.094,1.9,0.010
12,77,44,0.005,0.085,1.5,0.010
13,47,21,0.008,0.065,1.0,0.010
14,43,18,0.022,0.040,0.7,0.008
15,46,24,0.019,0.046,0.7,0.009
16,58,19,0.035,0.028,0.7,0.009
17,45,17,0.036,0.029,0.7,0.009
18,44,20,0.031,0.035,0.7,0.009
19,43,20,0.017,0.053,0.8,0.008
20,62,21,0.004,0.069,0.9,0.008
21,60,28,0.002,0.075,1.1,0.008
22,69,26,0.002,0.076,1.1,0.008
23,60,27,0.002,0.076,1.3,0.009
0,59,32,0.002,0.071,1.3,0.008
1,50,30,0.004,0.060,1.1,0.008
2,45,34,0.009,0.048,0.9,0.007
3,49,35,0.006,0.052,1.0,0.007
4,48,31,0.004,0.055,1.0,0.007
5,44,35,0.002,0.056,1.2,0.007
6,38,25,0.002,0.060,1.2,0.007
