날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,54,25,0.004,0.094,1.3,0.006
2,49,23,0.004,0.085,1.2,0.005
3,44,24,0.005,0.074,1.0,0.005
4,43,18,0.005,0.071,1.0,0.004
5,41,18,0.010,0.064,0.9,0.004
6,41,17,0.006,0.071,0.9,0.005
7,51,26,0.005,0.081,1.2,0.007
8,69,39,0.006,0.081,1.5,0.008
9,73,38,0.009,0.081,1.4,0.008
10,67,28,0.012,0.084,1.3,0.008
11,69,32,0.023,0.076,1.0,0.007
12,57,19,0.043,0.056,0.8,0.006
13,50,22,0.059,0.035,0.7,0.005
14,58,23,0.037,0.068,0.8,0.006
15,79,33,0.045,0.076,0.8,0.010
16,87,26,0.061,0.049,0.7,0.008
17,71,22,0.060,0.052,0.7,0.009
18,68,22,0.062,0.039,0.6,0.009
19,59,16,0.058,0.038,0.6,0.006
20,55,13,0.034,0.063,0.7,0.008
21,54,18,0.020,0.079,0.8,0.008
22,68,20,0.022,0.071,0.8,0.006
23,62,22,0.012,0.084,0.8,0.006
0,69,24,0.004,0.096,1.0,0.008
1,70,27,0.004,0.095,0.9,0.007
2,65,39,0.004,0.096,1.3,0.006
3,59,29,0.004,0.090,1.3,0.006
4,55,29,0.004,0.089,1.1,0.006
5,52,24,0.006,0.084,1.0,0.006
6,58,29,0.004,0.090,1.2,0.006
7,61,30,0.004,0.097,1.3,0.007
8,65,31,0.005,0.096,1.3,0.008
9,70,32,0.006,0.095,1.3,0.008
10,63,29,0.014,0.091,1.1,0.010
11,62,27,0.030,0.071,1.0,0.010
12,66,31,0.044,0.057,0.9,0.009
13,84,33,0.068,0.036,0.9,0.010
14,67,33,0.067,0.033,0.7,0.006
15,65,27,0.080,0.032,0.7,0.008
16,68,34,0.082,0.031,0.7,0.008
17,71,28,0.084,0.031,0.7,0.007
18,64,29,0.081,0.031,0.7,0.006
19,63,31,0.067,0.035,0.7,0.006
20,60,30,0.065,0.029,0.7,0.005
21,81,40,0.059,0.033,0.8,0.005
22,87,47,0.057,0.031,0.8,0.004
23,83,47,0.052,0.029,0.8,0.004
0,72,42,0.032,0.049,0.9,0.004
1,73,55,0.024,0.053,0.9,0.005
2,76,65,0.030,0.041,0.9,0.005
3,46,44,0.044,0.023,0.8,0.005
4,65,43,0.036,0.025,0.8,0.005
5,51,41,0.051,0.017,0.8,0.004
6,29,23,0.040,0.024,0.8,0.004
7,49,35,0.030,0.035,0.8,0.004
8,49,32,0.020,0.046,0.8,0.004
9,52,35,0.029,0.035,0.8,0.004
10,47,33,0.023,0.037,0.9,0.004
11,41,24,0.027,0.035,0.8,0.004
12,32,24,0.031,0.034,0.7,0.004
13,31,16,0.029,0.037,0.7,0.004
14,25,17,0.030,0.036,0.7,0.004
15,43,19,0.031,0.035,0.7,0.004
16,42,18,0.035,0.026,0.6,0.003
17,26,6,0.026,0.039,0.6,0.003
18,21,3,0.030,0.035,0.6,0.003
19,20,7,0.025,0.040,0.6,0.003
20,18,9,0.026,0.037,0.6,0.003
21,25,8,0.025,0.039,0.6,0.003
22,26,10,0.013,0.052,0.7,0.003
23,35,9,0.008,0.058,0.7,0.003
0,38,9,0.004,0.058,0.7,0.003
1,31,9,0.004,0.055,0.8,0.003
2,20,13,0.004,0.050,0.7,0.003
3,24,9,0.008,0.043,0.7,0.003
4,19,12,0.011,0.038,0.7,0.003
5,23,16,0.018,0.031,0.6,0.003
6,25,13,0.009,0.043,0.6,0.003
7,24,12,0.005,0.053,0.8,0.003
8,25,13,0.006,0.056,1.0,0.004
9,30,11,0.008,0.056,1.0,0.004
10,24,9,0.012,0.048,0.9,0.005
11,24,8,0.022,0.037,0.6,0.004
12,25,12,0.029,0.030,0.6,0.004
13,20,4,0.033,0.030,0.6,0.004
14,25,15,0.037,0.027,0.6,0.003
15,16,7,0.036,0.029,0.5,0.004
16,26,6,0.047,0.026,0.5,0.004
17,28,7,0.045,0.025,0.5,0.004
18,29,14,0.046,0.024,0.5,0.004
19,28,8,0.033,0.034,0.6,0.004
20,27,10,0.022,0.044,0.6,0.004
21,27,8,0.027,0.040,0.6,0.004
22,30,12,0.025,0.048,0.6,0.004
23,37,12,0.010,0.066,0.8,0.005
0,43,19,0.009,0.067,0.8,0.005
1,46,15,0.014,0.058,0.8,0.006
2,52,27,0.030,0.033,0.7,0.007
3,54,23,0.031,0.029,0.7,0.009
4,46,17,0.032,0.025,0.6,0.008
5,42,19,0.033,0.023,0.6,0.007
6,41,14,0.021,0.039,0.6,0.006
7,39,15,0.014,0.050,0.6,0.006
8,42,10,0.009,0.062,0.7,0.007
9,49,18,0.011,0.059,0.8,0.008
10,47,14,0.015,0.057,0.9,0.011
11,56,20,0.025,0.051,0.9,0.009
12,60,22,0.031,0.051,0.8,0.009
13,59,20,0.044,0.040,0.8,0.008
14,52,17,0.051,0.032,0.7,0.007
15,56,15,0.056,0.028,0.6,0.007
16,49,12,0.055,0.031,0.6,0.006
17,45,15,0.052,0.036,0.7,0.006
18,56,23,0.047,0.041,0.7,0.006
19,62,20,0.033,0.054,0.7,0.006
20,61,20,0.021,0.063,0.8,0.006
21,65,17,0.020,0.061,0.7,0.006
22,59,20,0.023,0.050,0.7,0.006
23,54,14,0.028,0.043,0.6,0.007
0,49,18,0.016,0.055,0.7,0.006
1,49,19,0.013,0.055,0.7,0.006
2,51,24,0.017,0.046,0.7,0.007
3,46,28,0.005,0.061,0.8,0.006
4,46,20,0.004,0.062,0.9,0.006
5,50,24,0.004,0.069,,0.006
6,54,28,0.004,0.071,,0.006
7,56,22,0.004,0.075,,0.006
8,64,26,0.005,0.077,,0.007
9,57,26,0.008,0.074,,0.008
10,58,25,0.012,0.080,,0.009
11,69,31,0.016,0.083,,0.010
12,77,39,0.036,0.066,,0.010
13,75,34,0.039,0.062,,0.009
14,,,,,,
15,,,,,,
16,72,26,0.042,0.054,0.6,0.006
17,63,29,0.040,0.057,0.6,0.006
18,59,26,0.043,0.050,0.5,0.005
19,62,31,0.028,0.078,0.7,0.005
20,81,41,0.012,0.100,0.8,0.005
21,102,56,0.028,0.079,0.8,0.009
22,117,53,0.039,0.054,0.7,0.009
23,73,33,0.038,0.043,0.6,0.006
0,61,26,0.013,0.064,0.7,0.004
1,43,33,0.017,0.049,0.6,0.004
2,49,48,0.020,0.041,0.7,0.003
3,42,37,0.029,0.027,0.6,0.003
4,33,24,0.036,0.019,0.5,0.003
5,17,,0.037,0.018,0.4,0.003
6,15,11,0.033,0.022,0.4,0.003
7,23,23,0.021,0.037,0.5,0.003
8,24,20,0.014,0.047,0.6,0.003
9,19,11,0.012,0.048,0.5,0.003
10,20,15,0.014,0.046,0.5,0.003
11,15,,0.021,0.042,0.5,0.004
12,21,15,0.042,0.021,0.3,0.004
13,35,19,0.065,0.016,0.4,0.005
14,51,31,0.068,0.014,0.4,0.005
15,58,31,0.067,0.018,0.4,0.005
16,61,25,0.067,0.020,0.4,0.005
17,51,20,0.055,0.026,0.4,0.004
18,36,16,0.046,0.025,0.4,0.004
19,27,13,0.035,0.034,0.4,0.003
20,33,12,0.030,0.037,0.4,0.003
21,35,14,0.027,0.039,0.5,0.004
22,29,11,0.024,0.041,0.4,0.004
23,33,16,0.005,0.061,0.5,0.004
0,43,18,0.002,0.062,0.6,0.004
1,39,30,0.013,0.044,0.5,0.004
2,36,31,0.017,0.034,0.5,0.004
3,38,32,0.030,0.019,0.4,0.003
4,35,25,0.035,0.015,0.3,0.004
5,39,29,0.032,0.017,0.3,0.003
6,41,30,0.029,0.021,0.3,0.003
7,42,29,0.020,0.033,0.4,0.003
8,45,29,0.013,0.043,0.4,0.003
9,51,29,0.011,0.048,0.5,0.003
10,50,25,0.015,0.047,0.5,0.004
11,57,32,0.015,0.053,0.6,0.005
12,75,38,0.021,0.052,0.6,0.006
13,93,35,0.034,0.044,0.6,0.007
14,143,52,0.061,0.031,0.6,0.008
15,149,61,0.054,0.036,0.6,0.007
16,109,50,0.049,0.040,0.6,0.005
17,94,52,0.043,0.039,0.6,0.005
18,85,41,0.031,0.048,0.6,0.005
19,80,40,0.027,0.047,0.6,0.004
20,70,33,0.025,0.044,0.6,0.004
21,69,28,0.029,0.039,0.6,0.004
22,75,32,0.023,0.043,0.7,0.004
23,75,36,0.019,0.045,0.6,0.004
0,82,33,0.018,0.044,0.6,0.004
1,86,41,0.013,0.047,0.6,0.006
2,97,63,0.009,0.050,0.7,0.008
3,96,53,0.008,0.048,0.7,0.008
4,86,54,0.026,0.028,0.6,0.008
5,81,39,0.033,0.023,0.6,0.007
6,84,43,0.037,0.027,0.6,0.008
7,81,39,0.028,0.038,0.7,0.007
8,96,46,0.021,0.047,0.7,0.007
9,112,45,0.017,0.052,0.8,0.006
10,110,46,0.017,0.054,0.8,0.005
11,104,49,0.012,0.059,0.9,0.005
12,108,49,0.011,0.059,1.0,0.005
13,126,62,0.011,0.058,1.0,0.004
14,136,67,0.008,0.060,1.0,0.004
15,182,87,0.011,0.055,1.1,0.005
16,198,88,0.013,0.055,1.0,0.005
17,139,68,0.015,0.055,0.8,0.005
18,86,61,0.007,0.064,0.8,0.005
19,80,57,0.019,0.053,0.8,0.004
20,90,49,0.029,0.038,0.7,0.004
21,117,48,0.012,0.054,0.8,0.004
22,137,51,0.017,0.043,0.8,0.004
23,97,38,0.028,0.030,0.7,0.004
0,88,35,0.028,0.031,0.6,0.003
1,96,47,0.018,0.039,0.7,0.004
2,106,64,0.015,0.040,0.7,0.004
3,115,55,0.030,0.031,0.8,0.004
4,110,64,0.042,0.023,0.9,0.004
5,111,59,0.022,0.025,0.8,0.004
6,118,41,0.021,0.027,0.8,0.004
7,121,46,0.023,0.029,0.8,0.004
8,104,45,0.022,0.035,0.9,0.004
9,104,54,0.020,0.040,0.9,0.005
10,104,77,0.018,0.048,1.0,0.005
11,,,0.035,0.042,1.0,0.007
12,,,0.047,0.037,0.9,0.008
13,,,0.044,0.041,0.9,0.008
14,185,78,0.057,0.036,0.9,0.008
15,156,81,0.074,0.029,1.0,0.009
16,141,113,0.081,0.029,1.1,0.007
17,126,89,0.072,0.032,1.1,0.006
18,125,79,0.064,0.035,1.1,0.006
19,118,75,0.057,0.034,1.1,0.006
20,136,79,0.041,0.044,1.1,0.005
21,160,74,0.029,0.047,1.1,0.004
22,141,67,0.017,0.057,1.1,0.004
23,125,65,0.008,0.063,1.1,0.004
0,118,61,0.016,0.048,0.8,0.004
1,60,33,0.034,0.019,0.4,0.004
2,55,26,0.040,0.014,0.3,0.003
3,46,29,0.044,0.012,0.3,0.003
4,44,24,0.045,0.013,0.3,0.003
