날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,12,,0.007,0.034,0.1,0.001
2,13,,0.008,0.030,0.1,0.001
3,20,,0.005,0.032,0.1,0.001
4,20,,0.005,0.029,0.1,0.001
5,20,,0.009,0.021,0.1,0.001
6,14,,0.007,0.022,0.1,0.001
7,16,,0.005,0.029,0.1,0.001
8,16,,0.006,0.030,0.1,0.001
9,17,,0.010,0.031,0.1,0.001
10,14,,0.013,0.033,0.1,0.001
11,21,,0.018,0.032,0.1,0.001
12,14,,0.021,0.035,0.1,0.001
13,17,,0.030,0.033,0.1,0.001
14,17,,0.023,0.039,0.1,0.001
15,12,,0.022,0.039,0.1,0.001
16,11,,0.020,0.036,0.1,0.001
17,21,,0.019,0.042,0.1,0.001
18,10,,0.015,0.046,0.1,0.001
19,13,,0.012,0.045,0.1,0.001
20,16,,0.006,0.047,0.1,0.001
21,11,,0.003,0.050,0.1,0.001
22,19,,0.003,0.045,0.1,0.001
23,20,,0.003,0.043,0.1,0.001
0,20,,0.003,0.041,0.1,0.001
1,19,,0.002,0.038,0.1,0.001
2,11,,0.004,0.030,0.1,0.001
3,9,,0.008,0.022,0.1,0.001
4,15,,0.012,0.015,0.1,0.001
5,7,,0.011,0.016,0.1,0.001
6,11,,0.004,0.023,0.1,0.001
7,7,,0.005,0.024,0.1,0.001
8,10,,0.004,0.026,0.1,0.001
9,11,,0.006,0.024,0.1,0.001
10,13,,0.010,0.021,0.1,0.001
11,12,,0.014,0.021,0.1,0.001
12,14,,0.019,0.023,0.1,0.001
13,15,,0.023,0.023,0.1,0.001
14,13,,0.019,0.029,0.1,0.001
15,22,,0.019,0.028,0.1,0.001
16,14,,0.017,0.027,0.1,0.001
17,17,,0.017,0.027,0.1,0.001
18,17,,0.015,0.031,0.1,0.001
19,16,,0.013,0.034,0.1,0.001
20,15,,0.011,0.036,0.1,0.001
21,21,,0.011,0.033,0.1,0.001
22,15,,0.012,0.032,0.1,0.001
23,9,,0.014,0.029,0.1,0.001
0,16,,0.019,0.023,0.1,0.001
1,14,,0.024,0.016,0.1,0.001
2,17,,0.024,0.013,0.1,0.001
3,10,,0.024,0.011,0.1,0.001
4,10,,0.025,0.009,0.1,0.001
5,10,,0.025,0.009,0.1,0.001
6,10,,0.021,0.012,0.1,0.001
7,5,,0.017,0.015,0.1,0.001
8,5,,0.015,0.017,0.1,0.001
9,8,,0.015,0.018,0.1,0.001
10,3,,0.013,0.022,0.1,0.001
11,8,,0.014,0.020,0.1,0.001
12,5,,0.018,0.017,0.1,0.001
13,8,,0.018,0.021,0.1,0.001
14,13,,0.016,0.024,0.1,0.001
15,9,,0.011,0.030,0.1,0.001
16,15,,0.011,0.030,0.1,0.001
17,13,,0.007,0.033,0.1,0.001
18,7,,0.007,0.031,0.1,0.001
19,4,,0.008,0.027,0.1,0.001
20,11,,0.004,0.033,0.1,0.001
21,2,,0.004,0.031,0.1,0.001
22,7,,0.003,0.032,0.1,0.001
23,10,,0.005,0.030,0.1,0.001
0,8,,0.005,0.032,0.1,0.001
1,7,,0.010,0.026,0.1,0.001
2,11,,0.017,0.017,0.1,0.001
3,5,,0.019,0.014,0.1,0.001
4,8,,0.022,0.010,0.1,0.001
5,5,,0.023,0.009,0.1,0.001
6,7,,0.019,0.015,0.1,0.001
7,3,,0.010,0.025,0.1,0.001
8,5,,0.009,0.027,0.1,0.001
9,7,,0.006,0.033,0.1,0.001
10,7,,0.006,0.035,0.3,0.001
11,6,,0.008,0.031,0.1,0.001
12,10,,0.009,0.031,0.1,0.001
13,8,,0.014,0.026,0.1,0.001
14,5,,0.021,0.022,0.1,0.001
15,11,,0.016,0.027,0.1,0.001
16,6,,0.030,0.021,0.1,0.001
17,11,,0.033,0.021,0.1,0.001
18,13,,0.034,0.019,0.1,0.001
19,12,,0.032,0.026,0.1,0.001
20,23,,0.015,0.044,0.1,0.001
21,,,0.004,0.044,0.2,0.001
22,18,,0.008,0.032,0.1,0.002
23,7,,0.008,0.032,0.2,0.001
0,14,,0.008,0.030,0.1,0.001
1,17,,0.011,0.024,0.1,0.002
2,17,,0.017,0.014,0.1,0.002
3,12,,0.020,0.010,0.1,0.001
4,16,,0.020,0.010,0.1,0.001
5,15,,0.018,0.012,0.1,0.001
6,12,,0.015,0.015,0.1,0.002
7,14,,0.011,0.023,0.1,0.002
8,17,,0.007,0.033,0.1,0.003
9,27,,0.010,0.037,0.1,0.003
10,27,,0.016,0.028,0.1,0.003
11,43,,0.041,0.026,0.1,0.002
12,87,,0.040,0.030,0.2,0.002
13,91,,0.048,0.031,0.3,0.002
14,84,,0.057,0.033,0.3,0.003
15,65,,0.047,0.034,0.2,0.004
16,51,,0.044,0.032,0.2,0.004
17,55,,0.048,0.029,0.2,0.004
18,64,,0.047,0.031,0.2,0.003
19,67,,0.034,0.038,0.2,0.005
20,57,,0.032,0.039,0.2,0.005
21,71,,0.031,0.038,0.2,0.005
22,84,,0.033,0.029,0.2,0.004
23,73,,0.024,0.032,0.2,0.004
0,71,,0.023,0.030,0.2,0.004
1,78,,0.021,0.030,0.2,0.005
2,65,,0.046,0.013,0.2,0.004
3,68,,0.047,0.012,0.2,0.004
4,59,,0.054,0.010,0.1,0.002
5,49,,0.052,0.011,0.2,0.003
6,53,,0.048,0.014,0.1,0.002
7,45,,0.043,0.015,0.1,0.001
8,35,,0.029,0.026,0.1,0.001
9,35,,0.020,0.038,0.1,0.002
10,28,,0.020,0.039,0.1,0.001
11,33,,0.022,0.040,0.1,0.001
12,24,,0.022,0.040,0.1,0.001
13,32,,0.020,0.044,0.1,0.001
14,37,,0.016,0.048,0.2,0.002
15,38,,0.019,0.046,0.2,0.003
16,47,,0.018,0.049,0.2,0.002
17,53,,0.020,0.065,0.3,0.002
18,48,,0.025,0.058,0.3,0.001
19,28,,0.020,0.044,0.1,0.001
20,20,,0.015,0.043,0.1,0.001
21,26,,0.016,0.038,0.1,0.001
22,29,,0.004,0.054,0.2,0.001
23,29,,0.002,0.058,0.3,0.001
0,33,,0.004,0.047,0.1,0.002
1,34,,0.010,0.037,0.1,0.004
2,27,,0.008,0.037,0.1,0.003
3,28,,0.013,0.027,0.1,0.002
4,27,,0.024,0.015,0.1,0.001
5,23,,0.022,0.015,0.1,0.001
6,28,,0.020,0.017,0.1,0.001
7,32,,0.009,0.025,0.1,0.001
8,27,,0.004,0.033,0.2,0.001
9,32,,0.004,0.039,0.4,0.001
10,36,,0.004,0.043,0.4,0.001
11,37,,0.005,0.044,0.4,0.001
12,32,,0.007,0.045,0.3,0.001
13,32,,0.009,0.043,0.3,0.001
14,40,,0.018,0.040,0.2,0.001
15,36,,0.024,0.038,0.2,0.001
16,44,,0.028,0.039,0.2,0.002
17,47,,0.024,0.045,0.2,0.003
18,61,,0.012,0.058,0.3,0.004
19,48,,0.012,0.059,0.3,0.004
20,58,,0.004,0.068,0.3,0.003
21,48,,0.003,0.066,0.3,0.003
22,68,,0.003,0.064,0.4,0.003
23,61,,0.002,0.057,0.4,0.003
0,55,,0.002,0.052,0.3,0.003
1,47,,0.002,0.046,0.4,0.002
2,31,,0.003,0.034,0.2,0.001
3,34,,0.003,0.030,0.2,0.001
4,28,,0.009,0.022,0.1,0.001
5,23,,0.017,0.015,0.1,0.001
6,22,,0.013,0.022,0.1,0.001
7,18,,0.007,0.031,0.1,0.001
8,27,,0.013,0.029,0.1,0.001
9,14,,0.017,0.031,0.1,0.001
10,18,,0.024,0.026,0.1,0.001
11,15,,0.026,0.027,0.1,0.001
12,23,,0.028,0.030,0.1,0.001
13,16,,0.031,0.030,0.1,0.001
14,18,,0.028,0.034,0.1,0.001
15,16,,0.024,0.039,0.1,0.001
16,,,,,,
17,16,,0.021,0.041,0.3,0.002
18,16,,0.024,0.038,0.3,0.002
19,12,,0.017,0.045,0.3,0.002
20,18,,0.014,0.047,0.3,0.002
21,19,,0.014,0.044,0.3,0.002
22,20,,0.017,0.039,0.3,0.002
23,11,,0.023,0.032,0.3,0.002
0,18,,0.026,0.028,0.2,0.002
1,11,,0.033,0.020,0.2,0.002
2,9,,0.038,0.015,0.2,0.001
