날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,29,,0.037,0.024,0.1,0.003
2,34,,0.042,0.019,0.1,0.003
3,31,,0.041,0.017,0.1,0.002
4,32,,0.042,0.014,0.1,0.003
5,29,,0.046,0.012,0.1,0.002
6,28,,0.026,0.022,0.1,0.002
7,30,,0.010,0.036,0.2,0.002
8,35,,0.016,0.037,0.3,0.003
9,31,,0.015,0.046,0.3,0.003
10,40,,0.014,0.053,0.4,0.003
11,41,,0.020,0.055,0.4,0.003
12,42,,0.033,0.052,0.3,0.003
13,32,,0.050,0.045,0.2,0.003
14,46,,0.068,0.040,0.2,0.003
15,42,,0.087,0.040,0.1,0.003
16,57,,0.104,0.044,0.2,0.005
17,60,,0.124,0.037,0.1,0.006
18,57,,0.110,0.040,0.2,0.006
19,61,,0.097,0.043,0.1,0.006
20,58,,0.090,0.045,0.1,0.005
21,49,,0.065,0.047,0.2,0.005
22,45,,0.045,0.047,0.2,0.007
23,38,,0.046,0.039,0.2,0.007
0,30,,0.033,0.046,0.2,0.006
1,32,,0.011,0.064,0.3,0.006
2,40,,0.031,0.034,0.1,0.005
3,29,,0.043,0.021,0.1,0.006
4,54,,0.051,0.017,0.3,0.006
5,70,,0.040,0.022,0.4,0.007
6,59,,0.021,0.041,0.4,0.007
7,61,,0.011,0.054,0.6,0.008
8,64,,0.014,0.055,0.6,0.009
9,69,,0.028,0.051,0.5,0.007
10,100,,0.030,0.058,0.5,0.005
11,95,,0.040,0.054,0.5,0.004
12,82,,0.062,0.042,0.4,0.003
13,61,,0.070,0.046,0.3,0.003
14,78,,0.082,0.044,0.3,0.003
15,77,,0.070,0.059,0.3,0.003
16,67,,0.073,0.047,0.2,0.002
17,85,,0.084,0.046,0.4,0.005
18,144,,0.072,0.050,0.5,0.006
19,104,,0.050,0.042,0.3,0.004
20,82,,0.040,0.038,0.2,0.003
21,89,,0.046,0.027,0.2,0.003
22,101,,0.035,0.033,0.3,0.003
23,58,,0.038,0.029,0.2,0.002
0,16,,0.021,0.050,0.3,0.002
1,18,,0.023,0.041,0.3,0.002
2,19,,0.041,0.020,0.1,0.002
3,24,,0.038,0.020,0.1,0.002
4,22,,0.039,0.017,0.1,0.002
5,25,,0.036,0.016,0.1,0.002
6,27,,0.026,0.029,0.1,0.002
7,35,,0.019,0.040,0.1,0.002
8,31,,0.020,0.039,0.2,0.002
9,29,,0.015,0.046,0.2,0.002
10,29,,0.020,0.039,0.2,0.002
11,29,,0.020,0.040,0.2,0.002
12,31,,0.020,0.039,0.2,0.002
13,29,,0.024,0.035,0.2,0.002
14,22,,0.024,0.033,0.2,0.002
15,21,,0.025,0.032,0.1,0.002
16,18,,0.024,0.031,0.1,0.002
17,17,,0.023,0.033,0.1,0.002
18,13,,0.022,0.035,0.1,0.002
19,15,,0.021,0.040,0.1,0.002
20,17,,0.018,0.042,0.1,0.002
21,11,,0.016,0.040,0.1,0.002
22,13,,0.019,0.033,0.1,0.002
23,11,,0.014,0.034,0.1,0.002
0,10,,0.020,0.027,0.1,0.002
1,9,,0.022,0.023,0.1,0.002
2,13,,0.027,0.017,0.1,0.002
3,10,,0.029,0.015,0.1,0.002
4,13,,0.033,0.013,0.1,0.002
5,12,,0.031,0.015,0.1,0.002
6,14,,0.032,0.016,0.1,0.002
7,10,,0.027,0.025,0.1,0.002
8,14,,0.024,0.031,0.1,0.002
9,17,,0.021,0.035,0.1,0.002
10,13,,0.023,0.038,0.1,0.002
11,20,,0.035,0.032,0.1,0.002
12,18,,0.044,0.032,0.1,0.002
13,24,,0.047,0.036,0.1,0.002
14,19,,0.059,0.029,0.1,0.002
15,17,,0.060,0.027,0.1,0.002
16,18,,0.055,0.036,0.1,0.002
17,18,,0.046,0.046,0.1,0.002
18,21,,,0.035,0.1,0.002
19,15,,,0.030,0.1,0.002
20,28,,,0.049,0.1,0.004
21,36,,,0.058,0.1,0.004
22,27,,0.016,0.051,0.1,0.004
23,23,,0.016,0.042,0.1,0.002
0,20,,0.009,0.047,0.1,0.002
1,26,,0.002,0.052,0.1,0.002
2,20,,0.003,0.048,0.1,0.002
3,23,,0.003,0.048,0.2,0.002
4,24,,0.003,0.044,0.2,0.002
5,22,,0.008,0.035,0.1,0.002
6,20,,0.006,0.038,0.1,0.002
7,25,,0.004,0.053,0.3,0.003
8,30,,0.007,0.051,0.1,0.003
9,27,,0.014,0.048,0.1,0.003
10,31,,0.028,0.043,0.1,0.003
11,32,,0.038,0.047,0.1,0.003
12,38,,0.047,0.045,0.1,0.003
13,37,,0.050,0.050,0.1,0.004
14,41,,0.070,0.047,0.1,0.005
15,48,,0.075,0.048,0.1,0.006
16,40,,0.056,0.047,0.1,0.006
17,29,,0.038,0.047,0.1,0.005
18,29,,0.030,0.049,0.1,0.005
19,35,,0.029,0.048,0.1,0.006
20,27,,0.024,0.049,0.1,0.006
21,15,,0.030,0.041,0.1,0.007
22,21,,0.032,0.033,0.1,0.005
