날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,20,12,0.005,0.038,0.5,0.003
2,19,12,0.003,0.036,0.5,0.003
3,23,13,0.002,0.033,0.5,0.002
4,23,12,0.002,0.032,0.6,0.002
5,22,13,0.002,0.028,0.5,0.003
6,23,13,0.005,0.027,0.5,0.003
7,24,13,0.008,0.025,0.4,0.002
8,23,10,0.014,0.023,0.4,0.002
9,,8,0.019,0.023,0.4,0.003
10,,6,0.028,0.018,0.5,0.002
11,22,10,0.032,0.021,0.4,0.002
12,19,9,0.037,0.023,0.4,0.003
13,23,11,0.041,0.025,0.4,0.002
14,21,10,0.044,0.024,0.4,0.002
15,19,11,0.044,0.026,0.4,0.002
16,19,8,0.047,0.024,0.4,0.002
17,15,6,0.038,0.027,0.4,0.003
18,15,8,0.030,0.032,0.4,0.002
19,14,8,0.024,0.035,0.4,0.002
20,13,8,0.016,0.038,0.4,0.002
21,15,7,0.015,0.030,0.4,0.002
22,14,7,0.017,0.025,0.3,0.002
23,13,6,0.020,0.019,0.3,0.002
0,13,4,0.017,0.022,0.3,0.002
1,10,4,0.023,0.016,0.3,0.002
2,12,4,0.028,0.010,0.3,0.002
3,12,6,0.030,0.009,0.3,0.002
4,10,4,0.030,0.008,0.3,0.002
5,14,8,0.030,0.007,0.3,0.002
6,16,9,0.025,0.013,0.3,0.002
7,12,5,0.022,0.015,0.3,0.002
8,10,4,0.021,0.018,0.3,0.003
9,9,4,0.024,0.016,0.3,0.002
10,8,2,0.030,0.013,0.4,0.002
11,14,4,0.034,0.015,0.3,0.002
12,15,5,0.040,0.016,0.3,0.002
13,15,7,0.048,0.017,0.3,0.002
14,16,8,0.050,0.021,0.3,0.003
15,13,8,0.062,0.019,0.4,0.003
16,15,8,0.074,0.018,0.4,0.002
17,15,9,0.062,0.032,0.4,0.003
18,19,11,0.057,0.035,0.4,0.003
19,19,12,0.042,0.036,0.4,0.003
20,18,10,0.034,0.034,0.4,0.002
21,18,10,0.024,0.030,0.4,0.003
22,16,8,0.018,0.024,0.4,0.002
23,15,8,0.017,0.023,0.3,0.002
0,13,7,0.019,0.021,0.3,0.002
1,14,8,0.021,0.017,0.3,0.002
2,13,7,0.026,0.012,0.3,0.003
3,14,7,0.024,0.013,0.3,0.002
4,13,7,0.025,0.012,0.3,0.002
5,13,7,0.024,0.011,0.3,0.003
6,11,6,0.019,0.017,0.3,0.003
7,14,6,0.010,0.025,0.3,0.002
8,14,6,0.005,0.031,0.4,0.002
9,13,8,0.006,0.031,0.4,0.003
10,18,9,0.004,0.035,0.6,0.003
11,18,9,0.003,0.037,0.6,0.003
12,18,8,0.004,0.035,0.5,0.003
13,18,11,0.008,0.032,0.5,0.003
14,19,10,0.008,0.035,0.6,0.003
15,22,12,0.005,0.038,0.6,0.003
16,24,13,0.011,0.039,0.6,0.003
17,30,20,0.020,0.035,0.5,0.003
18,13,10,0.038,0.022,0.3,0.002
19,8,5,0.037,0.032,0.4,0.002
20,10,7,0.012,0.054,0.6,0.003
21,13,6,0.006,0.056,0.6,0.003
22,13,8,0.009,0.049,0.5,0.002
23,7,4,0.022,0.038,0.4,0.003
0,9,5,0.019,0.037,0.4,0.002
1,10,5,0.017,0.033,0.4,0.002
2,10,6,0.025,0.022,0.4,0.002
3,13,5,0.033,0.012,0.3,0.002
4,13,6,0.027,0.014,0.3,0.002
5,12,4,0.027,0.011,0.3,0.002
6,12,6,0.021,0.015,0.3,0.002
7,13,6,0.012,0.023,0.4,0.002
8,16,9,0.016,0.020,0.4,0.002
9,15,7,0.022,0.022,0.3,0.002
10,11,5,0.032,0.016,0.4,0.002
11,11,5,0.039,0.012,0.3,0.002
12,14,5,0.052,0.013,0.3,0.002
13,14,7,0.066,0.008,0.3,0.002
14,17,9,0.061,0.010,0.3,0.002
15,15,7,0.054,0.011,0.3,0.002
16,15,7,0.051,0.010,0.3,0.002
17,18,8,0.050,0.011,0.3,0.002
18,18,7,0.046,0.014,0.3,0.003
19,19,10,0.045,0.013,0.3,0.002
20,21,6,0.041,0.013,0.3,0.002
21,15,6,0.040,0.014,0.3,0.002
22,17,7,0.038,0.017,0.3,0.003
23,18,8,0.030,0.022,0.4,0.003
0,20,8,0.026,0.024,0.4,0.002
1,17,7,0.032,0.019,0.3,0.002
2,17,7,0.036,0.015,0.3,0.003
3,16,8,0.041,0.012,0.3,0.003
4,17,8,0.036,0.014,0.3,0.003
5,18,7,0.024,0.021,0.4,0.002
6,18,8,0.032,0.018,0.4,0.003
7,17,9,0.027,0.024,0.4,0.003
8,19,9,0.019,0.031,0.4,0.003
9,21,12,0.021,0.034,0.4,0.003
10,19,6,0.041,0.020,0.4,0.003
11,22,5,0.052,0.016,0.3,0.003
12,22,7,0.059,0.013,0.3,0.003
13,22,9,0.066,0.011,0.4,0.003
14,24,10,0.067,0.011,0.4,0.003
15,28,10,0.063,0.013,0.4,0.003
16,27,9,0.059,0.016,0.3,0.003
17,24,5,0.052,0.017,0.3,0.003
18,22,7,0.055,0.016,0.3,0.003
19,29,12,0.049,0.026,0.4,0.003
20,35,14,0.052,0.032,0.4,0.004
21,37,15,0.065,0.024,0.4,0.003
22,34,15,0.065,0.021,0.4,0.003
23,34,17,0.065,0.019,0.4,0.004
0,33,15,0.058,0.020,0.4,0.004
1,33,14,0.034,0.033,0.5,0.003
2,31,15,0.020,0.038,0.5,0.004
3,31,14,0.023,0.029,0.5,0.004
4,30,15,0.034,0.025,0.5,0.004
5,31,17,0.048,0.021,0.5,0.004
6,31,16,0.020,0.034,0.5,0.004
7,30,17,0.009,0.044,0.6,0.004
8,33,16,0.008,0.049,0.6,0.004
9,36,17,0.016,0.052,0.7,0.004
10,36,16,0.022,0.052,0.8,0.005
11,37,18,0.038,0.049,0.7,0.005
12,34,18,0.068,0.033,0.6,0.005
13,38,22,0.062,0.046,0.6,0.005
14,36,23,0.094,0.022,0.5,0.004
15,34,22,0.091,0.031,0.5,0.005
16,36,22,0.080,0.028,0.4,0.004
17,35,20,0.072,0.027,0.4,0.005
18,30,16,0.059,0.032,0.4,0.004
19,22,14,0.042,0.038,0.5,0.003
20,26,14,0.032,0.044,0.5,0.003
21,26,15,0.026,0.048,0.5,0.004
22,24,14,0.027,0.042,0.5,0.004
23,24,12,0.038,0.031,0.4,0.004
0,25,15,0.053,0.027,0.4,0.003
1,20,13,0.061,0.019,0.4,0.003
2,19,14,0.069,0.011,0.4,0.003
3,24,16,0.069,0.011,0.4,0.003
4,30,16,0.070,0.009,0.4,0.003
5,33,16,0.067,0.013,0.4,0.004
6,37,18,0.061,0.018,0.4,0.004
7,39,19,0.039,0.035,0.5,0.004
8,42,19,0.027,0.043,0.6,0.004
9,38,20,0.045,0.024,0.5,0.003
