날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,20,4,0.016,0.036,0.4,0.005
2,18,12,0.028,0.023,0.4,0.004
3,20,8,0.031,0.019,0.3,0.004
4,15,9,0.027,0.021,0.3,0.004
5,17,8,0.024,0.023,0.3,0.004
6,18,9,0.022,0.026,0.3,0.004
7,16,10,0.010,0.038,0.3,0.004
8,20,7,0.008,0.043,0.4,0.004
9,17,11,0.005,0.044,0.5,0.004
10,21,7,0.003,0.045,0.6,0.004
11,18,12,0.004,0.043,0.6,0.004
12,11,5,0.004,0.040,0.6,0.004
13,9,5,0.006,0.039,0.6,0.004
14,3,5,0.005,0.040,0.6,0.004
15,8,6,0.003,0.042,0.6,0.004
16,18,8,0.003,0.046,0.6,0.004
17,11,11,0.010,0.034,0.4,0.004
18,10,5,0.013,0.029,0.5,0.004
19,7,6,0.024,0.023,0.5,0.004
20,14,3,0.022,0.020,0.5,0.004
21,24,5,0.029,0.014,0.3,0.004
22,10,2,0.031,0.014,0.2,0.004
23,16,4,0.028,0.013,0.2,0.004
0,18,4,0.027,0.012,0.2,0.004
1,12,2,0.025,0.014,0.2,0.004
2,16,4,0.021,0.017,0.2,0.004
3,16,9,0.020,0.017,0.2,0.004
4,22,4,0.020,0.018,0.2,0.004
5,20,9,0.005,0.028,0.3,0.004
6,24,6,0.002,0.033,0.4,0.004
7,27,5,0.003,0.038,0.4,0.005
8,30,7,0.004,0.041,0.4,0.005
9,32,8,0.004,0.046,0.5,0.006
10,35,4,0.010,0.039,0.4,0.006
11,57,13,0.010,0.043,0.4,0.006
12,,,,,,
13,,,,,,
14,41,20,0.030,0.027,0.4,0.005
15,29,15,0.037,0.025,0.4,0.005
16,30,11,0.037,0.026,0.4,0.005
17,28,10,0.034,0.028,0.4,0.005
18,28,9,0.033,0.031,0.4,0.005
19,30,8,0.035,0.030,0.5,0.005
20,30,16,0.029,0.038,0.8,0.005
21,24,14,0.031,0.036,0.7,0.005
22,29,11,0.034,0.032,0.5,0.005
23,27,7,0.035,0.033,0.4,0.005
0,27,9,0.040,0.029,0.4,0.005
1,33,17,0.044,0.027,0.4,0.005
2,37,20,0.053,0.017,0.4,0.005
3,39,17,0.056,0.015,0.4,0.005
4,44,22,0.054,0.017,0.4,0.005
5,43,20,0.046,0.019,0.4,0.005
6,44,21,0.033,0.030,0.4,0.006
7,41,20,0.021,0.041,0.4,0.006
8,39,17,0.019,0.044,0.5,0.006
9,50,25,0.016,0.053,0.6,0.007
10,70,32,0.052,0.026,0.6,0.008
11,88,37,0.058,0.021,0.6,0.008
12,86,36,0.057,0.021,0.6,0.007
13,73,32,0.058,0.019,0.5,0.006
14,49,25,0.054,0.017,0.4,0.005
15,31,11,0.048,0.017,0.3,0.005
16,23,6,0.043,0.020,0.3,0.005
17,24,8,0.041,0.022,0.3,0.005
18,23,5,0.040,0.022,0.3,0.004
19,19,9,0.034,0.028,0.3,0.004
20,14,3,0.025,0.034,0.3,0.004
21,29,5,0.028,0.024,0.3,0.004
22,21,8,0.028,0.021,0.3,0.004
23,20,6,0.025,0.024,0.2,0.004
0,23,6,0.022,0.025,0.2,0.005
1,22,12,0.033,0.014,0.2,0.005
2,28,6,0.033,0.015,0.2,0.005
3,20,5,0.028,0.018,0.3,0.005
4,18,9,0.031,0.015,0.2,0.005
5,25,10,0.029,0.017,0.3,0.005
6,29,12,0.029,0.020,0.2,0.005
7,24,9,0.018,0.031,0.3,0.005
8,23,8,0.013,0.036,0.3,0.005
9,22,7,0.018,0.032,0.3,0.005
10,17,7,0.020,0.032,0.3,0.005
11,32,16,0.017,0.038,0.4,0.005
12,27,15,0.020,0.037,0.4,0.005
13,29,14,0.016,0.042,0.4,0.005
14,26,10,0.016,0.045,0.4,0.005
15,28,15,0.024,0.039,0.4,0.005
16,29,14,0.037,0.027,0.4,0.005
17,23,11,0.039,0.027,0.3,0.005
18,21,10,0.035,0.032,0.4,0.005
19,29,12,0.024,0.042,0.4,0.005
20,33,10,0.028,0.035,0.4,0.005
21,21,13,0.026,0.036,0.4,0.005
22,30,13,0.009,0.052,0.5,0.005
23,25,12,0.018,0.042,0.4,0.005
0,27,8,0.006,0.054,0.4,0.005
1,21,12,0.005,0.053,0.5,0.005
2,27,15,0.005,0.050,0.5,0.005
3,25,13,0.005,0.046,0.4,0.004
4,25,14,0.005,0.044,0.4,0.004
5,20,12,0.006,0.041,0.4,0.004
6,26,12,0.003,0.045,0.5,0.005
7,32,16,0.003,0.048,0.5,0.005
8,29,14,0.004,0.047,0.6,0.005
9,34,15,0.005,0.050,0.6,0.005
10,27,12,0.011,0.049,0.6,0.005
11,36,22,0.010,0.059,0.7,0.005
12,38,19,0.013,0.058,0.6,0.005
13,37,21,0.016,0.057,0.6,0.005
14,40,21,0.030,0.039,0.4,0.005
15,18,6,0.049,0.022,0.3,0.005
16,16,8,0.061,0.019,0.3,0.005
17,17,7,0.047,0.024,0.3,0.005
18,17,7,0.034,0.037,0.3,0.005
19,26,11,0.016,0.054,0.4,0.006
20,26,13,0.017,0.048,0.4,0.005
21,27,6,0.012,0.053,0.4,0.005
22,28,15,0.006,0.059,0.5,0.005
23,29,11,0.004,0.062,0.5,0.005
0,29,10,0.003,0.064,0.6,0.005
1,25,7,0.003,0.062,0.6,0.005
2,25,16,0.003,0.057,0.7,0.005
3,19,11,0.003,0.055,0.7,0.005
4,24,11,0.003,0.054,0.7,0.005
5,26,14,0.003,0.053,0.7,0.005
6,25,13,0.003,0.052,0.6,0.005
7,29,13,0.003,0.054,0.6,0.005
8,28,14,0.003,0.055,0.7,0.005
9,34,19,0.005,0.053,0.7,0.005
