날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,22,16,0.023,0.017,0.2,0.002
2,23,16,0.028,0.011,0.2,0.002
3,23,15,0.033,0.006,0.2,0.002
4,22,16,0.035,0.005,0.2,0.002
5,22,16,0.035,0.006,0.2,0.002
6,23,17,0.035,0.009,0.2,0.002
7,24,19,0.027,0.015,0.3,0.002
8,25,18,0.022,0.018,0.3,0.002
9,26,17,0.030,0.017,0.3,0.002
10,26,18,0.031,0.023,0.3,0.002
11,31,21,0.037,0.021,0.3,0.002
12,35,20,0.054,0.014,0.3,0.002
13,36,22,0.058,0.015,0.3,0.002
14,32,20,0.055,0.015,0.3,0.002
15,33,18,0.052,0.016,0.3,0.002
16,32,18,0.052,0.015,0.3,0.003
17,29,16,0.051,0.016,0.3,0.002
18,28,12,0.052,0.018,0.3,0.003
19,33,11,0.051,0.017,0.3,0.002
20,47,12,0.051,0.019,0.2,0.002
21,,9,0.047,0.021,0.2,0.002
22,,7,0.051,0.019,0.3,0.003
23,37,10,0.058,0.017,0.3,0.003
0,38,11,0.048,0.026,0.3,0.003
1,47,13,0.045,0.025,0.3,0.003
2,35,11,0.050,0.015,0.3,0.003
3,27,12,0.047,0.012,0.3,0.002
4,19,10,0.047,0.011,0.3,0.002
5,17,10,0.040,0.016,0.3,0.002
6,18,9,0.025,0.028,0.3,0.002
7,19,9,0.028,0.029,0.3,0.002
8,16,6,0.043,0.014,0.2,0.002
9,18,7,0.042,0.014,0.2,0.002
10,18,5,0.045,0.013,0.2,0.002
11,,5,0.046,0.014,0.2,0.002
12,23,7,0.047,0.018,0.2,0.002
13,23,10,0.055,0.015,0.2,0.002
14,22,8,0.059,0.015,0.2,0.002
15,23,9,0.054,0.016,0.2,0.002
16,23,7,0.050,0.016,0.2,0.002
17,29,8,0.047,0.020,0.3,0.003
18,29,8,0.046,0.018,0.2,0.002
19,25,8,0.040,0.020,0.3,0.002
20,22,7,0.034,0.021,0.2,0.002
21,21,6,0.035,0.017,0.2,0.002
22,19,5,0.032,0.019,0.2,0.002
23,17,3,0.034,0.017,0.2,0.002
0,17,5,0.033,0.016,0.2,0.002
1,17,5,0.034,0.014,0.2,0.002
2,18,6,0.035,0.010,0.3,0.002
3,19,7,0.034,0.011,0.2,0.002
4,19,7,0.034,0.010,0.3,0.002
5,20,10,0.034,0.011,0.3,0.003
6,20,7,0.030,0.016,0.3,0.003
7,20,7,0.026,0.020,0.3,0.003
8,19,7,0.032,0.014,0.4,0.003
9,22,7,0.036,0.011,0.4,0.003
10,26,9,0.039,0.012,0.4,0.003
11,30,12,0.046,0.012,0.3,0.003
12,30,11,0.054,0.010,0.3,0.003
13,25,10,0.059,0.009,0.3,0.003
14,25,10,0.061,0.010,0.3,0.002
15,26,9,0.059,0.010,0.2,0.002
16,26,8,0.059,0.013,0.2,0.002
17,28,11,0.052,0.019,0.3,0.003
18,29,9,0.048,0.023,0.3,0.003
19,27,9,0.046,0.024,0.3,0.003
20,25,9,0.041,0.029,0.3,0.003
21,26,12,0.033,0.036,0.4,0.003
22,28,21,0.023,0.043,0.4,0.003
23,33,17,0.013,0.053,0.5,0.003
0,32,14,0.006,0.059,0.5,0.003
1,31,13,0.017,0.044,0.4,0.003
2,29,12,0.031,0.028,0.4,0.003
3,28,12,0.032,0.024,0.4,0.002
4,29,13,0.034,0.021,0.4,0.003
5,30,10,0.037,0.017,0.4,0.002
6,30,12,0.033,0.020,0.4,0.002
7,29,11,0.023,0.030,0.3,0.002
8,28,9,0.025,0.030,0.4,0.002
9,24,9,0.030,0.030,0.3,0.002
10,17,5,0.050,0.013,0.2,0.002
11,17,9,0.062,0.010,0.2,0.002
12,22,9,0.065,0.011,0.3,0.003
13,23,12,0.068,0.011,0.2,0.003
14,21,9,0.066,0.010,0.2,0.002
15,22,9,0.068,0.010,0.2,0.003
16,21,9,0.067,0.011,0.2,0.003
17,22,10,0.064,0.015,0.3,0.003
18,23,9,0.059,0.016,0.2,0.003
19,18,6,0.050,0.018,0.2,0.002
20,17,7,0.048,0.021,0.3,0.002
21,18,9,0.047,0.021,0.2,0.002
22,21,7,0.049,0.019,0.3,0.002
23,24,9,0.041,0.026,0.3,0.002
0,23,9,0.023,0.041,0.3,0.002
1,20,9,0.051,0.012,0.3,0.002
2,17,8,0.050,0.014,0.3,0.002
3,17,9,0.042,0.017,0.3,0.002
4,17,10,0.030,0.024,0.3,0.002
5,18,10,0.029,0.028,0.4,0.002
6,21,11,0.013,0.042,0.4,0.002
7,19,10,0.020,0.039,0.4,0.003
8,19,10,0.029,0.034,0.3,0.003
