날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,
1,77,53,0.002,0.076,1.0,0.007,
2,70,48,0.002,0.077,1.1,0.007,
3,75,53,0.002,0.078,1.2,0.007,
4,77,53,0.002,0.078,1.4,0.006,
5,83,52,0.002,0.077,1.5,0.006,
6,72,50,0.002,0.076,1.4,0.007,
7,72,46,0.002,0.074,1.3,0.007,
8,68,50,0.002,0.072,1.3,0.007,
9,83,48,0.003,0.073,1.3,0.007,
10,92,48,0.004,0.067,1.1,0.007,
11,92,47,0.004,0.067,1.0,0.007,
12,88,52,0.004,0.072,1.1,0.008,
13,80,43,0.006,0.064,0.7,0.008,
14,52,28,0.008,0.058,0.6,0.008,
15,52,28,0.008,0.057,0.5,0.007,
16,40,18,0.016,0.042,0.3,0.007,
17,28,17,0.015,0.042,0.2,0.007,
18,32,17,0.011,0.048,0.3,0.007,
19,43,16,0.009,0.052,0.3,0.007,
20,36,18,0.004,0.063,0.3,0.007,
21,35,16,0.004,0.063,0.3,0.007,
22,44,15,0.003,0.065,0.4,0.007,
23,38,12,0.004,0.061,0.4,0.007,
0,37,16,0.004,0.059,0.3,0.007,
1,34,17,0.005,0.057,0.3,0.006,
2,32,23,0.006,0.053,0.3,0.006,
3,34,22,0.002,0.063,0.6,0.006,
4,43,26,0.002,0.066,0.8,0.006,
5,40,29,0.002,0.062,0.7,0.006,
6,36,21,0.002,0.061,0.6,0.006,
7,33,23,0.002,0.070,0.7,0.006,
8,34,18,0.002,0.064,0.6,0.006,
9,32,15,0.002,0.070,0.7,0.007,
10,37,24,0.003,0.073,0.9,0.007,
11,43,26,0.003,0.073,0.8,0.007,
12,44,27,0.004,0.067,0.7,0.007,
13,55,28,0.005,0.066,0.6,0.008,
14,54,28,0.005,0.068,0.6,0.008,
15,52,30,0.014,0.049,0.3,0.007,
16,52,27,0.021,0.046,0.3,0.007,
17,53,27,0.025,0.045,0.3,0.007,
18,52,31,0.024,0.045,0.7,0.007,
19,46,24,0.017,0.055,0.6,0.007,
20,62,29,0.006,0.073,0.4,0.007,
21,77,29,0.003,0.079,0.4,0.006,
22,63,25,0.003,0.073,0.4,0.006,
23,62,30,0.002,0.076,0.5,0.007,
0,60,26,0.002,0.076,0.5,0.007,
1,57,37,0.002,0.076,0.5,0.007,
2,53,36,0.002,0.071,0.5,0.006,
3,50,38,0.005,0.062,0.4,0.006,
4,55,30,0.005,0.059,0.5,0.006,
5,48,25,0.006,0.056,0.5,0.006,
6,54,31,0.014,0.050,0.4,0.006,
7,59,32,0.017,0.046,0.4,0.007,
8,68,33,0.004,0.066,0.5,0.007,
9,69,36,0.006,0.064,0.5,0.007,
10,74,38,0.010,0.066,0.5,0.007,
11,66,43,0.014,0.061,0.5,0.008,
12,70,44,0.019,0.062,0.5,0.009,
13,93,48,0.022,0.059,0.5,0.010,
14,99,54,0.026,0.058,0.4,0.011,
15,107,53,0.029,0.058,0.4,0.012,
16,106,61,0.032,0.058,0.4,0.012,
17,110,63,0.032,0.063,0.4,0.012,
18,108,60,0.023,0.076,0.5,0.012,
19,102,61,0.012,0.088,0.5,0.010,
20,101,54,0.007,0.093,0.6,0.010,
21,128,83,0.010,0.086,0.7,0.009,
22,133,83,0.024,0.061,0.6,0.009,
23,130,76,0.023,0.061,0.6,0.008,
0,120,71,0.038,0.040,0.6,0.008,
1,128,86,0.039,0.037,0.6,0.008,
2,146,93,0.044,0.031,0.6,0.009,
3,139,86,0.039,0.034,0.7,0.008,
4,136,83,0.038,0.032,0.6,0.009,
5,153,76,0.035,0.032,0.7,0.008,
6,147,76,0.031,0.030,0.7,0.007,
7,124,65,0.024,0.035,0.7,0.008,
8,100,50,0.014,0.047,0.7,0.008,
9,94,52,0.014,0.048,0.7,0.008,
10,98,51,0.018,0.040,0.7,0.008,
11,77,41,0.022,0.035,0.5,0.008,
12,52,27,0.026,0.028,0.3,0.008,
13,21,10,0.028,0.026,0.2,0.007,
14,21,10,0.030,0.025,0.2,0.006,
15,27,14,0.029,0.025,0.1,0.006,
16,19,,0.027,0.026,0.1,0.006,
17,24,8,0.028,0.025,0.2,0.006,
18,29,7,0.024,0.030,0.2,0.006,
19,27,9,0.017,0.041,0.3,0.006,
20,28,7,0.017,0.038,0.2,0.006,
21,20,6,0.013,0.043,0.2,0.006,
22,25,8,0.021,0.027,0.2,0.005,
23,19,5,0.020,0.028,0.2,0.006,
0,17,6,0.026,0.018,0.1,0.006,
1,19,5,0.027,0.016,0.1,0.006,
2,24,13,0.027,0.015,0.2,0.006,
3,23,14,0.028,0.012,0.2,0.006,
4,25,16,0.027,0.013,0.2,0.007,
5,24,11,0.026,0.015,0.2,0.007,
6,25,16,0.022,0.020,0.2,0.007,
7,21,14,0.016,0.027,0.2,0.007,
8,28,12,0.010,0.038,0.2,0.007,
9,22,9,0.010,0.038,0.3,0.007,
10,24,12,0.020,0.023,0.1,0.007,
11,22,5,0.022,0.019,0.1,0.007,
12,25,12,0.021,0.023,0.2,0.007,
13,28,7,0.021,0.023,0.2,0.007,
14,29,14,0.024,0.021,0.2,0.007,
15,32,16,0.027,0.020,0.2,0.007,
16,31,10,0.027,0.021,0.2,0.007,
17,34,13,0.023,0.027,0.2,0.007,
18,45,17,0.019,0.033,0.2,0.007,
19,38,15,0.016,0.037,0.2,0.007,
20,34,16,0.014,0.040,0.3,0.007,
21,43,18,0.020,0.030,0.2,0.008,
22,43,19,0.009,0.048,0.3,0.008,
23,43,17,0.012,0.044,0.3,0.008,
0,43,17,0.003,0.059,0.4,0.007,
1,,20,0.004,0.057,0.4,0.007,
2,,20,0.003,0.058,0.4,0.007,
3,,18,0.012,0.042,0.3,0.007,
4,,21,0.014,0.036,0.3,0.007,
5,,20,0.012,0.040,0.3,0.007,
6,,20,0.005,0.053,0.4,0.008,
7,,22,0.003,0.056,0.4,0.008,
8,,18,0.002,0.064,0.5,0.008,
9,,23,0.003,0.065,0.6,0.008,
10,,21,0.004,0.067,0.8,0.008,
11,,,,,,,
12,,,,,,,
13,62,24,0.008,0.044,0.5,0.009,
14,68,28,0.005,0.050,0.5,0.010,
15,67,27,0.004,0.052,0.6,0.011,
16,68,30,0.008,0.041,0.5,0.010,
17,59,24,0.009,0.040,0.4,0.009,
18,56,25,0.006,0.044,0.4,0.008,
19,61,28,0.006,0.045,0.5,0.007,
20,50,25,0.011,0.036,0.4,0.007,
21,61,25,0.010,0.037,0.5,0.007,
22,66,29,0.014,0.030,0.5,0.007,
23,67,26,0.018,0.025,0.5,0.007,
