날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,
0,69,30,0.021,0.019,0.5,0.008,
1,62,31,0.021,0.021,0.5,0.008,
2,49,27,0.021,0.020,0.5,0.007,
3,48,30,0.022,0.018,0.5,0.007,
4,45,23,0.023,0.016,0.4,0.007,
5,45,24,0.021,0.018,0.5,0.007,
6,42,24,0.014,0.027,0.5,0.007,
7,39,20,0.011,0.032,0.4,0.007,
8,44,18,0.006,0.037,0.4,0.007,
9,38,18,0.011,0.032,0.4,0.007,
10,31,16,0.019,0.022,0.3,0.008,
11,44,23,0.020,0.020,0.3,0.008,
12,35,18,0.017,0.027,0.4,0.008,
13,36,13,0.016,0.029,0.4,0.008,
14,38,24,0.021,0.024,0.3,0.007,
15,35,18,0.024,0.020,0.2,0.007,
16,21,7,0.026,0.019,0.2,0.006,
17,28,11,0.020,0.027,0.3,0.008,
18,31,13,0.015,0.032,0.3,0.008,
19,35,14,0.014,0.033,0.3,0.007,
20,37,11,0.010,0.038,0.3,0.006,
21,40,17,0.006,0.043,0.3,0.006,
22,42,18,0.010,0.034,0.3,0.007,
23,36,14,0.011,0.031,0.3,0.007,
0,28,14,0.015,0.024,0.3,0.007,
1,29,15,0.019,0.020,0.2,0.006,
2,22,12,0.020,0.018,0.2,0.007,
3,26,9,0.024,0.013,0.2,0.007,
4,21,11,0.023,0.013,0.2,0.007,
5,22,12,0.023,0.013,0.2,0.007,
6,23,8,0.021,0.016,0.3,0.007,
7,23,12,0.014,0.026,0.3,0.007,
8,24,12,0.008,0.034,0.4,0.007,
9,27,13,0.007,0.039,0.4,0.007,
10,30,15,0.015,0.027,0.3,0.008,
11,31,14,0.022,0.017,0.3,0.008,
12,32,17,0.022,0.020,0.3,0.008,
13,36,7,0.025,0.018,0.3,0.009,
14,36,19,0.029,0.015,0.2,0.008,
15,37,20,0.032,0.011,0.2,0.008,
16,31,10,0.031,0.014,0.2,0.008,
17,30,14,0.030,0.017,0.3,0.008,
18,31,14,0.022,0.026,0.3,0.008,
19,36,15,0.010,0.043,0.3,0.008,
20,35,18,0.006,0.047,0.4,0.008,
21,46,16,0.005,0.049,0.4,0.007,
22,49,19,0.004,0.051,0.4,0.007,
23,45,18,0.002,0.055,0.6,0.007,
0,43,21,0.004,0.050,0.5,0.007,
1,43,24,0.005,0.047,0.5,0.007,
2,48,28,0.019,0.025,0.4,0.007,
3,38,23,0.022,0.020,0.4,0.007,
4,41,23,0.022,0.020,0.4,0.007,
5,41,24,0.018,0.025,0.4,0.007,
6,42,20,0.009,0.035,0.5,0.007,
7,37,21,0.014,0.028,0.4,0.007,
8,34,18,0.015,0.026,0.4,0.008,
9,36,17,0.011,0.032,0.4,0.008,
10,29,13,0.017,0.024,0.4,0.009,
11,39,23,0.023,0.017,0.3,0.008,
12,27,11,0.021,0.022,0.3,0.008,
13,26,4,0.018,0.027,0.3,0.009,
14,30,20,0.025,0.020,0.2,0.008,
15,32,16,0.026,0.019,0.3,0.007,
16,26,8,0.026,0.019,0.3,0.007,
17,24,8,0.025,0.021,0.3,0.007,
18,27,13,0.020,0.027,0.3,0.007,
19,26,12,0.017,0.032,0.3,0.006,
20,29,11,0.012,0.036,0.3,0.006,
21,28,17,0.004,0.050,0.5,0.006,
22,42,14,0.003,0.053,0.5,0.007,
23,36,18,0.002,0.053,0.5,0.007,
0,32,18,0.003,0.052,0.5,0.007,
1,29,13,0.004,0.048,0.4,0.007,
2,27,19,0.013,0.034,0.4,0.007,
3,32,21,0.015,0.029,0.4,0.008,
4,33,19,0.016,0.026,0.4,0.008,
5,31,18,0.015,0.027,0.4,0.007,
6,33,20,0.010,0.034,0.5,0.007,
7,35,21,0.004,0.043,0.5,0.007,
8,38,22,0.010,0.033,0.5,0.007,
9,34,20,0.014,0.028,0.5,0.008,
10,45,24,0.015,0.027,0.6,0.008,
11,45,21,0.018,0.026,0.6,0.008,
12,31,20,0.028,0.016,0.3,0.008,
13,11,4,0.031,0.015,0.3,0.007,
14,27,17,0.035,0.012,0.3,0.007,
15,28,12,0.037,0.011,0.2,0.007,
16,18,6,0.038,0.011,0.2,0.007,
17,23,12,0.037,0.013,0.3,0.007,
18,24,13,0.031,0.019,0.3,0.007,
19,25,12,0.025,0.025,0.3,0.007,
20,25,11,0.026,0.027,0.4,0.007,
21,30,15,0.032,0.019,0.3,0.007,
22,31,14,0.035,0.014,0.2,0.007,
23,29,11,0.034,0.014,0.3,0.007,
0,31,15,0.027,0.020,0.3,0.007,
1,29,21,0.024,0.021,0.3,0.007,
2,28,16,0.029,0.013,0.3,0.006,
3,27,18,0.031,0.009,0.3,0.007,
4,28,14,0.032,0.008,0.3,0.007,
5,33,15,0.031,0.010,0.3,0.007,
6,34,17,0.025,0.015,0.3,0.008,
7,34,20,0.015,0.027,0.4,0.008,
8,41,18,0.008,0.035,0.5,0.008,
9,43,20,0.007,0.038,0.5,0.008,
10,46,22,0.011,0.034,0.6,0.009,
11,52,26,0.019,0.026,0.4,0.008,
12,36,19,0.022,0.023,0.4,0.008,
13,29,9,0.027,0.019,0.3,0.008,
14,35,23,0.029,0.020,0.3,0.007,
15,35,21,0.029,0.021,0.3,0.007,
16,35,15,0.026,0.024,0.3,0.007,
17,40,17,0.021,0.031,0.4,0.007,
18,46,22,0.015,0.036,0.4,0.007,
19,40,16,0.012,0.039,0.5,0.007,
20,44,24,0.011,0.039,0.5,0.007,
21,39,17,0.015,0.032,0.4,0.007,
22,57,22,0.010,0.037,0.6,0.007,
23,74,34,0.004,0.045,0.8,0.008,
0,63,22,0.005,0.043,0.7,0.008,
1,64,29,0.005,0.041,0.6,0.009,
2,58,29,0.008,0.038,0.6,0.008,
3,55,30,0.008,0.036,0.6,0.008,
4,57,28,0.011,0.033,0.5,0.008,
5,53,24,0.010,0.034,0.5,0.007,
6,52,25,0.005,0.041,0.6,0.007,
7,52,26,0.005,0.042,0.6,0.007,
8,50,23,0.004,0.049,0.6,0.007,
9,59,25,0.005,0.047,0.6,0.007,
10,52,23,0.008,0.042,0.6,0.007,
11,57,27,0.010,0.039,0.5,0.007,
12,43,20,0.010,0.041,0.5,0.007,
13,42,11,0.012,0.040,0.6,0.007,
14,39,24,0.020,0.029,0.4,0.006,
15,48,21,0.025,0.027,0.3,0.006,
16,51,19,0.024,0.030,0.3,0.006,
17,39,8,0.020,0.031,0.3,0.007,
18,37,14,0.013,0.039,0.4,0.007,
19,35,13,0.009,0.044,0.4,0.007,
20,30,14,0.008,0.046,0.4,0.007,
21,46,12,0.005,0.049,0.5,0.007,
22,35,10,0.011,0.035,0.4,0.006,
23,44,16,0.016,0.027,0.4,0.006,
0,35,10,0.017,0.026,0.3,0.006,
1,32,9,0.019,0.023,0.3,0.006,
2,33,16,0.025,0.016,0.3,0.006,
3,27,11,0.027,0.014,0.3,0.006,
4,25,14,0.021,0.022,0.4,0.006,
5,26,11,0.015,0.028,0.4,0.006,
6,31,12,0.012,0.031,0.4,0.006,
7,27,12,0.018,0.026,0.4,0.006,
8,28,13,0.011,0.036,0.4,0.006,
9,32,11,0.010,0.039,0.4,0.006,
10,25,12,0.015,0.032,0.5,0.007,
11,33,15,0.022,0.024,0.3,0.007,
12,26,10,0.029,0.015,0.3,0.007,
13,22,6,0.021,0.027,0.3,0.007,
14,36,15,0.011,0.043,0.6,0.008,
15,48,28,0.010,0.044,0.5,0.007,
16,37,14,0.010,0.041,0.5,0.007,
17,42,19,0.004,0.048,0.6,0.006,
18,47,27,0.002,0.053,0.7,0.007,
19,38,24,0.002,0.053,0.6,0.007,
20,39,25,0.004,0.048,0.6,0.007,
21,38,20,0.009,0.040,0.5,0.006,
22,51,23,0.019,0.024,0.5,0.006,
23,46,23,0.026,0.017,0.4,0.007,
0,42,19,0.026,0.017,0.4,0.008,
1,45,18,0.027,0.015,0.3,0.008,
2,40,19,0.026,0.017,0.4,0.008,
3,45,17,0.025,0.018,0.4,0.008,
4,38,19,0.025,0.017,0.4,0.008,
5,43,17,0.022,0.021,0.4,0.008,
6,44,21,0.011,0.033,0.6,0.008,
7,49,18,0.005,0.043,0.6,0.008,
8,50,19,0.003,0.048,0.7,0.008,
9,57,22,0.005,0.045,0.6,0.008,
10,45,16,0.020,0.026,0.4,0.008,
11,32,13,0.023,0.023,0.3,0.006,
12,24,10,0.015,0.038,0.5,0.007,
13,44,11,0.009,0.048,0.7,0.007,
14,37,17,0.018,0.033,0.4,0.006,
15,28,12,0.018,0.032,0.4,0.007,
16,28,13,0.013,0.040,0.4,0.007,
17,34,15,0.012,0.042,0.4,0.008,
18,37,20,0.009,0.046,0.5,0.008,
19,40,22,0.004,0.055,0.6,0.009,
20,45,25,0.003,0.057,0.6,0.008,
21,59,23,0.002,0.056,0.7,0.008,
22,50,20,0.006,0.049,0.6,0.008,
23,44,19,0.004,0.047,0.6,0.007,
0,43,20,0.002,0.052,0.7,0.007,
1,45,34,0.002,0.053,0.7,0.008,
2,52,35,0.002,0.056,0.8,0.008,
3,38,30,0.005,0.047,0.7,0.008,
4,35,19,,0.024,0.4,0.008,
5,25,14,0.026,0.018,0.4,0.007,
6,25,12,0.010,0.036,0.5,0.007,
7,39,16,0.005,0.046,0.6,0.007,
8,35,16,0.003,0.052,0.7,0.007,
9,36,19,0.004,0.054,0.8,0.008,
10,38,21,0.007,0.049,0.8,0.008,
11,32,16,0.008,0.048,0.7,0.008,
12,40,17,0.007,0.053,0.8,0.008,
13,35,12,0.012,0.044,0.6,0.007,
14,36,16,0.013,0.042,0.7,0.008,
15,46,27,0.018,0.038,0.6,0.009,
16,54,23,0.017,0.042,0.6,0.009,
17,52,28,0.011,0.049,0.6,0.009,
18,50,27,0.008,0.054,0.6,0.009,
19,58,30,0.004,0.068,0.9,0.009,
20,66,35,0.003,0.074,1.1,0.009,
21,77,28,0.003,0.065,1.0,0.009,
22,79,34,0.003,0.067,1.1,0.008,
23,74,33,0.003,0.069,1.1,0.009,
0,69,33,0.003,0.071,1.2,0.008,
1,67,41,0.003,0.065,1.1,0.008,
2,55,44,0.002,0.060,1.0,0.007,
3,54,40,0.003,0.053,0.8,0.007,
4,49,31,0.004,0.050,0.8,0.007,
5,48,29,0.003,0.056,1.0,0.007,
6,66,35,0.003,0.063,1.3,0.008,
7,63,39,0.003,0.060,1.2,0.008,
8,62,36,0.002,0.056,1.0,0.008,
9,57,38,0.003,0.049,0.8,0.008,
10,59,31,0.003,0.052,0.9,0.008,
11,58,28,0.004,0.051,0.8,0.008,
12,67,33,0.005,0.050,0.8,0.007,
13,85,33,0.007,0.049,0.8,0.007,
14,80,33,0.008,0.049,0.8,0.007,
15,77,36,0.008,0.050,0.8,0.007,
16,78,33,0.007,0.053,0.8,0.008,
17,70,37,0.005,0.057,0.9,0.007,
18,73,38,0.004,0.056,0.9,0.007,
19,65,29,0.010,0.046,0.8,0.007,
20,61,34,0.005,0.054,0.9,0.007,
21,83,39,0.005,0.055,0.9,0.007,
22,80,34,0.003,0.060,1.0,0.007,
23,77,35,0.003,0.058,0.9,0.007,
0,69,35,0.002,0.060,1.0,0.007,
1,68,43,0.003,0.059,1.0,0.007,
2,62,49,0.004,0.053,0.9,0.007,
3,59,43,0.004,0.052,0.9,0.007,
4,61,40,0.002,0.059,1.2,0.007,
5,64,47,0.003,0.054,1.1,0.007,
6,61,40,0.002,0.053,1.0,0.007,
7,67,43,0.002,0.057,1.1,0.007,
8,64,44,0.002,0.057,1.1,0.007,
9,69,41,0.003,0.053,1.0,0.007,
10,69,41,0.005,0.049,0.9,0.007,
11,58,35,0.008,0.046,0.8,0.007,
12,71,38,0.012,0.042,0.8,0.007,
13,75,33,0.015,0.039,0.8,0.008,
14,72,35,0.014,0.042,0.8,0.008,
15,67,37,0.013,0.046,0.8,0.008,
16,72,39,0.011,0.050,0.8,0.008,
17,70,39,0.007,0.057,0.8,0.007,
18,74,38,0.004,0.060,0.9,0.007,
19,81,48,0.003,0.064,1.0,0.007,
20,86,44,0.003,0.064,1.0,0.007,
21,81,41,0.003,0.066,1.0,0.007,
22,82,53,0.002,0.064,1.1,0.007,
23,84,51,0.002,0.058,1.0,0.007,
0,81,52,0.002,0.063,1.1,0.007,
1,72,51,0.002,0.064,1.1,0.006,
2,70,49,0.002,0.067,1.4,0.007,
3,79,57,0.005,0.045,1.0,0.006,
4,93,60,0.009,0.031,1.0,0.006,
5,75,49,0.019,0.021,0.9,0.006,
6,67,44,0.021,0.020,0.8,0.007,
7,74,52,0.012,0.028,0.9,0.007,
8,88,52,0.017,0.024,0.7,0.007,
9,74,47,0.017,0.027,0.7,0.007,
10,82,39,0.018,0.028,0.6,0.008,
11,65,33,0.022,0.024,0.5,0.007,
12,59,30,0.028,0.018,0.4,0.007,
13,56,6,0.031,0.013,0.3,0.007,
14,45,17,0.030,0.014,0.3,0.006,
15,59,11,0.031,0.013,0.3,0.006,
16,55,4,0.029,0.015,0.3,0.005,
17,38,7,0.029,0.015,0.2,0.005,
18,38,10,0.027,0.017,0.3,0.005,
19,26,5,0.024,0.020,0.3,0.005,
20,24,6,0.024,0.019,0.3,0.005,
21,39,8,0.026,0.016,0.3,0.005,
22,34,3,0.024,0.016,0.3,0.006,
23,36,10,0.025,0.016,0.3,0.006,
0,31,8,0.026,0.013,0.3,0.006,
1,34,15,0.028,0.011,0.3,0.006,
2,44,17,0.029,0.010,0.3,0.006,
3,65,10,0.030,0.009,0.3,0.006,
4,32,12,0.028,0.010,0.3,0.006,
5,29,9,0.027,0.011,0.3,0.006,
6,28,10,0.023,0.014,0.3,0.006,
7,27,10,0.020,0.018,0.3,0.007,
8,29,10,0.018,0.020,0.3,0.007,
9,35,10,0.017,0.022,0.3,0.007,
10,37,10,0.020,0.019,0.3,0.007,
11,40,17,0.024,0.016,0.3,0.006,
12,36,7,0.026,0.014,0.3,0.006,
13,60,8,0.028,0.012,0.3,0.005,
14,80,12,0.028,0.014,0.3,0.005,
15,44,15,0.027,0.014,0.3,0.006,
16,41,9,0.028,0.014,0.3,0.006,
17,39,11,0.025,0.017,0.4,0.006,
18,44,12,0.024,0.017,0.4,0.006,
19,53,16,0.022,0.019,0.4,0.006,
20,43,10,0.025,0.016,0.3,0.006,
21,39,13,0.023,0.017,0.4,0.006,
22,36,12,0.022,0.019,0.4,0.005,
23,33,11,0.020,0.021,0.4,0.006,
0,28,15,0.020,0.022,0.4,0.006,
1,23,11,0.022,0.018,0.3,0.006,
2,29,17,0.023,0.018,0.4,0.006,
3,27,12,0.027,0.013,0.3,0.006,
4,28,14,0.027,0.013,0.3,0.006,
5,25,14,0.026,0.013,0.4,0.006,
6,27,14,0.027,0.011,0.3,0.006,
7,25,15,0.025,0.015,0.4,0.006,
8,27,13,0.020,0.021,0.4,0.006,
9,32,16,0.008,0.038,0.5,0.006,
10,37,15,0.013,0.032,0.5,0.007,
11,34,19,0.022,0.021,0.4,0.007,
12,32,16,0.022,0.020,0.4,0.007,
13,35,16,0.025,0.019,0.5,0.007,
14,40,24,0.025,0.019,0.5,0.007,
15,40,21,0.022,0.023,0.5,0.007,
16,42,20,0.018,0.030,0.5,0.007,
17,42,23,0.009,0.041,0.6,0.007,
18,39,22,0.007,0.042,0.5,0.007,
19,39,20,0.005,0.045,0.5,0.006,
20,38,18,0.006,0.044,0.5,0.006,
21,43,20,,0.026,0.4,0.006,
22,45,20,0.007,0.042,0.5,0.006,
23,44,23,0.007,0.043,0.6,0.006,
0,41,17,0.020,0.025,0.5,0.006,
1,42,13,0.011,0.037,0.6,0.006,
2,46,29,0.003,0.054,0.9,0.006,
3,46,30,0.003,0.052,0.8,0.006,
4,50,28,0.010,0.038,0.6,0.006,
5,39,23,0.014,0.030,0.6,0.006,
6,44,25,0.004,0.046,0.8,0.007,
7,51,32,0.003,0.047,0.7,0.007,
8,46,23,0.003,0.052,0.7,0.007,
9,49,31,0.007,0.044,0.7,0.006,
10,43,24,0.011,0.036,0.6,0.007,
11,41,23,0.017,0.031,0.6,0.007,
12,43,20,0.019,0.029,0.6,0.007,
13,31,12,0.024,0.023,0.5,0.007,
14,39,26,0.017,0.033,0.6,0.007,
15,47,26,0.022,0.027,0.5,0.006,
16,33,14,0.027,0.024,0.5,0.006,
17,31,19,0.026,0.025,0.4,0.006,
18,31,12,0.024,0.026,0.5,0.006,
19,34,18,0.020,0.030,0.5,0.006,
20,37,20,0.006,0.047,0.6,0.006,
21,56,19,0.010,0.040,0.6,0.007,
22,65,22,0.009,0.041,0.7,0.007,
23,70,30,0.013,0.036,0.8,0.008,
0,71,32,0.012,0.036,0.8,0.008,
1,66,31,0.015,0.033,0.8,0.007,
2,61,36,0.020,0.026,0.7,0.007,
3,55,31,0.022,0.022,0.7,0.007,
4,59,32,0.018,0.026,0.7,0.007,
5,60,35,0.010,0.038,0.8,0.007,
6,54,29,0.004,0.045,0.9,0.007,
7,55,27,0.003,0.049,0.9,0.007,
8,53,32,0.004,0.049,0.8,0.007,
9,47,23,0.009,0.041,0.7,0.007,
10,37,16,0.016,0.033,0.6,0.008,
11,41,22,0.017,0.033,0.6,0.008,
12,,,,,,,
13,,,,,,,
14,45,30,0.022,0.027,0.6,0.008,
15,55,27,0.023,0.024,0.6,0.007,
16,46,21,0.026,0.022,0.5,0.007,
17,45,22,0.022,0.026,0.5,0.007,
18,61,27,0.015,0.033,0.6,0.007,
19,49,22,0.015,0.031,0.5,0.007,
20,39,17,0.019,0.025,0.5,0.007,
21,38,20,0.012,0.034,0.6,0.007,
22,39,18,0.017,0.028,0.6,0.007,
23,45,15,0.022,0.021,0.5,0.007,
0,33,17,0.027,0.016,0.4,0.006,
1,29,4,0.030,0.013,0.4,0.006,
2,26,12,0.030,0.012,0.4,0.007,
3,27,15,0.031,0.011,0.4,0.008,
4,35,18,0.029,0.010,0.5,0.008,
5,32,17,0.028,0.012,0.5,0.009,
6,39,15,0.027,0.014,0.5,0.009,
7,41,20,0.023,0.017,0.5,0.008,
8,54,19,0.018,0.021,0.5,0.008,
9,45,18,0.019,0.023,0.5,0.008,
10,30,12,0.024,0.017,0.4,0.008,
11,38,16,0.027,0.014,0.4,0.007,
12,39,12,0.027,0.014,0.4,0.007,
13,35,4,0.030,0.010,0.4,0.007,
14,42,15,0.030,0.010,0.4,0.006,
15,39,14,0.028,0.011,0.4,0.006,
16,36,8,0.028,0.011,0.4,0.006,
17,36,6,0.026,0.012,0.4,0.006,
18,22,12,0.025,0.015,0.4,0.006,
19,23,7,0.023,0.017,0.4,0.005,
20,20,6,0.023,0.016,0.4,0.005,
21,18,5,0.024,0.015,0.4,0.005,
22,19,8,0.026,0.012,0.4,0.005,
23,20,6,0.023,0.016,0.4,0.006,
0,18,6,0.022,0.016,0.4,0.006,
1,21,8,0.025,0.013,0.4,0.006,
2,24,9,0.026,0.012,0.4,0.007,
3,28,16,0.025,0.012,0.4,0.008,
4,39,21,0.023,0.012,0.5,0.009,
5,43,22,0.021,0.014,0.5,0.008,
6,51,27,0.021,0.016,0.5,0.008,
7,53,27,0.020,0.015,0.5,0.008,
8,47,25,0.020,0.015,0.5,0.007,
9,47,19,0.019,0.016,0.5,0.007,
10,42,19,0.022,0.014,0.5,0.008,
11,43,24,0.025,0.012,0.4,0.008,
12,40,21,0.028,0.010,0.4,0.008,
13,37,16,0.029,0.010,0.4,0.008,
14,41,23,0.028,0.013,0.5,0.008,
15,41,26,0.029,0.013,0.4,0.007,
16,36,19,0.030,0.014,0.4,0.007,
17,38,20,0.028,0.017,0.4,0.007,
18,43,22,0.026,0.017,0.4,0.007,
19,36,20,0.023,0.019,0.4,0.006,
20,35,13,0.020,0.023,0.4,0.006,
21,41,16,0.021,0.020,0.4,0.006,
22,35,12,0.022,0.019,0.4,0.006,
23,34,9,0.022,0.018,0.4,0.006,
0,37,8,0.022,0.017,0.4,0.006,
1,35,14,0.019,0.021,0.5,0.006,
2,34,15,0.019,0.019,0.5,0.006,
3,37,13,0.020,0.019,0.4,0.006,
4,39,15,0.021,0.018,0.5,0.006,
5,41,16,0.018,0.021,0.5,0.006,
6,45,16,0.013,0.027,0.5,0.007,
7,41,13,0.011,0.030,0.5,0.007,
8,46,16,0.011,0.031,0.5,0.007,
9,42,9,0.013,0.029,0.5,0.007,
10,47,10,0.023,0.017,0.5,0.008,
11,51,18,0.023,0.018,0.5,0.007,
12,50,16,0.025,0.017,0.5,0.007,
13,48,7,0.026,0.017,0.5,0.007,
14,40,15,0.026,0.018,0.5,0.007,
15,47,21,0.024,0.023,0.5,0.006,
16,47,12,0.024,0.024,0.5,0.007,
17,49,14,0.022,0.026,0.5,0.007,
18,52,22,0.018,0.031,0.5,0.007,
19,56,16,0.012,0.038,0.5,0.007,
20,64,19,0.009,0.043,0.6,0.007,
21,57,19,0.004,0.051,0.7,0.007,
22,78,21,0.002,0.057,0.7,0.008,
23,74,22,0.002,0.063,1.0,0.008,
0,78,22,0.002,0.062,0.9,0.008,
1,75,25,0.003,0.057,0.8,0.008,
2,79,30,0.003,0.060,1.0,0.008,
3,73,30,0.003,0.061,1.1,0.008,
4,66,24,0.003,0.059,1.1,0.008,
5,71,26,0.003,0.060,1.1,0.008,
6,69,29,0.003,0.062,1.2,0.008,
7,72,26,0.003,0.064,1.2,0.008,
8,76,29,0.002,0.065,1.3,0.008,
