날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,16,11,0.040,0.024,0.4,0.003
2,18,12,0.038,0.023,0.4,0.004
3,22,17,0.041,0.017,0.4,0.004
4,24,16,0.041,0.015,0.5,0.004
5,24,19,0.048,0.011,0.4,0.004
6,26,21,0.048,0.014,0.4,0.003
7,28,21,0.045,0.018,0.4,0.003
8,27,20,0.044,0.022,0.4,0.003
9,28,20,0.052,0.024,0.5,0.003
10,31,25,0.055,0.024,0.6,0.003
11,35,26,0.055,0.027,0.6,0.003
12,39,28,0.058,0.026,0.5,0.003
13,40,33,0.065,0.025,0.4,0.003
14,32,25,0.066,0.022,0.4,0.004
15,25,21,0.074,0.020,0.4,0.004
16,26,18,0.083,0.018,0.4,0.004
17,24,18,0.078,0.020,0.4,0.004
18,24,17,0.068,0.022,0.4,0.005
19,23,16,0.054,0.027,0.4,0.005
20,25,17,0.049,0.030,0.5,0.006
21,23,15,0.048,0.023,0.4,0.004
22,19,14,0.042,0.026,0.4,0.004
23,22,13,0.030,0.034,0.5,0.003
0,22,15,0.018,0.043,0.5,0.004
1,22,17,0.014,0.046,0.5,0.003
2,22,16,0.016,0.040,0.5,0.003
3,21,16,0.026,0.027,0.5,0.003
4,22,17,0.021,0.027,0.5,0.003
5,23,19,0.022,0.025,0.5,0.003
6,23,17,0.020,0.026,0.5,0.003
7,23,16,0.011,0.036,0.5,0.003
8,26,17,0.016,0.036,0.5,0.003
9,30,23,0.027,0.032,0.6,0.004
10,26,17,0.044,0.029,0.7,0.005
11,24,16,0.068,0.023,0.5,0.004
12,31,20,0.080,0.024,0.7,0.004
13,29,19,0.084,0.022,0.5,0.004
14,34,22,0.104,0.019,0.5,0.006
15,46,34,0.115,0.016,0.5,0.006
16,40,27,0.100,0.017,0.5,0.005
17,35,20,0.109,0.017,0.4,0.006
18,28,15,0.081,0.017,0.3,0.003
19,26,15,0.077,0.018,0.4,0.003
20,27,16,0.079,0.017,0.4,0.003
21,28,14,0.067,0.022,0.4,0.003
22,26,14,0.062,0.023,0.4,0.003
23,25,16,0.043,0.032,0.4,0.002
0,25,14,0.040,0.029,0.4,0.002
1,22,13,0.037,0.028,0.4,0.002
2,23,14,0.027,0.035,0.4,0.003
3,22,16,0.025,0.034,0.5,0.002
4,23,18,0.029,0.030,0.5,0.002
5,24,16,0.020,0.039,0.5,0.002
6,25,17,0.021,0.040,0.5,0.003
7,26,19,0.009,0.055,0.5,0.002
8,30,19,0.014,0.052,0.6,0.003
9,29,19,0.015,0.061,0.6,0.003
10,38,17,0.027,0.058,0.9,0.004
11,32,16,0.043,0.046,0.6,0.004
12,30,16,0.056,0.038,0.6,0.004
13,37,19,0.071,0.022,0.4,0.005
14,33,17,0.068,0.008,0.3,0.003
15,18,11,0.068,0.014,0.4,0.003
16,27,15,0.073,0.028,0.5,0.003
17,36,21,0.080,0.033,0.6,0.003
18,36,23,0.075,0.046,0.5,0.004
19,40,24,0.084,0.041,0.5,0.004
20,43,28,0.081,0.039,0.5,0.003
21,41,28,0.061,0.048,0.5,0.004
22,38,23,0.040,0.047,0.5,0.006
23,26,16,0.049,0.021,0.4,0.004
0,19,13,0.044,0.023,0.4,0.003
1,20,13,0.048,0.018,0.4,0.004
2,20,15,0.049,0.016,0.4,0.003
3,19,16,0.041,0.021,0.4,0.003
4,22,17,0.043,0.017,0.4,0.003
5,19,18,0.038,0.021,0.4,0.003
6,21,17,0.028,0.036,0.5,0.003
7,25,18,0.009,0.055,0.6,0.003
8,25,17,0.017,0.054,0.7,0.005
9,20,15,0.035,0.031,0.5,0.005
10,17,10,0.033,0.033,0.7,0.006
11,18,11,0.035,0.036,0.5,0.005
12,22,14,0.047,0.032,0.4,0.004
13,25,18,0.058,0.022,0.5,0.005
14,20,13,0.047,0.017,0.3,0.004
15,19,11,0.043,0.021,0.5,0.003
16,21,15,0.046,0.021,0.3,0.004
17,31,22,0.047,0.023,0.3,0.004
18,29,21,0.037,0.023,0.3,0.004
19,25,17,0.025,0.027,0.4,0.003
20,29,21,0.016,0.037,0.4,0.003
21,32,19,0.017,0.032,0.4,0.003
22,28,16,0.021,0.024,0.3,0.003
23,21,17,0.027,0.018,0.3,0.002
0,20,16,0.032,0.015,0.3,0.002
1,18,14,0.041,0.009,0.3,0.002
2,19,14,0.040,0.008,0.3,0.002
3,19,14,0.034,0.010,0.3,0.002
4,20,15,0.033,0.009,0.3,0.002
5,20,16,0.032,0.011,0.4,0.002
6,23,16,0.027,0.015,0.4,0.002
7,26,19,0.023,0.021,0.5,0.002
8,28,19,0.020,0.025,0.5,0.002
9,29,23,0.016,0.030,0.6,0.003
10,33,21,0.022,0.026,0.5,0.002
11,34,22,0.024,0.038,0.6,0.003
12,40,25,0.028,0.045,0.6,0.003
13,41,27,0.044,0.043,0.6,0.003
14,53,35,0.069,0.045,0.5,0.004
15,71,45,0.064,0.041,0.5,0.005
16,63,43,0.065,0.035,0.5,0.005
17,45,34,0.063,0.035,0.7,0.005
18,50,36,0.063,0.040,0.6,0.005
19,50,36,0.049,0.048,0.5,0.004
20,49,35,0.041,0.064,0.6,0.004
21,53,39,0.044,0.059,0.7,0.005
22,51,36,0.033,0.049,0.6,0.005
23,43,25,0.017,0.043,0.4,0.004
0,37,17,0.032,0.028,0.4,0.003
1,21,14,0.028,0.023,0.4,0.003
2,20,13,0.031,0.015,0.3,0.003
3,17,13,0.031,0.014,0.4,0.003
4,20,13,0.026,0.016,0.4,0.003
5,28,16,0.017,0.022,0.5,0.003
6,28,19,0.012,0.025,0.5,0.003
7,30,20,0.009,0.033,0.6,0.003
8,39,25,0.012,0.037,0.7,0.003
9,57,41,0.014,0.048,0.7,0.004
10,59,41,0.016,0.058,0.8,0.004
11,62,44,0.019,0.070,0.9,0.004
12,62,42,0.024,0.067,0.9,0.005
13,65,44,0.029,0.065,0.9,0.005
14,60,40,0.039,0.056,0.7,0.005
15,63,43,0.034,0.061,0.8,0.004
16,73,46,0.023,0.056,0.7,0.003
17,70,45,0.018,0.062,0.8,0.003
18,63,43,0.033,0.052,0.7,0.003
19,65,48,0.043,0.037,0.6,0.003
20,62,43,0.044,0.040,0.7,0.003
21,53,37,0.048,0.029,0.6,0.003
22,38,29,0.050,0.023,0.5,0.003
23,33,24,0.051,0.019,0.4,0.002
0,28,21,0.050,0.018,0.4,0.003
1,23,19,0.055,0.016,0.4,0.003
2,24,17,0.059,0.010,0.3,0.002
3,22,16,0.060,0.008,0.3,0.003
4,17,12,0.065,0.006,0.3,0.003
5,11,8,0.067,0.007,0.3,0.002
6,8,6,0.059,0.013,0.3,0.002
7,6,8,0.051,0.021,0.3,0.003
8,7,5,0.046,0.030,0.4,0.002
9,8,6,0.045,0.033,0.4,0.003
10,7,4,0.040,0.035,0.6,0.002
11,6,4,0.053,0.018,0.6,0.002
12,8,5,0.050,0.022,0.5,0.003
13,7,5,0.052,0.019,0.5,0.002
14,7,4,0.054,0.018,0.5,0.002
15,5,5,0.053,0.021,0.5,0.003
16,7,4,0.052,0.022,0.5,0.003
17,7,3,0.056,0.017,0.5,0.003
18,10,3,0.057,0.016,0.4,0.002
19,8,4,0.054,0.022,0.4,0.002
20,11,7,0.056,0.024,0.4,0.003
21,12,11,0.053,0.024,0.4,0.002
22,12,7,0.054,0.016,0.4,0.002
23,9,7,0.050,0.018,0.4,0.002
0,12,8,0.051,0.016,0.4,0.002
1,16,10,0.041,0.023,0.4,0.002
2,15,10,0.045,0.017,0.4,0.002
3,15,10,0.040,0.016,0.4,0.002
4,16,11,0.032,0.021,0.5,0.003
5,17,12,0.039,0.016,0.4,0.002
6,16,11,0.035,0.019,0.4,0.002
7,15,10,0.025,0.028,0.4,0.002
8,16,11,0.027,0.030,0.4,0.002
9,17,10,0.039,0.024,0.3,0.002
10,16,10,0.041,0.026,0.4,0.003
11,18,12,0.053,0.018,0.4,0.003
12,20,10,0.051,0.027,0.4,0.003
13,21,13,0.051,0.030,0.4,0.003
14,19,12,0.056,0.026,0.4,0.003
15,19,13,0.063,0.028,0.4,0.003
16,32,19,0.075,0.030,0.4,0.004
17,37,23,0.085,0.028,0.4,0.004
18,35,22,0.086,0.024,0.4,0.005
19,23,16,0.070,0.021,0.5,0.006
20,17,12,0.067,0.020,0.4,0.005
21,16,13,0.058,0.028,0.5,0.004
22,21,16,0.052,0.030,0.5,0.004
23,25,16,0.047,0.031,0.5,0.004
0,27,19,0.022,0.050,0.7,0.004
1,28,21,0.016,0.057,0.7,0.004
2,35,25,0.036,0.029,0.6,0.004
3,41,30,0.046,0.016,0.5,0.004
4,40,26,0.045,0.015,0.5,0.003
5,39,28,0.047,0.013,0.5,0.003
6,35,27,0.042,0.014,0.5,0.003
7,33,24,0.034,0.020,0.5,0.003
8,36,26,0.035,0.026,0.5,0.004
9,36,27,0.035,0.030,0.5,0.004
10,29,21,0.057,0.021,0.5,0.006
11,23,16,0.069,0.017,0.5,0.006
12,25,19,0.072,0.018,0.5,0.005
13,24,22,0.078,0.018,0.5,0.005
14,30,24,0.084,0.018,0.5,0.005
15,26,24,0.084,0.015,0.4,0.004
16,26,21,0.081,0.015,0.4,0.004
17,26,20,0.072,0.016,0.4,0.003
18,23,18,0.071,0.015,0.4,0.003
19,26,15,0.057,0.016,0.4,0.003
20,24,14,0.058,0.013,0.4,0.003
21,19,14,0.048,0.014,0.4,0.003
22,16,10,0.043,0.012,0.3,0.002
23,23,6,0.039,0.013,0.3,0.002
0,22,7,0.038,0.013,0.3,0.002
