날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,87,,0.003,0.090,0.8,0.009
2,86,,0.003,0.082,0.7,0.008
3,72,,0.002,0.074,0.6,0.008
4,72,,0.002,0.074,0.7,0.007
5,67,,0.002,0.067,0.6,0.007
6,58,,0.003,0.071,0.8,0.007
7,65,,0.003,0.076,0.8,0.007
8,66,,0.003,0.085,1.1,0.008
9,81,,0.003,0.084,1.1,0.008
10,93,,0.007,0.066,0.6,0.007
11,64,,0.015,0.055,0.4,0.007
12,64,,0.014,0.066,0.6,0.007
13,82,,0.008,0.087,0.7,0.007
14,69,,0.026,0.049,0.3,0.007
15,54,,0.040,0.030,0.2,0.007
16,42,,0.046,0.016,0.1,0.006
17,54,,0.045,0.027,0.2,0.007
18,52,,0.036,0.031,0.2,0.007
19,65,,0.030,0.039,0.3,0.007
20,54,,0.022,0.048,0.3,0.007
21,48,,0.013,0.061,0.3,0.007
22,62,,0.005,0.076,0.4,0.007
23,61,,0.006,0.073,0.4,0.007
0,57,,0.006,0.073,0.4,0.008
1,63,,0.003,0.081,0.6,0.008
2,60,,0.003,0.075,0.6,0.007
3,59,,0.002,0.071,0.6,0.007
4,63,,0.002,0.073,0.6,0.008
5,71,,0.003,0.076,0.6,0.009
6,71,,0.003,0.076,0.7,0.012
7,84,,0.003,0.079,0.8,0.012
8,81,,0.003,0.080,0.7,0.014
9,74,,0.004,0.082,0.7,0.014
10,72,,0.006,0.082,0.7,0.014
11,67,,0.009,0.078,0.6,0.011
12,64,,0.030,0.041,0.3,0.007
13,56,,0.029,0.048,0.3,0.009
14,60,,0.039,0.028,0.2,0.008
15,43,,0.040,0.028,0.2,0.007
16,41,,0.039,0.028,0.2,0.007
17,46,,0.038,0.031,0.2,0.007
18,49,,0.036,0.032,0.2,0.007
19,47,,0.035,0.035,0.2,0.008
20,48,,0.030,0.042,0.3,0.008
21,46,,0.031,0.037,0.2,0.009
22,55,,0.016,0.060,0.3,0.010
23,54,,0.010,0.070,0.3,0.008
0,50,,0.013,0.066,0.3,0.008
1,54,,0.013,0.065,0.3,0.009
2,58,,0.019,0.054,0.3,0.009
3,55,,0.025,0.039,0.3,0.009
4,57,,0.022,0.043,0.4,0.008
5,56,,0.012,0.059,0.4,0.008
6,61,,0.012,0.058,0.4,0.008
7,56,,0.016,0.050,0.4,0.007
8,63,,0.009,0.062,0.4,0.008
9,62,,0.005,0.068,0.5,0.008
10,64,,0.011,0.060,0.5,0.009
11,55,,0.010,0.064,0.5,0.009
12,61,,0.007,0.066,0.6,0.007
13,66,,0.006,0.073,0.7,0.007
14,72,,0.009,0.073,0.7,0.008
15,81,,0.011,0.070,0.6,0.008
16,74,,0.017,0.050,0.4,0.008
17,55,,0.017,0.041,0.4,0.007
18,53,,0.018,0.035,0.3,0.006
19,46,,0.016,0.037,0.3,0.006
20,48,,0.020,0.031,0.2,0.006
21,42,,0.022,0.029,0.2,0.006
22,51,,0.020,0.030,0.2,0.005
23,17,,0.022,0.025,0.1,0.005
0,8,,0.022,0.024,0.1,0.005
1,7,,0.029,0.013,0.1,0.005
2,3,,0.029,0.012,0.1,0.005
3,4,,0.029,0.010,0.1,0.005
4,6,,0.029,0.008,0.1,0.005
5,5,,0.030,0.009,0.1,0.005
6,12,,0.027,0.014,0.2,0.005
7,8,,0.020,0.024,0.3,0.005
8,17,,0.013,0.037,0.4,0.005
9,12,,0.019,0.027,0.3,0.005
10,5,,0.026,0.017,0.2,0.005
11,19,,0.021,0.024,0.2,0.005
12,26,,0.025,0.022,0.2,0.006
13,27,,0.030,0.016,0.1,0.006
14,30,,0.030,0.017,0.1,0.006
15,31,,0.031,0.016,0.1,0.005
16,31,,0.029,0.020,0.1,0.005
17,28,,0.029,0.021,0.1,0.005
18,34,,0.024,0.030,0.1,0.006
19,30,,0.025,0.030,0.1,0.005
20,26,,0.024,0.030,0.1,0.006
21,25,,0.028,0.022,0.1,0.006
22,28,,0.026,0.022,0.2,0.005
23,27,,0.017,0.038,0.2,0.006
0,29,,0.010,0.050,0.2,0.007
1,31,,0.013,0.043,0.2,0.006
2,27,,0.021,0.030,0.2,0.007
3,28,,0.023,0.026,0.2,0.007
4,27,,0.020,0.029,0.3,0.006
5,33,,0.022,0.024,0.3,0.006
6,28,,0.017,0.034,0.3,0.006
7,30,,0.011,0.049,0.3,0.007
8,30,,0.013,0.041,0.3,0.007
9,32,,0.017,0.036,0.3,0.008
10,31,,0.020,0.032,0.3,0.007
11,37,,0.023,0.030,0.2,0.007
12,39,,0.030,0.021,0.2,0.007
13,43,,0.031,0.021,0.1,0.007
14,41,,0.034,0.020,0.1,0.007
15,49,,0.034,0.018,0.2,0.007
16,52,,0.032,0.016,0.1,0.006
17,52,,0.029,0.018,0.1,0.006
18,48,,0.030,0.016,0.2,0.005
19,43,,0.030,0.016,0.2,0.005
20,40,,0.026,0.022,0.2,0.006
21,39,,0.021,0.030,0.3,0.006
22,47,,0.016,0.038,0.3,0.006
23,45,,0.022,0.024,0.2,0.005
0,37,,0.022,0.021,0.2,0.005
1,28,,0.023,0.018,0.2,0.005
2,28,,0.022,0.017,0.2,0.005
3,22,,0.023,0.013,0.2,0.006
4,23,,0.023,0.012,0.2,0.005
5,19,,0.024,0.010,0.2,0.005
6,16,,0.023,0.014,0.3,0.005
7,12,,0.022,0.015,0.3,0.005
8,14,,0.021,0.018,0.3,0.005
9,18,,0.026,0.011,0.3,0.005
10,19,,0.024,0.013,0.3,0.005
11,28,,0.029,0.011,0.2,0.005
12,28,,0.031,0.009,0.2,0.005
13,27,,0.033,0.009,0.2,0.005
14,40,,0.032,0.013,0.1,0.006
15,35,,0.033,0.015,0.1,0.006
16,40,,0.030,0.021,0.1,0.006
17,38,,0.030,0.022,0.2,0.007
18,49,,0.034,0.020,0.2,0.007
19,63,,0.033,0.024,0.3,0.008
20,68,,0.030,0.028,0.3,0.007
21,65,,0.028,0.026,0.3,0.006
22,66,,0.023,0.030,0.3,0.007
23,61,,0.022,0.030,0.3,0.007
0,69,,0.015,0.038,0.3,0.008
1,63,,0.015,0.036,0.3,0.008
2,59,,0.018,0.031,0.3,0.008
3,58,,0.019,0.028,0.4,0.008
4,59,,0.021,0.025,0.4,0.008
5,56,,0.015,0.032,0.4,0.008
6,54,,0.012,0.038,0.4,0.008
7,58,,0.004,0.054,0.5,0.007
8,64,,0.004,0.064,0.7,0.008
9,72,,0.006,0.064,0.7,0.009
10,73,,0.010,0.059,0.6,0.011
11,67,,0.015,0.054,0.5,0.011
12,82,,0.025,0.037,0.4,0.012
13,87,,0.032,0.032,0.4,0.011
14,82,,0.035,0.029,0.4,0.010
15,73,,0.031,0.034,0.4,0.010
16,77,,0.033,0.036,0.4,0.010
17,77,,0.033,0.038,0.4,0.010
18,81,,0.029,0.044,0.5,0.010
19,74,,0.032,0.036,0.4,0.009
20,54,,0.026,0.036,0.3,0.007
21,36,,0.018,0.044,0.3,0.007
22,41,,0.016,0.046,0.3,0.007
23,38,,0.014,0.048,0.3,0.007
0,36,,0.012,0.051,0.3,0.008
1,39,,0.015,0.043,0.3,0.008
2,37,,0.022,0.032,0.2,0.007
3,34,,0.024,0.027,0.2,0.007
4,34,,0.022,0.028,0.2,0.007
5,34,,0.011,0.041,0.3,0.007
6,37,,0.004,0.053,0.4,0.007
7,38,,0.003,0.059,0.5,0.007
8,38,,0.004,0.060,0.5,0.008
9,42,,0.007,0.059,0.4,0.009
