날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,36,22,0.029,0.020,0.7,0.006
2,31,17,0.029,0.019,0.7,0.006
3,26,10,0.031,0.017,0.7,0.006
4,26,14,0.032,0.015,0.7,0.006
5,26,12,0.029,0.018,0.7,0.006
6,26,13,0.023,0.025,0.8,0.006
7,28,8,0.019,0.029,0.8,0.006
8,27,13,0.018,0.031,0.8,0.006
9,25,13,0.019,0.032,0.8,0.006
10,22,6,0.031,0.019,0.7,0.006
11,32,13,0.031,0.020,0.7,0.007
12,33,15,0.031,0.020,0.7,0.008
13,37,26,0.035,0.018,0.7,0.007
14,40,30,0.034,0.021,0.6,0.007
15,46,26,0.034,0.023,0.6,0.008
16,48,25,0.036,0.021,0.6,0.007
17,44,23,0.035,0.022,0.6,0.007
18,40,26,0.032,0.025,0.6,0.007
19,37,19,0.027,0.028,0.6,0.006
20,26,14,0.021,0.034,0.6,0.006
21,20,8,0.018,0.035,0.6,0.006
22,28,7,0.023,0.029,0.6,0.006
23,22,9,0.008,0.048,0.6,0.006
0,31,9,0.008,0.049,0.7,0.007
1,30,21,0.011,0.041,0.7,0.006
2,24,11,0.011,0.040,0.7,0.006
3,26,14,0.013,0.035,0.7,0.006
4,26,12,0.016,0.031,0.7,0.006
5,24,15,0.017,0.029,0.7,0.007
6,24,11,0.008,0.041,0.7,0.007
7,24,13,0.004,0.049,0.9,0.007
8,27,12,0.003,0.056,0.9,0.007
9,30,11,0.003,0.057,0.9,0.008
10,37,16,0.004,0.059,1.1,0.008
11,46,24,0.005,0.058,1.0,0.008
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,69,33,0.030,0.045,0.3,0.007
19,69,31,0.018,0.058,0.3,0.007
20,85,31,0.004,0.077,0.5,0.007
21,103,38,0.003,0.072,0.5,0.007
22,97,39,0.002,0.079,0.6,0.007
23,91,39,0.002,0.086,0.8,0.007
0,90,40,0.002,0.077,0.7,0.007
1,87,45,0.002,0.072,0.7,0.007
2,82,57,0.002,0.066,0.6,0.007
3,76,44,0.006,0.061,0.5,0.007
4,69,42,0.005,0.061,0.5,0.007
5,70,36,0.010,0.054,0.4,0.007
6,68,37,0.008,0.057,0.4,0.006
7,63,35,0.005,0.061,0.4,0.007
8,65,27,0.006,0.066,0.6,0.007
9,65,35,0.005,0.071,0.7,0.007
10,90,30,0.011,0.061,0.6,0.008
11,87,31,0.014,0.060,0.6,0.008
12,77,28,0.014,0.064,0.6,0.008
13,74,29,0.020,0.056,0.5,0.008
14,72,25,0.025,0.048,0.4,0.007
15,66,24,0.028,0.046,0.3,0.007
16,52,16,0.029,0.044,0.3,0.007
17,57,24,0.023,0.051,0.3,0.007
18,64,27,0.015,0.062,0.4,0.007
19,69,23,0.009,0.070,0.5,0.007
20,55,31,0.010,0.062,0.4,0.006
21,63,21,0.014,0.050,0.4,0.006
22,54,20,0.011,0.048,0.3,0.006
23,47,15,0.011,0.045,0.2,0.006
0,44,11,0.007,0.048,0.3,0.006
1,45,17,0.007,0.043,0.3,0.006
2,27,18,0.008,0.037,0.3,0.006
3,24,17,0.010,0.034,0.4,0.006
4,19,16,0.013,0.029,0.4,0.006
5,20,18,0.014,0.027,0.3,0.006
6,21,15,0.010,0.033,0.3,0.005
7,24,12,0.004,0.044,0.3,0.006
8,30,19,0.020,0.020,0.4,0.007
9,29,20,0.023,0.019,0.4,0.008
10,38,13,0.020,0.024,0.5,0.008
11,47,19,0.019,0.027,0.6,0.009
12,39,17,0.016,0.030,0.5,0.009
13,35,18,0.016,0.030,0.5,0.008
14,32,22,0.016,0.031,0.5,0.007
15,29,18,0.013,0.033,0.4,0.008
16,12,7,0.019,0.027,0.3,0.007
17,10,7,0.014,0.034,0.4,0.007
18,11,6,0.016,0.030,0.3,0.008
19,15,7,0.017,0.027,0.3,0.008
20,19,5,0.015,0.029,0.3,0.008
21,9,7,0.014,0.027,0.3,0.007
22,14,8,0.010,0.031,0.4,0.007
23,19,7,0.003,0.037,0.4,0.007
0,15,9,0.007,0.033,0.4,0.007
1,23,8,0.005,0.033,0.4,0.008
2,16,7,0.007,0.034,0.5,0.008
3,21,9,0.020,0.017,0.4,0.007
4,24,6,0.022,0.012,0.4,0.007
5,35,13,0.027,0.013,0.4,0.007
6,42,15,0.028,0.013,0.4,0.007
