날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,70,34,0.036,0.020,0.5,0.003
2,48,23,0.040,0.012,0.4,0.003
3,53,32,0.032,0.016,0.5,0.003
4,63,41,0.027,0.017,0.5,0.003
5,65,44,0.026,0.017,0.6,0.003
6,60,42,0.021,0.022,0.6,0.003
7,73,54,0.012,0.031,0.6,0.003
8,72,55,0.017,0.029,0.6,0.003
9,70,56,0.020,0.032,0.6,0.004
10,57,42,0.035,0.027,0.6,0.003
11,44,35,0.050,0.020,0.5,0.003
12,47,35,0.044,0.022,0.5,0.003
13,58,40,0.046,0.017,0.5,0.003
14,58,41,0.057,0.014,0.5,0.003
15,57,43,0.060,0.013,0.5,0.003
16,50,34,0.063,0.014,0.5,0.003
17,52,36,0.059,0.017,0.5,0.003
18,47,33,0.056,0.018,0.5,0.003
19,48,36,0.054,0.019,0.5,0.003
20,46,34,0.051,0.018,0.5,0.003
21,46,34,0.040,0.025,0.5,0.002
22,47,34,0.023,0.040,0.6,0.003
23,54,39,0.013,0.052,0.7,0.003
0,61,44,0.005,0.059,0.8,0.003
1,75,54,0.007,0.052,0.8,0.003
2,64,49,0.021,0.026,0.6,0.003
3,68,50,0.024,0.018,0.6,0.003
4,63,49,0.016,0.023,0.6,0.003
5,69,53,0.020,0.021,0.6,0.003
6,64,50,0.014,0.027,0.6,0.003
7,69,55,0.013,0.031,0.6,0.002
8,64,49,0.013,0.035,0.6,0.003
9,56,44,0.015,0.039,0.6,0.002
10,49,39,0.019,0.033,0.5,0.003
11,44,36,0.017,0.037,0.6,0.002
12,42,32,0.016,0.036,0.6,0.002
13,42,33,0.010,0.041,0.7,0.002
14,30,24,0.015,0.037,0.6,0.003
15,36,32,0.021,0.040,0.6,0.003
16,40,31,0.038,0.024,0.4,0.003
17,24,17,0.030,0.031,0.6,0.003
18,33,24,0.023,0.034,0.6,0.002
19,28,17,0.029,0.025,0.5,0.002
20,16,13,0.041,0.015,0.5,0.002
21,9,9,0.037,0.018,0.4,0.002
22,6,5,0.034,0.022,0.4,0.002
23,7,4,0.040,0.015,0.4,0.002
0,3,2,0.046,0.007,0.4,0.002
1,3,1,0.046,0.007,0.4,0.002
2,3,2,0.040,0.012,0.4,0.002
3,4,2,0.040,0.012,0.4,0.002
4,3,2,0.035,0.014,0.4,0.002
5,4,2,0.028,0.019,0.4,0.002
6,9,5,0.029,0.022,0.4,0.002
7,24,12,0.020,0.035,0.5,0.002
8,36,14,0.011,0.046,0.6,0.003
9,47,14,0.027,0.029,0.5,0.003
10,42,14,0.044,0.016,0.4,0.002
11,35,16,0.044,0.017,0.4,0.002
12,32,16,0.041,0.021,0.4,0.002
13,37,17,0.045,0.017,0.4,0.003
14,33,16,0.043,0.019,0.4,0.002
15,26,14,0.039,0.018,0.4,0.002
16,12,7,0.043,0.016,0.4,0.002
17,15,11,0.041,0.018,0.4,0.002
18,19,14,0.042,0.021,0.4,0.002
19,26,17,0.033,0.032,0.3,0.002
20,29,21,0.033,0.035,0.4,0.002
21,30,23,0.028,0.038,0.4,0.003
22,30,22,0.016,0.048,0.4,0.003
23,34,20,0.030,0.038,0.5,0.002
0,33,21,0.025,0.045,0.5,0.002
1,36,20,0.037,0.032,0.5,0.003
2,35,19,0.037,0.028,0.5,0.003
3,35,20,0.033,0.028,0.5,0.003
4,37,19,0.029,0.027,0.5,0.003
5,35,17,0.033,0.021,0.4,0.002
6,31,14,0.028,0.028,0.4,0.002
