날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,10,,0.019,0.018,0.8,0.005
2,16,,0.028,0.012,0.8,0.005
3,22,,0.026,0.009,0.9,0.006
4,21,,0.029,0.008,0.8,0.006
5,23,,0.032,0.009,0.6,0.006
6,22,,0.032,0.010,0.5,0.006
7,23,,0.027,0.014,0.6,0.006
8,20,,0.019,0.021,0.6,0.006
9,31,,0.018,0.021,0.7,0.006
10,34,,0.019,0.018,0.7,0.005
11,44,,0.022,0.013,0.7,0.005
12,62,,0.023,0.013,0.7,0.006
13,80,,0.026,0.010,0.7,0.006
14,104,,0.027,0.010,0.7,0.005
15,,,0.027,0.010,0.7,0.005
16,55,,0.027,0.012,0.8,0.005
17,32,,0.026,0.013,0.8,0.005
18,39,,0.023,0.015,0.9,0.006
19,51,,0.026,0.013,0.9,0.006
20,51,,0.027,0.012,0.9,0.006
21,55,,0.025,0.013,1.0,0.006
22,59,,0.026,0.012,1.0,0.006
23,61,,0.024,0.013,1.0,0.006
0,75,,0.025,0.011,1.0,0.006
1,85,,0.025,0.010,1.0,0.006
2,109,,0.027,0.008,1.1,0.006
3,156,,0.029,0.007,1.0,0.005
4,186,,0.030,0.006,1.0,0.005
5,187,,0.028,0.008,1.1,0.005
6,198,,0.024,0.011,1.1,0.005
7,180,,0.021,0.013,1.1,0.005
8,141,,0.019,0.015,1.2,0.005
9,122,,0.015,0.019,1.2,0.006
10,115,,0.021,0.014,1.2,0.006
11,87,,0.023,0.012,1.2,0.006
12,,,,,,
13,,,,,,
14,65,,0.017,0.013,0.3,0.006
15,52,,0.020,0.014,0.3,0.006
16,43,,0.021,0.014,0.2,0.006
17,35,,0.018,0.018,0.3,0.006
18,32,,0.017,0.019,0.3,0.006
19,32,,0.012,0.023,0.3,0.006
20,35,,0.011,0.024,0.3,0.006
21,33,,0.008,0.026,0.3,0.006
22,28,,0.004,0.031,0.3,0.006
23,22,,0.003,0.033,0.4,0.007
0,30,,0.003,0.036,0.4,0.007
1,27,,0.005,0.033,0.4,0.007
2,34,,0.010,0.025,0.3,0.006
3,15,,0.007,0.028,0.3,0.005
4,20,,0.014,0.021,0.3,0.006
5,16,,0.024,0.011,0.2,0.006
6,13,,0.018,0.017,0.3,0.006
7,19,,0.009,0.026,0.4,0.006
8,20,,0.005,0.032,0.4,0.006
9,25,,0.004,0.041,0.7,0.007
10,25,,0.007,0.034,0.5,0.007
11,29,,0.014,0.026,0.3,0.007
12,31,,0.016,0.022,0.3,0.006
13,27,,0.020,0.019,0.3,0.006
14,21,,0.016,0.023,0.3,0.007
15,26,,0.016,0.024,0.3,0.007
16,28,,0.019,0.021,0.3,0.007
17,25,,0.015,0.025,0.3,0.007
18,31,,0.008,0.031,0.4,0.007
19,25,,0.010,0.030,0.3,0.007
20,25,,0.013,0.027,0.3,0.006
21,34,,0.014,0.026,0.3,0.006
22,28,,0.018,0.022,0.3,0.006
23,28,,0.021,0.019,0.3,0.006
0,23,,0.020,0.021,0.3,0.006
1,20,,0.023,0.017,0.2,0.006
2,26,,0.024,0.014,0.3,0.007
3,22,,0.030,0.009,0.2,0.007
4,28,,0.029,0.009,0.2,0.007
5,30,,0.028,0.010,0.2,0.007
6,36,,0.017,0.020,0.3,0.007
7,33,,0.004,0.033,0.4,0.007
8,41,,0.004,0.039,0.4,0.007
9,48,,0.006,0.036,0.5,0.007
10,50,,0.015,0.025,0.3,0.007
11,50,,0.023,0.016,0.2,0.007
12,44,,0.021,0.018,0.2,0.007
13,44,,0.019,0.020,0.3,0.007
14,52,,0.020,0.020,0.3,0.007
