날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,44,7,0.022,0.011,0.6,0.006
2,57,10,0.022,0.010,0.6,0.006
3,76,10,0.021,0.010,0.6,0.006
4,86,11,0.022,0.009,0.6,0.006
5,106,12,0.021,0.009,0.5,0.006
6,128,18,0.020,0.009,0.6,0.006
7,139,19,0.019,0.011,0.6,0.006
8,132,16,0.018,0.011,0.6,0.006
9,121,14,0.017,0.011,0.6,0.006
10,94,16,0.020,0.010,0.6,0.006
11,80,14,0.022,0.009,0.6,0.006
12,61,8,0.023,0.010,0.6,0.006
13,48,8,0.024,0.010,0.6,0.006
14,39,20,0.025,0.010,0.5,0.005
15,42,8,0.026,0.010,0.5,0.006
16,36,7,0.025,0.011,0.5,0.006
17,40,4,0.023,0.013,0.6,0.006
18,38,11,0.022,0.013,0.6,0.006
19,36,8,0.019,0.015,0.6,0.005
20,33,7,0.019,0.015,0.6,0.005
21,34,6,0.017,0.016,0.6,0.006
22,35,13,0.019,0.015,0.6,0.006
23,29,7,0.022,0.013,0.6,0.006
0,21,9,0.021,0.013,0.6,0.006
1,25,9,0.020,0.014,0.6,0.006
2,24,9,0.023,0.011,0.6,0.006
3,22,8,0.023,0.011,0.6,0.006
4,23,10,0.022,0.012,0.6,0.006
5,20,6,0.015,0.017,0.6,0.006
6,26,8,0.014,0.017,0.7,0.006
7,24,14,0.011,0.019,0.7,0.006
8,27,8,0.004,0.027,0.8,0.006
9,26,10,0.005,0.028,0.8,0.006
10,25,7,0.010,0.022,0.7,0.007
11,28,13,0.016,0.017,0.7,0.007
12,27,11,0.013,0.021,0.8,0.007
13,29,9,0.022,0.014,0.7,0.007
14,31,13,0.025,0.013,0.7,0.007
15,35,9,0.025,0.014,0.7,0.007
16,28,9,0.025,0.014,0.6,0.007
17,31,8,0.025,0.015,0.7,0.007
18,30,12,0.021,0.017,0.7,0.007
19,31,9,0.019,0.018,0.7,0.007
20,33,11,0.017,0.020,0.7,0.007
21,44,11,0.014,0.021,0.7,0.007
22,32,14,0.013,0.020,0.8,0.007
23,34,16,0.015,0.019,0.8,0.008
0,35,13,0.012,0.021,0.8,0.008
1,37,16,0.010,0.023,0.8,0.008
2,32,14,0.007,0.025,0.9,0.008
3,38,18,0.005,0.026,0.9,0.007
4,34,16,0.003,0.029,1.0,0.007
5,31,15,0.004,0.027,1.0,0.007
6,27,12,0.003,0.030,1.0,0.007
7,35,12,0.003,0.033,1.1,0.007
8,36,16,0.003,0.037,1.2,0.007
9,40,17,0.003,0.043,1.5,0.008
10,43,19,0.004,0.043,1.6,0.009
11,54,25,0.004,0.041,1.4,0.009
12,43,22,0.005,0.038,1.3,0.009
13,39,18,0.007,0.036,1.1,0.010
14,43,25,0.007,0.037,1.1,0.010
15,45,19,0.006,0.036,1.0,0.009
16,34,14,0.006,0.034,0.9,0.008
17,32,12,0.008,0.031,0.8,0.008
18,26,14,0.008,0.030,0.8,0.008
19,25,10,0.007,0.031,0.9,0.008
20,25,14,0.003,0.035,1.0,0.008
21,42,14,0.004,0.032,0.9,0.008
22,32,21,0.005,0.030,0.8,0.007
23,34,13,0.003,0.034,0.9,0.007
0,31,18,0.003,0.034,1.0,0.008
1,35,16,0.003,0.033,0.9,0.008
2,26,10,0.002,0.034,1.0,0.008
3,31,19,0.002,0.034,1.0,0.008
4,36,18,0.002,0.032,1.0,0.007
5,32,18,0.003,0.031,1.0,0.007
6,33,16,0.003,0.031,1.0,0.007
7,33,16,0.003,0.029,0.9,0.007
8,33,21,0.002,0.031,1.0,0.007
9,35,11,0.003,0.030,1.0,0.007
10,33,17,0.004,0.030,1.0,0.007
11,32,15,0.006,0.031,1.0,0.007
12,34,16,0.005,0.032,1.1,0.008
13,36,18,0.006,0.033,1.1,0.008
14,31,18,0.005,0.036,1.2,0.009
15,43,13,0.007,0.036,1.1,0.008
