날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,30,22,0.008,0.046,0.7,0.003
2,29,19,0.015,0.028,0.5,0.003
3,23,13,0.022,0.016,0.4,0.003
4,20,11,0.022,0.016,0.4,0.002
5,21,11,0.020,0.018,0.4,0.002
6,20,11,0.010,0.029,0.5,0.002
7,24,14,0.006,0.032,0.5,0.002
8,22,12,0.007,0.033,0.5,0.003
9,17,10,0.013,0.030,0.5,0.003
10,12,3,0.017,0.027,0.4,0.002
11,17,4,0.022,0.026,0.4,0.002
12,,5,0.027,0.022,0.4,0.003
13,14,7,0.036,0.017,0.3,0.003
14,15,9,0.046,0.013,0.3,0.003
15,18,10,0.049,0.021,0.4,0.002
16,23,13,0.064,0.033,0.5,0.002
17,27,15,0.073,0.024,0.4,0.003
18,26,15,0.061,0.018,0.4,0.003
19,24,12,0.043,0.015,0.3,0.003
20,27,14,0.034,0.015,0.4,0.003
21,24,13,0.030,0.017,0.4,0.003
22,24,12,0.015,0.030,0.5,0.003
23,22,11,0.009,0.035,0.5,0.003
0,22,13,0.002,0.043,0.5,0.003
1,24,12,0.002,0.042,0.6,0.003
2,22,13,0.002,0.039,0.6,0.003
3,23,12,0.002,0.037,0.6,0.003
4,23,13,0.002,0.035,0.6,0.003
5,24,15,0.003,0.031,0.5,0.003
6,18,11,0.006,0.027,0.4,0.003
7,19,10,0.007,0.025,0.4,0.003
8,15,8,0.011,0.022,0.4,0.003
9,16,6,0.012,0.024,0.4,0.003
10,9,3,0.019,0.023,0.4,0.002
11,12,4,0.021,0.024,0.4,0.003
12,15,7,0.024,0.027,0.4,0.003
13,14,7,0.032,0.022,0.4,0.003
14,17,10,0.037,0.025,0.3,0.003
15,20,12,0.048,0.025,0.4,0.003
16,18,11,0.045,0.031,0.4,0.003
17,19,12,0.059,0.019,0.3,0.003
18,24,14,0.069,0.028,0.4,0.005
19,41,26,0.082,0.033,0.4,0.012
20,40,28,0.074,0.034,0.5,
21,38,25,0.066,0.030,0.5,0.005
22,37,26,0.050,0.037,0.5,0.004
23,32,23,0.047,0.027,0.5,0.003
0,25,17,0.053,0.019,0.4,0.003
1,26,18,0.035,0.029,0.4,0.003
2,26,18,0.012,0.044,0.5,0.003
3,28,18,0.009,0.038,0.6,0.003
4,25,17,0.011,0.031,0.5,0.003
5,22,14,0.015,0.021,0.4,0.002
6,16,11,0.011,0.023,0.4,0.003
7,16,11,0.014,0.021,0.4,0.002
8,15,10,0.013,0.023,0.4,0.003
9,17,12,0.020,0.023,0.4,0.003
10,16,8,0.030,0.024,0.5,0.003
11,20,11,0.029,0.030,0.5,0.003
12,20,11,0.042,0.028,0.4,0.003
13,22,14,0.051,0.027,0.4,0.003
14,27,17,0.061,0.022,0.4,0.003
15,32,20,0.073,0.018,0.4,0.003
16,29,16,0.081,0.015,0.4,0.003
17,23,15,0.084,0.018,0.4,0.003
18,42,26,0.085,0.027,0.4,0.008
19,46,30,0.082,0.025,0.5,0.009
20,42,30,0.068,0.027,0.5,
21,44,30,0.063,0.028,0.5,0.005
22,43,31,0.057,0.028,0.5,0.004
23,46,32,0.046,0.037,0.5,0.004
0,40,30,0.035,0.043,0.5,0.003
1,43,31,0.025,0.052,0.6,0.003
2,38,29,0.040,0.030,0.5,0.003
3,39,32,0.036,0.028,0.5,0.003
4,40,30,0.026,0.032,0.6,0.003
5,40,30,0.024,0.028,0.6,0.003
6,30,22,0.022,0.026,0.4,0.003
7,24,16,0.017,0.032,0.4,0.003
8,23,17,0.010,0.039,0.5,0.002
9,24,15,0.013,0.039,0.5,0.003
