날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,22,14,0.028,0.016,0.4,0.004
2,18,11,0.027,0.015,0.4,0.004
3,18,13,0.030,0.011,0.4,0.004
4,18,11,0.033,0.008,0.4,0.004
5,18,9,0.033,0.008,0.4,0.004
6,17,10,0.027,0.014,0.4,0.004
7,16,10,0.020,0.021,0.4,0.004
8,18,10,0.006,0.039,0.5,0.004
9,19,11,0.006,0.043,0.6,0.004
10,20,11,0.005,0.047,0.8,0.004
11,27,14,0.006,0.049,0.7,0.005
12,25,14,0.008,0.046,0.6,0.004
13,22,10,0.014,0.036,0.5,0.004
14,23,14,0.015,0.037,0.5,0.004
15,29,18,0.014,0.038,0.5,0.005
16,22,12,0.016,0.033,0.4,0.005
17,20,10,0.014,0.033,0.4,0.004
18,20,11,0.005,0.044,0.4,0.004
19,22,13,0.002,0.048,0.6,0.004
20,24,16,0.002,0.049,0.6,0.004
21,22,17,0.002,0.049,0.6,0.004
22,23,16,0.001,0.052,0.7,0.004
23,25,17,0.002,0.053,0.7,0.004
0,26,18,0.002,0.056,0.8,0.004
1,29,20,0.002,0.055,0.9,0.004
2,29,20,0.002,0.051,0.9,0.004
3,27,19,0.002,0.045,0.8,0.004
4,32,22,0.002,0.046,0.8,0.004
5,36,27,0.002,0.043,0.7,0.004
6,33,22,0.002,0.044,0.8,0.004
7,34,24,0.002,0.045,0.8,0.004
8,31,22,0.002,0.050,0.9,0.004
9,34,22,0.002,0.049,0.9,0.004
10,36,24,0.003,0.052,1.0,0.005
11,45,32,0.004,0.055,1.0,0.005
12,37,26,0.005,0.048,0.7,0.005
13,34,23,0.006,0.047,0.7,0.005
14,37,25,0.008,0.044,0.6,0.004
15,33,23,0.013,0.036,0.5,0.005
16,34,21,0.016,0.035,0.5,0.005
17,37,25,0.014,0.038,0.5,0.006
18,36,25,0.008,0.044,0.6,0.007
19,38,26,0.003,0.050,0.6,0.006
20,38,25,0.002,0.048,0.6,0.005
21,38,28,0.002,0.049,0.7,0.005
22,40,27,0.002,0.048,0.7,0.005
23,41,27,0.002,0.048,0.6,0.005
0,40,28,0.001,0.050,0.8,0.005
1,43,29,0.001,0.050,0.8,0.005
2,39,28,0.002,0.047,0.7,0.004
3,38,27,0.001,0.048,0.8,0.004
4,37,26,0.001,0.047,0.8,0.004
5,37,28,0.001,0.044,0.8,0.004
6,34,25,0.001,0.046,0.8,0.004
7,38,28,0.002,0.042,0.7,0.004
8,31,25,0.001,0.042,0.7,0.004
9,32,25,0.002,0.042,0.7,0.004
10,33,27,0.003,0.043,0.8,0.004
11,38,32,0.003,0.045,0.8,0.004
12,39,30,0.004,0.043,0.8,0.004
13,45,34,0.004,0.047,0.9,0.004
14,49,38,0.005,0.045,0.9,0.004
15,57,43,0.005,0.047,0.8,0.005
16,58,44,0.003,0.051,0.8,0.005
17,63,47,0.002,0.051,0.8,0.004
18,56,44,0.002,0.051,0.8,0.004
19,63,45,0.002,0.052,1.0,0.004
20,62,46,0.002,0.053,1.1,0.004
21,65,53,0.001,0.054,1.1,0.005
22,65,49,0.002,0.055,1.1,0.005
23,65,51,0.001,0.053,1.1,0.004
0,63,48,0.001,0.051,1.0,0.004
1,67,53,0.001,0.048,1.0,0.004
2,65,51,0.002,0.051,1.1,0.004
3,79,60,0.006,0.042,0.9,0.004
4,90,68,0.015,0.023,0.8,0.004
5,93,72,0.014,0.022,0.8,0.004
6,76,60,0.014,0.023,0.8,0.004
7,70,56,0.012,0.026,0.8,0.004
8,54,38,0.010,0.027,0.7,0.004
9,41,28,0.011,0.027,0.6,0.005
10,28,19,0.018,0.021,0.5,0.005
11,28,19,0.021,0.017,0.4,0.004
