날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,7,4,0.023,0.029,0.6,0.003
2,6,4,0.015,0.036,0.6,0.003
3,10,7,0.026,0.024,0.5,0.003
4,8,7,0.028,0.022,0.5,0.003
5,9,7,0.026,0.023,0.6,0.002
6,15,12,0.028,0.021,0.6,0.003
7,37,26,0.030,0.018,0.9,0.003
8,45,35,0.025,0.021,0.8,0.003
9,36,28,0.026,0.024,0.6,0.003
10,51,39,0.036,0.017,0.5,0.003
11,52,39,0.041,0.014,0.5,0.003
12,49,37,0.041,0.014,0.5,0.004
13,46,35,0.044,0.012,0.4,0.003
14,41,29,0.045,0.011,0.4,0.003
15,42,27,0.045,0.012,0.4,0.003
16,39,29,0.047,0.011,0.4,0.003
17,40,29,0.048,0.011,0.4,0.003
18,41,31,0.045,0.014,0.4,0.003
19,43,32,0.043,0.014,0.5,0.003
20,42,31,0.041,0.015,0.5,0.002
21,43,31,0.044,0.013,0.5,0.003
22,44,32,0.046,0.012,0.5,0.003
23,42,32,0.046,0.012,0.5,0.003
0,45,32,0.045,0.011,0.5,0.002
1,44,30,0.045,0.009,0.5,0.003
2,42,28,0.044,0.008,0.4,0.003
3,43,28,0.043,0.008,0.4,0.003
4,46,24,0.042,0.008,0.4,0.003
5,53,24,0.040,0.009,0.4,0.003
6,54,20,0.036,0.013,0.4,0.003
7,59,20,0.025,0.023,0.5,0.003
8,69,22,0.013,0.037,0.6,0.003
9,63,21,0.014,0.038,0.6,0.003
10,58,22,0.013,0.040,0.6,0.003
11,65,25,0.013,0.044,0.7,0.003
12,66,24,0.017,0.040,0.6,0.003
13,61,26,0.020,0.036,0.5,0.003
14,62,27,0.018,0.044,0.5,0.006
15,76,33,0.022,0.042,0.6,0.006
16,64,26,0.023,0.041,0.5,0.006
17,60,24,0.020,0.043,0.5,0.005
18,57,22,0.013,0.049,0.5,0.005
19,54,22,0.007,0.056,0.5,0.006
20,52,18,0.003,0.056,0.5,0.005
21,54,18,0.003,0.056,0.6,0.004
22,54,21,0.002,0.057,0.6,0.004
23,56,23,0.002,0.056,0.7,0.004
0,53,22,0.002,0.061,0.8,0.004
1,55,26,0.002,0.059,0.8,0.004
2,52,22,0.002,0.056,0.7,0.004
3,51,23,0.002,0.056,0.8,0.004
4,58,27,0.002,0.056,0.8,0.005
5,66,31,0.002,0.053,0.7,0.005
6,61,28,0.002,0.056,0.8,0.005
7,64,34,0.002,0.058,0.9,0.005
8,60,29,0.003,0.056,0.8,0.005
9,61,34,0.005,0.052,0.8,0.005
10,57,34,0.008,0.052,0.8,0.005
11,62,39,0.010,0.051,0.8,0.006
12,53,31,0.016,0.046,0.6,0.004
13,48,29,0.019,0.042,0.6,0.004
