날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,31,16,0.003,0.039,0.5,0.003
2,27,14,0.003,0.037,0.5,0.003
3,29,13,0.011,0.026,0.5,0.003
4,27,15,0.012,0.024,0.5,0.003
5,25,14,0.004,0.029,0.5,0.002
6,25,14,0.002,0.033,0.6,0.003
7,26,16,0.002,0.037,0.7,0.003
8,28,17,0.002,0.040,0.9,0.004
9,37,20,0.003,0.051,1.0,0.004
10,44,25,0.004,0.053,1.1,0.005
11,52,33,0.005,0.052,0.9,0.004
12,38,22,0.008,0.048,0.7,0.004
13,31,14,0.023,0.024,0.4,0.004
14,26,15,0.030,0.021,0.4,0.004
15,27,17,0.042,0.015,0.4,0.003
16,23,14,0.044,0.014,0.4,0.003
17,24,14,0.044,0.015,0.4,0.003
18,26,16,0.031,0.026,0.5,0.003
19,29,17,0.007,0.049,0.6,0.003
20,32,19,0.004,0.053,0.7,0.003
21,33,20,0.005,0.051,0.6,0.004
22,33,20,0.004,0.061,0.8,0.004
23,34,21,0.002,0.058,0.9,0.004
0,31,19,0.002,0.053,0.8,0.004
1,37,22,0.002,0.060,1.0,0.004
2,44,25,0.002,0.058,1.0,0.004
3,38,26,0.002,0.055,1.0,0.004
4,35,23,0.002,0.052,0.9,0.004
5,35,23,0.002,0.048,0.9,0.004
6,33,22,0.002,0.047,0.9,0.004
7,34,21,0.002,0.045,0.8,0.004
8,37,24,0.002,0.047,0.9,0.004
9,40,24,0.003,0.048,0.8,0.004
10,40,24,0.005,0.047,0.9,0.004
11,47,30,0.009,0.049,0.8,0.004
12,47,30,0.011,0.051,0.8,0.005
13,45,29,0.017,0.051,0.7,0.005
14,43,29,0.024,0.044,0.6,0.004
15,40,25,0.028,0.043,0.5,0.004
16,36,21,0.024,0.046,0.5,0.004
17,40,21,0.013,0.053,0.6,0.004
18,36,20,0.007,0.057,0.5,0.004
19,39,23,0.003,0.065,0.7,0.003
20,37,20,0.002,0.063,0.6,0.004
21,49,28,0.002,0.069,0.7,0.004
22,58,35,0.002,0.068,0.8,0.005
23,55,34,0.003,0.061,0.7,0.004
0,40,26,0.004,0.058,0.7,0.004
1,41,27,0.002,0.060,0.9,0.004
2,41,26,0.002,0.060,1.0,0.004
3,43,25,0.002,0.059,1.0,0.004
4,40,27,0.002,0.054,1.0,0.004
5,41,27,0.002,0.054,1.0,0.004
6,43,28,0.002,0.051,0.9,0.004
7,46,27,0.002,0.056,0.9,0.004
8,47,30,0.002,0.052,0.9,0.004
9,47,32,0.004,0.051,0.9,0.004
