날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,52,34,0.002,0.065,0.8,0.004
2,50,32,0.002,0.060,0.8,0.004
3,52,33,0.004,0.052,0.7,0.003
4,50,32,0.012,0.039,0.6,0.003
5,48,30,0.017,0.028,0.6,0.003
6,43,29,0.016,0.031,0.5,0.003
7,42,26,0.016,0.034,0.5,0.003
8,36,25,0.016,0.035,0.5,0.003
9,36,25,0.017,0.035,0.5,0.003
10,33,22,0.026,0.028,0.5,0.003
11,34,22,0.018,0.038,0.6,0.003
12,34,21,0.016,0.042,0.6,0.004
13,37,21,0.019,0.041,0.5,0.004
14,31,20,0.025,0.036,0.5,0.004
15,30,18,0.020,0.041,0.5,0.005
16,33,21,0.013,0.053,0.6,0.005
17,33,23,0.009,0.053,0.6,0.005
18,27,17,0.007,0.052,0.6,0.004
19,26,16,0.007,0.048,0.6,0.003
20,24,16,0.014,0.036,0.5,0.003
21,24,16,0.018,0.031,0.4,0.003
22,23,16,0.019,0.025,0.4,0.003
23,22,13,0.019,0.024,0.4,0.003
0,16,12,0.020,0.022,0.4,0.002
1,14,10,0.024,0.018,0.3,0.002
2,10,8,0.029,0.014,0.3,0.003
3,9,6,0.032,0.011,0.3,0.003
4,7,5,0.029,0.013,0.3,0.002
5,9,7,0.032,0.010,0.3,0.003
6,6,5,0.029,0.013,0.3,0.003
7,11,8,0.021,0.021,0.3,0.002
8,12,9,0.015,0.026,0.4,0.003
9,15,10,0.019,0.022,0.4,0.003
10,12,6,0.023,0.024,0.4,0.003
11,12,8,0.028,0.021,0.4,0.003
12,9,5,0.040,0.015,0.3,0.003
13,11,7,0.043,0.015,0.3,0.003
14,15,11,0.043,0.020,0.3,0.003
15,16,10,0.050,0.017,0.3,0.003
16,14,8,0.053,0.014,0.3,0.003
17,13,9,0.052,0.011,0.3,0.003
18,18,10,0.045,0.012,0.3,0.003
19,28,15,0.039,0.016,0.3,0.004
20,25,15,0.017,0.039,0.4,0.003
21,37,20,0.034,0.018,0.4,0.003
