날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,
1,39,30,0.024,0.025,0.3,0.004,
2,44,38,0.027,0.019,0.2,0.004,
3,28,26,0.030,0.017,0.1,0.004,
4,18,12,0.031,0.013,0.2,0.003,
5,32,28,0.028,0.014,0.2,0.003,
6,22,19,0.020,0.024,0.1,0.003,
7,14,13,0.012,0.035,0.1,0.003,
8,20,13,0.009,0.039,0.2,0.003,
9,24,12,0.006,0.044,0.3,0.003,
10,22,13,0.006,0.044,0.3,0.003,
11,21,11,0.011,0.037,0.2,0.003,
12,20,12,0.009,0.044,0.2,0.003,
13,33,20,0.008,0.043,0.3,0.003,
14,27,16,0.005,0.050,0.4,0.003,
15,29,17,0.005,0.053,0.4,0.003,
16,24,17,0.012,0.040,0.2,0.003,
17,6,1,0.007,0.049,0.3,0.002,
18,10,9,0.005,0.049,0.3,0.002,
19,12,7,0.005,0.045,0.3,0.002,
20,13,3,0.007,0.040,0.2,0.002,
21,7,2,0.004,0.045,0.2,0.002,
22,7,4,0.002,0.049,0.4,0.003,
23,9,5,0.007,0.035,0.2,0.002,
0,8,4,0.013,0.032,0.1,0.002,
1,3,1,0.008,0.036,0.2,0.002,
2,14,12,0.013,0.023,0.1,0.002,
3,8,4,0.017,0.017,0.1,0.002,
4,10,4,0.021,0.015,0.1,0.002,
5,4,5,0.020,0.015,0.1,0.002,
6,12,5,0.024,0.013,0.1,0.002,
7,4,1,0.026,0.017,0.1,0.002,
8,3,3,0.021,0.026,0.1,0.002,
9,8,8,0.015,0.035,0.2,0.003,
10,11,7,0.019,0.033,0.1,0.003,
11,16,12,0.017,0.037,0.2,0.003,
12,11,6,0.023,0.034,0.1,0.003,
13,15,7,0.035,0.022,0.1,0.002,
14,18,12,0.035,0.027,0.1,0.003,
15,21,14,0.039,0.023,0.1,0.002,
16,17,9,0.036,0.026,0.1,0.002,
17,15,11,0.031,0.030,0.1,0.003,
18,18,11,0.039,0.024,0.1,0.003,
19,25,21,0.040,0.022,0.1,0.003,
20,22,13,0.030,0.028,0.1,0.003,
21,16,12,0.020,0.034,0.1,0.003,
22,21,9,0.022,0.029,0.1,0.003,
23,15,9,0.023,0.024,0.1,0.003,
0,16,9,0.025,0.021,0.1,0.003,
1,12,5,0.031,0.015,0.1,0.003,
2,16,12,0.035,0.011,0.1,0.003,
3,22,15,0.030,0.014,0.1,0.002,
4,23,14,0.039,0.009,0.1,0.002,
5,30,27,0.047,0.009,0.1,0.002,
6,34,25,0.044,0.015,0.2,0.003,
7,44,32,0.046,0.015,0.2,0.003,
8,51,44,0.040,0.027,0.2,0.004,
9,49,38,0.039,0.026,0.2,0.003,
10,43,33,0.035,0.032,0.2,0.003,
11,45,28,0.035,0.036,0.2,0.003,
12,51,34,0.038,0.034,0.3,0.003,
13,48,38,0.040,0.038,0.3,0.003,
14,54,37,0.037,0.042,0.3,0.003,
15,47,34,0.039,0.042,0.2,0.003,
16,47,30,0.050,0.034,0.3,0.003,
17,57,44,0.041,0.048,0.3,0.004,
18,48,34,0.039,0.046,0.3,0.004,
19,38,31,0.044,0.038,0.2,0.003,
20,44,30,0.034,0.047,0.3,0.003,
21,49,28,0.029,0.050,0.3,0.004,
22,47,30,0.003,0.072,0.4,0.003,
23,44,27,0.002,0.071,0.4,0.003,
0,45,27,0.002,0.063,0.4,0.003,
1,45,28,0.005,0.051,0.3,0.003,
2,34,30,0.010,0.044,0.3,0.003,
3,39,32,0.013,0.039,0.2,0.003,
4,34,25,0.014,0.035,0.2,0.002,
5,32,30,0.010,0.035,0.2,0.002,
6,40,27,0.009,0.035,0.2,0.002,
7,29,20,0.008,0.038,0.2,0.002,
8,29,19,0.010,0.038,0.2,0.003,
9,24,15,0.014,0.037,0.2,0.003,
10,29,15,0.012,0.041,0.3,0.003,
11,34,22,0.015,0.037,0.3,0.002,
12,,,,,,,
13,,,,,,,
14,15,10,0.019,0.040,0.5,0.002,
15,24,13,0.014,0.044,0.6,0.002,
16,17,10,0.009,0.050,0.6,0.002,
17,14,5,0.015,0.043,0.5,0.002,
18,8,4,0.012,0.047,0.5,0.002,
19,5,2,0.011,0.049,0.5,0.002,
20,9,11,0.012,0.047,0.5,0.002,
21,10,7,0.013,0.044,0.5,0.002,
22,12,2,0.015,0.040,0.4,0.002,
23,8,6,0.018,0.038,0.4,0.002,
0,6,1,0.022,0.032,0.3,0.002,
1,5,1,0.022,0.030,0.4,0.002,
2,2,2,0.028,0.020,0.3,0.002,
3,5,1,0.026,0.017,0.3,0.002,
4,6,1,0.015,0.020,0.3,0.002,
5,9,2,0.012,0.018,0.3,0.002,
6,13,6,0.008,0.019,0.3,0.002,
7,21,7,0.004,0.024,0.3,0.002,
8,13,9,0.002,0.030,0.5,0.002,
9,21,6,0.004,0.030,0.4,0.002,
10,6,5,0.006,0.039,0.4,0.002,
11,4,4,0.004,0.030,0.4,0.002,
12,15,4,0.005,0.022,0.3,0.002,
13,19,3,0.005,0.022,0.3,0.003,
14,17,5,0.005,0.024,0.3,0.002,
15,15,3,0.004,0.024,0.3,0.002,
16,18,7,0.003,0.026,0.4,0.002,
17,16,5,0.002,0.029,0.4,0.002,
18,11,9,0.005,0.028,0.3,0.002,
19,18,2,0.009,0.026,0.3,0.002,
20,15,5,0.007,0.028,0.3,0.002,
21,18,5,0.004,0.031,0.3,0.002,
22,18,3,0.003,0.038,0.5,0.002,
23,22,10,0.002,0.037,0.5,0.002,
0,18,4,0.002,0.036,0.5,0.002,
1,16,9,0.002,0.035,0.5,0.002,
2,13,12,0.002,0.032,0.4,0.002,
3,14,4,0.014,0.023,0.4,0.002,
4,15,8,0.028,0.012,0.3,0.002,
5,11,9,0.026,0.015,0.3,0.002,
6,12,6,0.023,0.018,0.3,0.003,
7,18,4,0.019,0.024,0.3,0.003,
8,18,9,0.014,0.031,0.4,0.003,
9,15,15,0.014,0.031,0.4,0.003,
10,15,5,0.015,0.029,0.3,0.002,
11,13,3,0.017,0.027,0.3,0.002,
12,16,14,0.019,0.032,0.4,0.002,
13,15,8,0.030,0.032,0.4,0.002,
14,21,11,0.042,0.025,0.3,0.002,
15,22,16,0.042,0.024,0.4,0.003,
16,18,12,0.042,0.028,0.3,0.003,
17,19,11,0.034,0.034,0.3,0.006,
18,21,8,0.025,0.039,0.4,0.008,
19,17,17,0.023,0.040,0.4,0.004,
20,32,15,0.014,0.047,0.3,0.003,
21,13,8,0.006,0.050,0.3,0.003,
22,14,4,0.005,0.048,0.3,0.003,
23,14,7,0.004,0.047,0.4,0.004,
0,20,7,0.003,0.046,0.4,0.004,
1,22,20,0.005,0.040,0.4,0.007,
2,17,16,0.006,0.038,0.4,0.006,
3,20,13,0.013,0.027,0.4,0.004,
4,15,9,0.011,0.027,0.4,0.004,
5,18,11,0.007,0.032,0.4,0.006,
6,17,11,0.003,0.036,0.4,0.007,
7,18,9,0.003,0.039,0.5,0.007,
8,21,16,0.005,0.038,0.6,0.006,
9,34,19,0.006,0.042,0.6,0.009,
10,31,17,0.007,0.045,0.6,0.009,
11,32,22,0.006,0.052,0.6,0.009,
12,38,20,0.010,0.054,0.6,0.008,
13,28,16,0.014,0.057,0.6,0.007,
14,33,24,0.032,0.050,0.5,0.005,
15,57,30,0.052,0.054,0.5,0.005,
16,76,51,0.063,0.054,0.5,0.005,
17,75,46,0.063,0.063,0.6,0.005,
18,59,37,0.057,0.053,0.5,0.004,
19,45,34,0.042,0.052,0.5,0.004,
20,53,27,0.023,0.065,0.5,0.005,
21,67,29,0.013,0.077,0.6,0.005,
22,83,44,0.016,0.080,0.8,0.005,
23,87,49,0.019,0.074,0.7,0.004,
0,84,49,0.007,0.081,0.8,0.004,
1,63,55,0.002,0.077,0.9,0.004,
2,76,69,0.002,0.065,0.9,0.003,
3,72,55,0.002,0.060,0.9,0.003,
4,67,47,0.003,0.053,0.8,0.003,
5,67,43,0.003,0.049,0.8,0.003,
6,66,41,0.003,0.046,0.7,0.003,
7,70,44,0.006,0.048,0.7,0.004,
8,65,40,0.012,0.051,0.7,0.004,
9,56,36,0.024,0.051,0.7,0.004,
10,37,26,0.038,0.051,0.7,0.003,
11,38,32,0.055,0.042,0.6,0.003,
12,52,36,0.063,0.048,0.6,0.003,
13,58,45,0.077,0.035,0.5,0.003,
14,61,32,0.097,0.020,0.4,0.003,
15,69,41,0.100,0.020,0.4,0.002,
16,70,25,0.066,0.017,0.3,0.002,
17,36,18,0.054,0.016,0.2,0.002,
18,32,16,0.050,0.017,0.3,0.002,
19,32,22,0.047,0.020,0.3,0.002,
20,37,25,0.043,0.018,0.3,0.002,
21,46,30,0.033,0.020,0.3,0.002,
22,50,25,0.025,0.027,0.4,0.002,
23,49,22,0.013,0.039,0.5,0.002,
0,51,31,0.009,0.044,0.5,0.002,
1,54,33,0.015,0.034,0.5,0.002,
2,54,34,0.017,0.028,0.5,0.002,
3,36,32,0.018,0.023,0.5,0.002,
4,39,27,0.004,0.033,0.6,0.002,
5,42,28,0.003,0.034,0.6,0.002,
6,37,21,0.003,0.034,0.5,0.002,
7,54,29,0.005,0.036,0.6,0.002,
8,49,24,0.009,0.043,0.6,0.003,
9,59,35,0.019,0.042,0.6,0.002,
10,33,21,0.028,0.034,0.5,0.002,
11,33,19,0.042,0.021,0.4,0.002,
12,43,21,0.055,0.014,0.3,0.002,
13,39,21,0.067,0.015,0.3,0.002,
14,33,14,0.060,0.013,0.2,0.002,
15,18,15,0.050,0.013,0.2,0.002,
16,23,14,0.052,0.014,0.2,0.002,
17,34,19,0.053,0.017,0.2,0.002,
18,50,22,0.043,0.019,0.3,0.003,
19,45,24,0.032,0.025,0.3,0.003,
20,27,16,0.025,0.026,0.3,0.003,
21,23,14,0.017,0.035,0.3,0.003,
22,34,14,0.012,0.038,0.4,0.003,
23,30,12,0.009,0.036,0.4,0.003,
0,23,10,0.004,0.042,0.4,0.003,
1,22,17,0.002,0.045,0.4,0.003,
2,24,13,0.002,0.043,0.4,0.003,
3,25,14,0.002,0.040,0.5,0.003,
4,30,19,0.002,0.037,0.5,0.004,
5,25,15,0.004,0.033,0.4,0.005,
6,28,15,0.006,0.030,0.4,0.005,
7,21,16,0.005,0.031,0.4,0.004,
8,25,18,0.007,0.036,0.5,0.006,
9,29,19,0.008,0.044,0.5,0.006,
10,39,23,0.017,0.041,0.5,0.004,
11,35,22,0.030,0.033,0.4,0.004,
12,45,25,0.037,0.038,0.5,0.004,
13,41,26,0.055,0.033,0.4,0.004,
14,45,28,0.077,0.025,0.4,0.003,
15,43,26,0.095,0.021,0.4,0.003,
16,55,33,0.096,0.019,0.4,0.003,
17,58,38,0.069,0.023,0.4,0.004,
18,42,26,0.052,0.023,0.4,0.003,
19,47,26,0.047,0.020,0.3,0.003,
20,38,16,0.039,0.022,0.3,0.002,
21,42,19,0.030,0.028,0.3,0.002,
22,44,23,0.020,0.044,0.4,0.003,
23,41,16,0.016,0.044,0.4,0.004,
0,45,24,0.010,0.043,0.4,0.003,
1,43,28,0.004,0.046,0.4,0.003,
2,42,29,0.002,0.047,0.4,0.003,
3,45,28,0.002,0.043,0.5,0.003,
4,48,30,0.002,0.040,0.5,0.002,
5,44,26,0.003,0.035,0.5,0.002,
6,46,29,0.002,0.039,0.5,0.002,
7,41,32,0.002,0.048,0.7,0.003,
8,49,31,0.003,0.057,0.8,0.003,
9,55,35,0.005,0.056,0.9,0.003,
10,54,37,0.014,0.065,0.8,0.004,
11,50,33,0.031,0.056,0.7,0.005,
12,40,28,0.041,0.051,0.6,0.004,
13,52,39,0.050,0.051,0.6,0.004,
14,45,37,0.056,0.057,0.5,0.003,
15,46,30,0.094,0.041,0.4,0.003,
16,87,56,0.111,0.044,0.5,0.006,
17,97,54,0.127,0.041,0.5,0.007,
18,100,72,0.092,0.037,0.5,0.005,
19,74,37,0.073,0.031,0.4,0.004,
20,55,35,0.067,0.022,0.4,0.004,
21,64,38,0.042,0.033,0.5,0.004,
22,72,38,0.041,0.025,0.6,0.005,
23,56,53,0.042,0.025,0.5,0.005,
0,50,35,0.038,0.043,0.5,0.003,
1,63,43,0.041,0.031,0.5,0.002,
