날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,29,18,0.019,0.037,0.4,0.005
2,25,14,0.027,0.026,0.4,0.006
3,28,15,0.024,0.030,0.5,0.005
4,28,16,0.023,0.030,0.5,0.005
5,31,18,0.028,0.026,0.4,0.005
6,40,18,0.027,0.029,0.4,0.004
7,36,19,0.017,0.041,0.5,0.004
8,38,21,0.003,0.063,0.8,0.005
9,45,28,0.002,0.063,0.8,0.005
10,41,22,0.007,0.057,0.6,0.005
11,37,20,0.014,0.051,0.7,0.005
12,39,22,0.011,0.058,0.7,0.005
13,50,31,0.014,0.055,0.6,0.005
14,43,25,0.027,0.042,0.5,0.005
15,35,19,0.040,0.029,0.4,0.004
16,37,19,0.040,0.030,0.4,0.004
17,37,20,0.039,0.031,0.4,0.003
18,38,20,0.036,0.034,0.4,0.004
19,40,25,0.027,0.040,0.5,0.004
20,48,21,0.024,0.039,0.5,0.005
21,35,18,0.022,0.039,0.5,0.005
22,32,19,0.015,0.045,0.5,0.007
23,35,19,0.010,0.050,0.5,0.006
0,36,20,0.015,0.044,0.4,0.006
1,33,20,0.021,0.037,0.4,0.005
2,31,19,0.023,0.032,0.4,0.005
3,32,20,0.026,0.026,0.4,0.006
4,34,19,0.026,0.024,0.4,0.006
5,37,23,0.015,0.035,0.5,0.005
6,41,27,0.007,0.044,0.5,0.005
7,47,29,0.006,0.048,0.5,0.005
8,50,30,0.003,0.053,0.6,0.004
9,54,33,0.004,0.055,0.6,0.004
10,57,34,0.006,0.056,0.8,0.004
11,61,34,0.006,0.058,0.8,0.004
12,54,30,0.016,0.054,0.7,0.006
13,63,37,0.030,0.048,0.6,0.007
14,65,40,0.041,0.040,0.6,0.006
15,70,39,0.043,0.040,0.6,0.005
16,62,35,0.038,0.041,0.5,0.004
17,55,33,0.028,0.051,0.5,0.005
18,46,28,0.036,0.045,0.5,0.004
19,44,25,0.025,0.050,0.5,0.004
20,40,24,0.023,0.050,0.4,0.003
21,41,24,0.026,0.045,0.4,0.004
22,37,21,0.032,0.040,0.4,0.004
23,38,22,0.026,0.040,0.4,0.004
0,34,20,0.017,0.046,0.4,0.004
1,37,22,0.020,0.039,0.4,0.005
2,34,22,0.028,0.027,0.4,0.004
3,31,19,0.032,0.022,0.3,0.004
4,29,19,0.035,0.019,0.3,0.004
5,27,19,0.031,0.021,0.3,0.004
6,29,19,0.024,0.029,0.3,0.004
7,29,21,0.017,0.039,0.4,0.004
8,34,23,0.017,0.039,0.4,0.004
9,42,29,0.006,0.052,0.5,0.004
10,46,32,0.028,0.034,0.6,0.004
11,47,34,0.031,0.029,0.7,0.003
12,49,35,0.038,0.021,0.6,0.003
13,43,31,0.043,0.017,0.5,0.003
14,38,27,0.044,0.017,0.4,0.003
15,39,28,0.038,0.024,0.4,0.003
16,42,29,0.033,0.025,0.4,0.003
17,35,20,0.030,0.026,0.3,0.003
18,35,20,0.028,0.027,0.4,0.003
19,39,27,0.032,0.023,0.4,0.003
20,38,28,0.032,0.021,0.3,0.003
21,37,26,0.033,0.020,0.4,0.003
22,38,27,0.030,0.023,0.4,0.002
23,41,29,0.026,0.025,0.4,0.002
0,43,32,0.031,0.017,0.4,0.003
1,46,35,0.029,0.016,0.4,0.003
2,46,37,0.032,0.010,0.4,0.003
3,49,38,0.029,0.011,0.4,0.003
4,48,38,0.028,0.010,0.4,0.003
5,51,40,0.026,0.012,0.4,0.003
6,56,41,0.021,0.017,0.4,0.003
7,54,40,0.009,0.030,0.5,0.003
8,50,37,0.004,0.038,0.5,0.003
9,54,37,0.006,0.038,0.6,0.003
10,57,40,0.010,0.033,0.5,0.003
11,57,43,0.014,0.032,0.5,0.003
12,54,39,0.022,0.027,0.5,0.003
13,53,39,0.031,0.023,0.5,0.002
14,48,40,0.036,0.020,0.4,0.002
15,44,35,0.040,0.018,0.4,0.003
16,45,36,0.041,0.018,0.4,0.002
