날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,24,12,0.012,0.034,0.5,0.003
2,22,14,0.016,0.026,0.5,0.002
3,23,13,0.021,0.017,0.4,0.002
4,21,13,0.019,0.016,0.4,0.002
5,20,13,0.023,0.013,0.3,0.002
6,19,11,0.020,0.015,0.4,0.002
7,16,10,0.015,0.022,0.3,0.003
8,15,8,0.016,0.026,0.4,0.002
9,16,12,0.017,0.024,0.4,0.002
10,14,8,0.015,0.026,0.4,0.002
11,10,9,0.019,0.023,0.4,0.002
12,8,5,0.022,0.025,0.4,0.003
13,7,4,0.025,0.026,0.4,0.002
14,7,5,0.017,0.031,0.4,0.002
15,9,5,0.008,0.037,0.4,0.003
16,10,6,0.007,0.031,0.4,0.002
17,8,5,0.006,0.029,0.4,0.002
18,8,4,0.006,0.027,0.4,0.002
19,8,5,0.007,0.025,0.4,0.002
20,6,4,0.007,0.024,0.4,0.002
21,8,6,0.004,0.028,0.4,0.002
22,7,5,0.006,0.028,0.4,0.002
23,6,6,0.010,0.024,0.3,0.003
0,5,2,0.016,0.022,0.3,0.002
1,4,2,0.023,0.019,0.3,0.002
2,4,2,0.024,0.016,0.3,0.002
3,5,2,0.035,0.009,0.3,0.002
4,3,2,0.047,0.009,0.3,0.002
5,3,2,0.046,0.011,0.3,0.002
6,3,2,0.032,0.025,0.3,0.002
7,5,2,0.025,0.036,0.4,0.002
8,6,4,0.023,0.040,0.4,0.002
9,9,5,0.013,0.051,0.5,0.003
10,11,6,0.009,0.059,0.7,0.002
11,12,6,0.010,0.056,0.7,0.002
12,10,7,0.012,0.052,0.7,0.003
13,16,10,0.008,0.055,0.8,0.003
14,20,14,0.007,0.058,0.8,0.003
15,25,13,0.007,0.057,0.8,0.003
16,25,16,0.008,0.057,0.8,0.003
17,32,17,0.007,0.055,0.7,0.003
18,28,17,0.006,0.048,0.6,0.003
19,11,8,0.007,0.028,0.4,0.002
20,11,8,0.004,0.026,0.4,0.002
21,6,4,0.002,0.028,0.5,0.003
22,10,6,0.002,0.030,0.6,0.003
23,11,7,0.002,0.031,0.6,0.003
0,10,6,0.002,0.028,0.5,0.003
1,13,8,0.002,0.028,0.6,0.003
2,12,7,0.002,0.028,0.5,0.003
3,9,4,0.002,0.023,0.4,0.002
4,9,6,0.004,0.019,0.4,0.003
5,9,7,0.005,0.018,0.3,0.003
6,11,7,0.003,0.021,0.4,0.003
7,13,6,0.004,0.021,0.4,0.003
8,15,8,0.006,0.021,0.4,0.003
9,19,11,0.007,0.021,0.4,0.003
10,18,10,0.011,0.021,0.5,0.003
11,16,8,0.014,0.026,0.6,0.003
12,19,12,0.025,0.025,0.4,0.003
13,17,10,0.033,0.026,0.4,0.003
14,18,12,0.029,0.031,0.4,0.003
15,13,8,0.026,0.021,0.4,0.003
16,9,5,0.023,0.022,0.3,0.003
17,9,7,0.021,0.021,0.3,0.002
18,9,5,0.020,0.021,0.4,0.002
19,12,4,0.011,0.023,0.3,0.003
20,17,12,0.009,0.029,0.4,0.003
21,16,9,0.004,0.025,0.4,0.002
22,11,6,0.003,0.022,0.3,0.003
23,16,10,0.003,0.024,0.3,0.003
0,15,9,0.002,0.023,0.4,0.003
1,15,7,0.002,0.021,0.4,0.003
2,12,6,0.003,0.019,0.4,0.003
3,14,5,0.003,0.017,0.4,0.002
4,15,7,0.003,0.016,0.4,0.002
5,16,9,0.002,0.015,0.4,0.003
6,18,8,0.003,0.014,0.4,0.003
7,16,6,0.003,0.016,0.4,0.003
8,13,6,0.006,0.018,0.4,0.003
9,14,6,0.006,0.027,0.5,0.003
