날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,11,,0.013,0.021,0.2,0.003
2,10,,0.017,0.015,0.1,0.003
3,7,,0.019,0.013,0.1,0.003
4,6,,0.020,0.011,0.1,0.003
5,6,,0.018,0.012,0.1,0.003
6,10,,0.014,0.018,0.1,0.003
7,10,,0.009,0.024,0.1,0.003
8,9,,0.007,0.027,0.2,0.003
9,13,,0.008,0.027,0.2,0.003
10,15,,0.008,0.021,0.3,0.003
11,19,,0.009,0.012,0.3,0.004
12,30,,0.011,,0.4,0.004
13,31,,0.018,,0.4,0.004
14,39,,0.023,,0.3,0.004
15,35,,0.036,,0.4,0.004
16,39,,0.037,,0.3,0.004
17,38,,0.035,,0.4,0.004
18,40,,0.039,,0.4,0.004
19,31,,0.033,,0.5,0.004
20,34,,0.026,,0.6,0.004
21,30,,0.025,,0.4,0.005
22,36,,0.025,,0.3,0.005
23,37,,0.006,0.037,0.5,0.005
0,40,,0.008,0.047,0.4,0.005
1,36,,0.009,0.042,0.4,0.005
2,33,,0.012,0.035,0.4,0.005
3,38,,0.018,0.026,0.4,0.005
4,35,,0.018,0.024,0.4,0.005
5,36,,0.006,0.034,0.4,0.004
6,32,,0.003,0.039,0.5,0.005
7,34,,0.002,0.041,0.5,0.004
8,32,,0.003,0.043,0.5,0.004
9,36,,0.003,0.042,0.5,0.004
10,31,,0.003,0.044,0.6,0.004
11,38,,0.004,0.045,0.6,0.004
12,37,,0.005,0.046,0.5,0.004
13,31,,0.006,0.044,0.5,0.004
14,33,,0.009,0.043,0.5,0.004
15,34,,0.017,0.038,0.5,0.004
16,32,,0.013,0.044,0.5,0.004
17,36,,0.008,0.049,0.5,0.004
18,16,,0.022,0.021,0.4,0.004
19,17,,0.010,0.046,0.4,0.004
20,21,,0.006,0.051,0.4,0.004
21,30,,0.009,0.055,0.5,0.004
22,36,,0.013,0.050,0.4,0.004
23,37,,0.037,0.024,0.5,0.005
0,26,,0.038,0.019,0.4,0.006
1,19,,0.032,0.021,0.5,0.004
2,22,,0.035,0.012,0.5,0.004
3,22,,0.034,0.009,0.4,0.005
4,21,,0.031,0.008,0.5,0.004
5,16,,0.027,0.009,0.6,0.004
6,19,,0.020,0.013,0.7,0.004
7,20,,0.018,0.015,0.6,0.004
8,23,,0.014,0.020,0.6,0.004
9,17,,0.013,0.021,0.6,0.004
10,16,,0.017,0.019,0.6,0.004
11,14,,0.019,0.018,0.6,0.004
12,20,,0.027,0.017,0.6,0.004
13,12,,0.039,0.012,0.5,0.004
14,26,,0.044,0.013,0.5,0.004
15,22,,0.049,0.012,0.5,0.004
16,17,,0.052,0.016,0.5,0.004
17,17,,0.049,0.020,0.5,0.004
18,20,,0.046,0.021,0.6,0.004
19,22,,0.032,0.032,0.6,0.005
20,23,,0.014,0.042,0.6,0.005
21,30,,0.003,0.059,0.8,0.005
22,31,,0.002,0.049,0.7,0.005
23,29,,0.005,0.049,0.6,0.004
0,23,,0.003,0.050,0.6,0.004
1,25,,0.002,0.036,0.7,0.004
2,25,,0.003,0.006,0.7,0.004
3,32,,0.004,0.003,0.6,0.004
4,31,,0.005,0.026,0.6,0.004
5,31,,0.008,0.034,0.6,0.004
6,30,,0.005,0.037,0.6,0.004
7,28,,0.004,0.041,0.6,0.004
8,25,,0.006,0.037,0.5,0.004
9,19,,0.008,0.035,0.4,0.004
10,9,,0.014,0.029,0.3,0.004
11,14,,0.021,0.025,0.3,0.004
12,13,,0.025,0.021,0.2,0.004
13,15,,0.025,0.024,0.2,0.004
14,16,,0.030,0.021,0.2,0.003
15,14,,0.026,0.029,0.2,0.004
16,13,,0.027,0.029,0.2,0.004
17,15,,0.021,0.033,0.2,0.004
18,16,,0.014,0.041,0.2,0.004
19,20,,0.014,0.038,0.2,0.003
20,21,,0.011,0.039,0.4,0.004
21,21,,0.009,0.041,0.3,0.004
22,20,,0.011,0.038,0.3,0.004
23,18,,0.016,0.032,0.2,0.004
0,18,,0.012,0.037,0.2,0.003
1,19,,0.024,0.022,0.2,0.004
2,16,,0.032,0.014,0.1,0.004
3,12,,0.033,0.012,0.2,0.004
4,19,,0.034,0.011,0.1,0.004
5,15,,0.036,0.010,0.1,0.004
6,17,,0.024,0.023,0.1,0.004
7,19,,0.020,0.027,0.2,0.004
8,15,,0.016,0.031,0.2,0.004
9,17,,0.027,0.022,0.1,0.004
10,11,,0.029,0.020,0.1,0.004
11,22,,0.031,0.018,0.1,0.004
12,11,,0.034,0.017,0.1,0.004
13,17,,0.036,0.017,0.1,0.004
14,21,,0.041,0.016,0.1,0.004
15,17,,0.045,0.012,0.2,0.004
16,14,,0.039,0.018,0.1,0.004
17,19,,0.037,0.018,0.1,0.004
18,10,,0.027,0.029,0.2,0.004
19,21,,0.027,0.028,0.2,0.004
20,23,,0.025,0.029,0.2,0.004
21,24,,0.024,0.029,0.2,0.003
22,24,,0.022,0.029,0.2,0.004
23,30,,0.023,0.028,0.2,0.004
0,18,,0.024,0.026,0.1,0.004
1,13,,0.028,0.019,0.1,0.004
2,12,,0.036,0.010,0.1,0.004
3,14,,0.036,0.009,0.1,0.004
4,10,,0.037,0.008,0.1,0.004
5,14,,0.032,0.011,0.1,0.004
6,17,,0.012,0.031,0.2,0.004
7,15,,0.007,0.040,0.2,0.004
8,14,,0.008,0.040,0.3,0.004
9,18,,0.015,0.033,0.2,0.004
10,7,,0.025,0.024,0.2,0.004
11,21,,0.031,0.017,0.2,0.004
12,9,,0.036,0.015,0.1,0.004
13,13,,0.037,0.014,0.1,0.004
14,21,,0.040,0.015,0.1,0.004
15,14,,0.043,0.015,0.1,0.004
16,18,,0.042,0.021,0.2,0.004
17,16,,0.043,0.018,0.1,0.004
18,17,,0.042,0.016,0.1,0.004
19,20,,0.024,0.034,0.2,0.004
20,29,,0.023,0.034,0.2,0.004
21,27,,0.026,0.027,0.2,0.004
22,30,,0.018,0.035,0.3,0.004
23,24,,0.004,0.051,0.4,0.004
0,28,,0.002,0.054,0.5,0.004
1,26,,0.002,0.051,0.5,0.004
2,26,,0.003,0.047,0.5,0.004
3,29,,0.003,0.042,0.4,0.004
4,27,,0.006,0.035,0.3,0.004
5,20,,0.003,0.036,0.3,0.004
6,26,,0.002,0.036,0.4,0.004
7,28,,0.003,0.036,0.3,0.004
8,34,,0.003,0.039,0.4,0.004
9,27,,0.005,0.041,0.4,0.004
10,29,,0.006,0.043,0.5,0.005
11,33,,0.009,0.045,0.5,0.005
12,29,,0.010,0.049,0.4,0.005
13,36,,0.020,0.041,0.4,0.006
14,35,,0.041,0.031,0.3,0.007
15,35,,0.045,0.026,0.3,0.006
16,37,,0.045,0.024,0.3,0.006
