날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스
1,94,67,0.011,0.069,0.8,0.004
2,88,63,0.007,0.069,0.8,0.004
3,91,68,0.003,0.073,0.9,0.004
4,94,68,0.005,0.069,0.9,0.004
5,99,72,0.006,0.066,0.9,0.004
6,90,66,0.004,0.066,0.9,0.004
7,92,66,0.003,0.066,0.9,0.004
8,91,65,0.003,0.071,1.0,0.004
9,88,63,0.004,0.073,1.0,0.005
10,96,67,0.006,0.080,1.3,0.006
11,118,86,0.011,0.074,1.0,0.006
12,121,86,0.019,0.068,0.9,0.007
13,121,82,0.038,0.051,0.9,0.007
14,130,87,0.049,0.046,0.9,0.007
15,128,88,0.076,0.028,0.8,0.007
16,111,73,0.082,0.025,0.8,0.007
17,113,81,0.081,0.024,0.8,0.006
18,107,70,0.079,0.027,0.8,0.006
19,111,72,0.061,0.042,0.8,0.006
20,119,75,0.050,0.050,0.9,0.007
21,133,84,0.045,0.052,1.0,0.007
22,136,88,0.049,0.044,1.1,0.005
23,123,84,0.034,0.052,0.9,0.005
0,111,72,0.017,0.067,1.0,0.005
1,113,75,0.018,0.063,1.0,0.005
2,110,74,0.009,0.066,1.1,0.004
3,113,77,0.006,0.073,1.2,0.004
4,125,85,0.003,0.077,1.2,0.004
5,128,87,0.004,0.070,1.2,0.004
6,113,77,0.004,0.068,1.1,0.004
7,111,78,0.002,0.069,1.2,0.004
8,109,77,0.003,0.068,1.2,0.004
9,121,82,0.007,0.068,1.2,0.005
10,120,82,0.020,0.058,1.0,0.005
11,117,80,0.031,0.052,0.9,0.005
12,110,73,0.049,0.041,0.8,0.006
13,105,72,0.052,0.045,0.8,0.006
14,94,66,0.060,0.039,0.6,0.005
15,94,66,0.060,0.037,0.7,0.004
16,93,65,0.049,0.048,0.7,0.005
17,97,69,0.048,0.049,0.7,0.005
18,98,68,0.044,0.054,0.7,0.005
19,112,78,0.050,0.051,0.8,0.006
20,120,82,0.040,0.060,0.9,0.005
21,116,82,0.049,0.046,0.8,0.005
22,98,70,0.015,0.080,0.9,0.004
23,101,73,0.003,0.093,1.1,0.004
0,99,69,0.002,0.090,1.1,0.004
1,101,73,0.002,0.089,1.3,0.004
2,97,70,0.002,0.082,1.3,0.004
3,98,72,0.002,0.075,1.1,0.004
4,97,69,0.002,0.078,1.1,0.004
5,96,72,0.002,0.079,1.1,0.004
6,92,68,0.002,0.077,1.1,0.004
7,93,71,0.002,0.073,1.1,0.004
8,88,62,0.003,0.068,1.0,0.004
9,92,64,0.012,0.059,0.9,0.004
10,89,60,0.022,0.052,0.8,0.005
11,84,58,0.037,0.043,0.8,0.005
12,71,45,0.048,0.035,0.7,0.005
13,69,43,0.054,0.034,0.6,0.004
14,65,41,0.058,0.031,0.6,0.004
15,63,40,0.060,0.029,0.6,0.004
16,67,41,0.068,0.026,0.6,0.005
17,86,52,0.078,0.021,0.6,0.005
18,102,64,0.076,0.022,0.7,0.005
19,121,80,0.066,0.030,0.8,0.005
20,134,89,0.063,0.032,0.8,0.006
21,144,102,0.057,0.039,0.9,0.005
22,156,104,0.065,0.031,0.9,0.005
23,163,114,0.064,0.034,0.9,0.005
0,165,113,0.046,0.047,0.9,0.005
1,165,118,0.037,0.051,1.0,0.005
2,166,117,0.038,0.047,1.0,0.004
3,170,119,0.040,0.040,1.0,0.004
4,172,121,0.041,0.036,1.0,0.004
5,175,124,0.036,0.039,1.0,0.004
6,174,123,0.010,0.065,1.1,0.004
7,176,124,0.003,0.072,1.2,0.004
8,177,123,0.003,0.078,1.4,0.004
9,175,122,0.008,0.079,1.4,0.005
10,158,106,0.023,0.062,1.2,0.006
11,130,83,0.026,0.057,0.8,0.005
12,92,58,0.033,0.054,0.9,0.005
13,97,65,0.039,0.050,0.8,0.005
14,100,67,0.038,0.054,0.8,0.004
15,111,76,0.054,0.039,0.6,0.005
16,92,57,0.073,0.028,0.6,0.005
17,103,66,0.077,0.025,0.6,0.005
18,101,64,0.071,0.030,0.7,0.005
19,149,97,0.068,0.044,0.9,0.006
20,167,116,0.060,0.046,1.0,0.005
21,171,117,0.047,0.052,1.1,0.005
22,183,120,0.017,0.075,1.1,0.005
23,193,136,0.026,0.058,1.0,0.005
0,208,148,0.043,0.040,1.0,0.004
1,211,149,0.047,0.027,0.9,0.004
2,197,134,0.047,0.024,1.0,0.004
3,195,139,0.049,0.021,1.0,0.004
4,191,133,0.049,0.019,1.0,0.004
5,187,133,0.047,0.020,0.9,0.004
6,172,126,0.045,0.021,0.8,0.004
7,170,124,0.040,0.026,0.9,0.004
8,175,123,0.025,0.045,1.0,0.004
9,180,129,0.023,0.045,0.9,0.004
10,182,128,0.026,0.048,1.2,0.005
11,191,133,0.033,0.044,1.0,0.005
12,188,133,0.037,0.046,1.0,0.005
13,186,135,0.046,0.043,1.0,0.006
14,171,125,0.049,0.045,0.9,0.006
15,166,118,0.056,0.042,0.8,0.006
16,167,112,0.060,0.044,0.8,0.006
17,174,117,0.058,0.043,0.8,0.006
18,163,111,0.053,0.040,0.8,0.006
19,153,106,0.050,0.041,0.8,0.006
20,143,98,0.046,0.045,0.8,0.006
21,147,102,0.039,0.046,0.8,0.006
22,146,101,0.025,0.054,0.8,0.005
23,155,107,0.021,0.054,0.9,0.006
0,156,109,0.005,0.073,1.0,0.005
1,153,110,0.008,0.073,0.9,0.007
2,139,99,0.019,0.058,0.9,0.006
3,125,87,0.033,0.045,0.8,0.005
4,114,76,0.039,0.042,0.7,0.006
5,121,84,0.038,0.043,0.8,0.006
6,132,89,0.034,0.051,0.7,0.006
7,142,100,0.025,0.056,0.8,0.006
8,152,104,0.006,0.076,1.0,0.007
9,156,110,0.007,0.083,1.1,0.006
10,165,115,0.028,0.067,0.9,0.007
11,167,116,0.034,0.060,0.9,0.007
12,170,115,0.028,0.071,0.9,0.007
13,167,113,0.049,0.050,0.8,0.007
14,152,100,0.058,0.035,0.8,0.006
15,148,101,0.059,0.031,0.7,0.005
16,121,80,0.061,0.027,0.6,0.005
17,88,61,0.066,0.018,0.5,0.004
18,82,56,0.060,0.021,0.6,0.004
19,96,62,0.050,0.031,0.7,0.003
20,99,67,0.033,0.043,0.7,0.003
21,110,74,0.031,0.042,0.8,0.003
22,110,76,0.030,0.042,0.9,0.004
23,113,78,0.027,0.044,1.0,0.004
0,107,77,0.033,0.037,1.0,0.004
1,109,77,0.039,0.030,0.9,0.004
2,101,72,0.034,0.031,0.9,0.004
3,99,73,0.038,0.025,0.8,0.004
4,74,54,0.041,0.022,0.7,0.003
5,46,33,0.044,0.021,0.6,0.003
6,29,24,0.039,0.026,0.6,0.003
7,25,18,0.020,0.045,0.7,0.003
8,27,20,0.006,0.062,0.9,0.003
9,23,17,0.008,0.059,1.0,0.003
10,24,14,0.030,0.037,0.7,0.003
11,42,32,0.043,0.027,0.6,0.003
12,45,36,0.050,0.019,0.5,0.003
13,44,36,0.057,0.017,0.5,0.003
14,51,39,0.064,0.013,0.5,0.003
